iter	Passed	Remaining
0	5	1561
1	9	1478
2	14	1461
3	19	1431
4	24	1423
5	28	1407
6	33	1395
7	38	1393
8	42	1388
9	47	1385
10	53	1395
11	57	1391
12	62	1388
13	67	1383
14	73	1397
15	79	1403
16	84	1403
17	89	1408
18	95	1416
19	101	1419
20	106	1414
21	111	1403
22	115	1392
23	120	1382
24	124	1374
25	129	1367
26	134	1358
27	138	1348
28	143	1340
29	148	1332
30	152	1324
31	157	1316
32	162	1311
33	166	1302
34	171	1295
35	176	1291
36	180	1284
37	185	1277
38	190	1271
39	195	1267
40	199	1262
41	204	1256
42	209	1252
43	214	1246
44	218	1239
45	224	1238
46	229	1235
47	234	1231
48	239	1228
49	244	1222
50	249	1216
51	253	1211
52	258	1205
53	263	1198
54	267	1192
55	272	1186
56	277	1181
57	281	1174
58	287	1172
59	292	1170
60	297	1166
61	302	1162
62	307	1157
63	313	1154
64	318	1151
65	324	1148
66	328	1143
67	333	1137
68	338	1131
69	342	1125
70	347	1121
71	352	1117
72	357	1111
73	362	1105
74	366	1100
75	371	1094
76	376	1090
77	381	1085
78	386	1080
79	391	1075
80	395	1070
81	400	1065
82	405	1059
83	409	1053
84	414	1049
85	419	1044
86	424	1040
87	429	1035
88	434	1031
89	440	1027
90	445	1022
91	450	1019
92	456	1016
93	461	1011
94	466	1007
95	472	1003
96	478	1000
97	484	997
98	489	993
99	494	988
100	500	985
101	504	979
102	509	974
103	514	970
104	519	964
105	523	958
106	528	952
107	532	947
108	537	941
109	542	937
110	548	934
111	554	930
112	561	928
113	566	924
114	572	921
115	578	917
116	583	913
117	589	909
118	595	906
119	601	901
120	606	897
121	611	892
122	616	887
123	621	882
124	626	877
125	631	872
126	636	867
127	642	863
128	648	859
129	652	853
130	657	848
131	662	842
132	666	837
133	671	831
134	676	826
135	681	821
136	685	816
137	690	810
138	695	805
139	699	799
140	704	794
141	709	789
142	714	784
143	720	780
144	725	775
145	730	770
146	734	764
147	740	760
148	745	755
149	749	749
150	754	744
151	759	739
152	763	733
153	768	728
154	772	723
155	777	717
156	782	712
157	787	707
158	792	702
159	797	697
160	802	692
161	807	687
162	811	682
163	816	677
164	821	672
165	826	666
166	830	661
167	835	656
168	840	651
169	845	646
170	850	641
171	856	637
172	860	632
173	865	626
174	870	621
175	874	616
176	879	611
177	884	606
178	888	600
179	893	595
180	898	590
181	904	586
182	910	582
183	917	578
184	922	573
185	927	568
186	932	563
187	937	558
188	942	553
189	947	548
190	951	543
191	956	538
192	961	533
193	967	528
194	972	523
195	977	518
196	982	513
197	987	508
198	992	503
199	996	498
200	1001	493
201	1006	488
202	1010	483
203	1015	478
204	1020	472
205	1024	467
206	1030	462
207	1034	457
208	1039	452
209	1044	447
210	1049	442
211	1055	438
212	1060	433
213	1066	428
214	1071	423
215	1077	419
216	1083	414
217	1089	409
218	1095	405
219	1100	400
220	1106	395
221	1114	391
222	1120	386
223	1126	382
224	1131	377
225	1137	372
226	1142	367
227	1147	362
228	1153	357
229	1158	352
230	1164	347
231	1170	343
232	1175	338
233	1181	333
234	1186	328
235	1191	323
236	1197	318
237	1202	313
238	1208	308
239	1214	303
240	1219	298
241	1224	293
242	1230	288
243	1235	283
244	1241	278
245	1249	274
246	1256	269
247	1262	264
248	1267	259
249	1273	254
250	1278	249
251	1284	244
252	1289	239
253	1294	234
254	1300	229
255	1305	224
256	1310	219
257	1315	214
258	1320	208
259	1325	203
260	1329	198
261	1334	193
262	1339	188
263	1343	183
264	1348	178
265	1352	172
266	1357	167
267	1362	162
268	1366	157
269	1371	152
270	1376	147
271	1381	142
272	1386	137
273	1390	131
274	1395	126
275	1400	121
276	1404	116
277	1410	111
278	1414	106
279	1419	101
280	1423	96
281	1428	91
282	1432	86
283	1437	80
284	1442	75
285	1447	70
286	1451	65
287	1456	60
288	1461	55
289	1465	50
290	1470	45
291	1475	40
292	1479	35
293	1485	30
294	1491	25
295	1496	20
296	1501	15
297	1505	10
298	1510	5
299	1515	0
