design_method,split,scenario_id,timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,true_queue_length_m,true_queue_beyond_camera
ood,ood,scenario_burst_demand_OOD,0,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,False
ood,ood,scenario_burst_demand_OOD,5,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,False
ood,ood,scenario_burst_demand_OOD,10,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,False
ood,ood,scenario_burst_demand_OOD,15,1i,150.0,3,25.1361,0,0.0,False,,,0.0,0.0,False
ood,ood,scenario_burst_demand_OOD,20,1i,150.0,3,13.133,0,0.0,False,,,0.0,0.0,False
ood,ood,scenario_burst_demand_OOD,25,1i,150.0,3,0.8378,0,0.0,False,,,0.0,0.0,False
ood,ood,scenario_burst_demand_OOD,30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,45,1i,150.0,3,0.0,3,1.0,False,1.0,-25.1361,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,50,1i,150.0,1,0.0,1,1.0,False,1.0,-13.133,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,55,1i,150.0,2,12.2267,1,1.0,False,1.0,11.3889,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,60,1i,150.0,4,12.4528,1,1.0,False,0.0,12.4528,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,65,1i,150.0,3,5.6442,1,1.0,False,0.0,5.6442,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,70,1i,150.0,3,2.7498,2,5.0,False,4.0,2.7498,0.0333333333333333,5.0,False
ood,ood,scenario_burst_demand_OOD,75,1i,150.0,3,0.0,3,5.0,False,4.0,0.0,0.0333333333333333,5.0,False
ood,ood,scenario_burst_demand_OOD,80,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,85,1i,150.0,1,0.0,1,1.0,False,0.0,-12.2267,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,90,1i,150.0,1,0.0,1,1.0,False,0.0,-12.4528,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,95,1i,150.0,2,12.1811,1,1.0,False,0.0,6.536900000000001,0.0066666666666666,1.0,False
ood,ood,scenario_burst_demand_OOD,100,1i,150.0,3,11.2292,1,1.0,False,-4.0,8.4794,0.0066666666666666,1.0,False
