design_method,split,scenario_id,timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,true_queue_length_m,true_queue_beyond_camera
development,train,scenario_high_demand,0,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,False
development,train,scenario_high_demand,5,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,False
development,train,scenario_high_demand,10,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,False
development,train,scenario_high_demand,15,1i,150.0,3,25.079,0,0.0,False,,,0.0,0.0,False
development,train,scenario_high_demand,20,1i,150.0,3,13.5306,0,0.0,False,,,0.0,0.0,False
development,train,scenario_high_demand,25,1i,150.0,3,0.5526,2,1.0,False,,,0.0066666666666666,1.0,False
development,train,scenario_high_demand,30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.0066666666666666,1.0,False
development,train,scenario_high_demand,35,1i,150.0,5,10.6083,3,1.0,False,1.0,10.6083,0.0066666666666666,1.0,False
development,train,scenario_high_demand,40,1i,150.0,6,7.8864,3,1.0,False,1.0,7.8864,0.0066666666666666,1.0,False
development,train,scenario_high_demand,45,1i,150.0,6,1.2331,3,1.0,False,1.0,-23.8459,0.0066666666666666,1.0,False
development,train,scenario_high_demand,50,1i,150.0,2,0.0,2,5.0,False,5.0,-13.5306,0.0333333333333333,5.0,False
development,train,scenario_high_demand,55,1i,150.0,3,8.69,2,5.0,False,4.0,8.1374,0.0333333333333333,5.0,False
development,train,scenario_high_demand,60,1i,150.0,5,10.2897,2,5.0,False,4.0,10.2897,0.0333333333333333,5.0,False
development,train,scenario_high_demand,65,1i,150.0,3,1.0281,2,5.0,False,4.0,-9.5802,0.0333333333333333,5.0,False
development,train,scenario_high_demand,70,1i,150.0,3,0.0004,3,9.0,False,8.0,-7.886,0.06,9.0,False
development,train,scenario_high_demand,75,1i,150.0,3,0.0,3,9.0,False,8.0,-1.2331,0.06,9.0,False
development,train,scenario_high_demand,80,1i,150.0,4,14.788,0,0.0,False,-5.0,14.788,0.0,0.0,False
development,train,scenario_high_demand,85,1i,150.0,3,7.7414,0,0.0,False,-5.0,-0.9486,0.0,0.0,False
development,train,scenario_high_demand,90,1i,150.0,3,0.0,3,1.0,False,-4.0,-10.2897,0.0066666666666666,1.0,False
development,train,scenario_high_demand,95,1i,150.0,3,0.0,3,1.0,False,-4.0,-1.0281,0.0066666666666666,1.0,False
development,train,scenario_high_demand,100,1i,150.0,4,5.587,3,1.0,False,-8.0,5.5866,0.0066666666666666,1.0,False
development,train,scenario_high_demand,105,1i,150.0,6,6.2304,3,1.0,False,-8.0,6.2304,0.0066666666666666,1.0,False
development,train,scenario_high_demand,110,1i,150.0,6,2.9827,4,5.01,False,5.01,-11.8053,0.0334,5.01,False
development,train,scenario_high_demand,115,1i,150.0,6,0.6048,5,8.14,False,8.14,-7.1366,0.0542666666666666,8.14,False
development,train,scenario_high_demand,120,1i,150.0,9,7.192,6,8.0,False,7.0,7.192,0.0533333333333333,8.0,False
development,train,scenario_high_demand,125,1i,150.0,9,3.273,6,8.0,False,7.0,3.273,0.0533333333333333,8.0,False
