iter	RMSE
0	158.4625608
1	151.3525551
2	144.6622139
3	138.2207792
4	132.004688
5	126.2848962
6	120.7732529
7	115.5659833
8	110.6240144
9	105.9610283
10	101.5417891
11	97.38422006
12	93.21703116
13	89.4376074
14	85.8693452
15	82.51089143
16	79.29582094
17	76.31432937
18	73.48161563
19	70.67086609
20	67.96435576
21	65.40903791
22	63.03882395
23	60.74246578
24	58.55358209
25	56.53445693
26	54.57306284
27	52.80963567
28	51.07710532
29	49.52426758
30	48.05512046
31	46.58336127
32	45.3030077
33	44.22050509
34	43.01378476
35	42.00025048
36	40.93834327
37	39.93537701
38	39.03669188
39	38.1950639
40	37.48936964
41	36.76697354
42	36.02659171
43	35.39120064
44	34.78020046
45	34.18171433
46	33.66695912
47	33.23123702
48	32.81608589
49	32.43054388
50	32.04205189
51	31.66411179
52	31.28805487
53	30.93252439
54	30.60196427
55	30.34945832
56	30.08058143
57	29.85819025
58	29.61913194
59	29.3591832
60	29.12089235
61	28.91095461
62	28.75078574
63	28.57226171
64	28.38446428
65	28.20225072
66	28.04779272
67	27.88124793
68	27.73976687
69	27.6039628
70	27.47487455
71	27.34506711
72	27.21581623
73	27.1121665
74	27.00622336
75	26.90493907
76	26.82747721
77	26.71273803
78	26.61011932
79	26.54393366
80	26.47123757
81	26.39300781
82	26.32219765
83	26.25209315
84	26.16805938
85	26.11082676
86	26.02797273
87	25.96385431
88	25.91294143
89	25.83784333
90	25.76693926
91	25.71767345
92	25.65628352
93	25.58917256
94	25.53655528
95	25.5046246
96	25.42911918
97	25.39399887
98	25.3332278
99	25.25879137
100	25.2257263
101	25.17103497
102	25.11008173
103	25.0868262
104	25.03859572
105	25.01287365
106	24.94048285
107	24.89006129
108	24.83131571
109	24.78506392
110	24.72666263
111	24.66115973
112	24.62570341
113	24.58372652
114	24.52723398
115	24.50080177
116	24.45874862
117	24.43827628
118	24.39831598
119	24.33978629
120	24.31818461
121	24.27301098
122	24.23300534
123	24.20199205
124	24.17149618
125	24.14079827
126	24.08724865
127	24.04179733
128	24.01734671
129	23.96513401
130	23.93777643
131	23.89003869
132	23.86479899
133	23.84187111
134	23.79555907
135	23.76353934
136	23.70769548
137	23.67794215
138	23.65032424
139	23.62393699
140	23.60017377
141	23.57844452
142	23.53783067
143	23.50429257
144	23.46196661
145	23.44849272
146	23.40875767
147	23.37604815
148	23.33763863
149	23.29169141
150	23.2621415
151	23.22332639
152	23.19381767
153	23.15362938
154	23.12945022
155	23.10304931
156	23.08104755
157	23.06320997
158	23.04696803
159	23.01627969
160	22.98086255
161	22.95487798
162	22.92207014
163	22.88570494
164	22.84225005
165	22.82239946
166	22.79973092
167	22.762253
168	22.74384971
169	22.72350655
170	22.70123458
171	22.69587733
172	22.64587224
173	22.61572984
174	22.58847533
175	22.56635925
176	22.54030508
177	22.52210191
178	22.48019825
179	22.45882503
180	22.44452528
181	22.41432843
182	22.38963502
183	22.35893684
184	22.34042244
185	22.32363071
186	22.30398009
187	22.26007338
188	22.24059633
189	22.21005186
190	22.18526992
191	22.16520098
192	22.15019172
193	22.12675672
194	22.09353496
195	22.06316964
196	22.03097868
197	22.01669001
198	21.9741922
199	21.94455762
200	21.92943777
201	21.90144067
202	21.86473328
203	21.84278544
204	21.81251779
205	21.79289152
206	21.76978037
207	21.73337535
208	21.713238
209	21.68874426
210	21.67649218
211	21.66280585
212	21.63970294
213	21.60164815
214	21.57971967
215	21.56057973
216	21.54045878
217	21.51665208
218	21.48875701
219	21.45929199
220	21.43710711
221	21.41532135
222	21.38603366
223	21.35748564
224	21.33786827
225	21.31923819
226	21.27676445
227	21.24623814
228	21.22581299
229	21.20924491
230	21.19226087
231	21.16863668
232	21.1534193
233	21.13533038
234	21.11623805
235	21.09159302
236	21.07147096
237	21.04111978
238	21.0059339
239	20.98171933
240	20.96793325
241	20.94543077
242	20.92578613
243	20.89477281
244	20.86084215
245	20.85140689
246	20.83687723
247	20.81034716
248	20.78738064
249	20.761045
250	20.74786367
251	20.72998783
252	20.70443151
253	20.68163241
254	20.66598596
255	20.65254691
256	20.62400789
257	20.60156421
258	20.58769972
259	20.55187663
260	20.53387348
261	20.4951928
262	20.47751202
263	20.43961351
264	20.42371223
265	20.40673395
266	20.3842955
267	20.36658354
268	20.3537969
269	20.33051681
270	20.32043133
271	20.3042294
272	20.28516018
273	20.25697131
274	20.21679702
275	20.18931529
276	20.17970106
277	20.14398196
278	20.1264109
279	20.11302711
280	20.09894803
281	20.08629235
282	20.08004739
283	20.06060769
284	20.03329337
285	20.01623453
286	20.0070868
287	19.98335791
288	19.95519139
289	19.93655832
290	19.92724582
291	19.91197276
292	19.90121754
293	19.87778816
294	19.85604842
295	19.82936241
296	19.82097845
297	19.81259935
298	19.79558823
299	19.77893428
