iter	Passed	Remaining
0	7	2284
1	13	1971
2	19	1908
3	25	1884
4	31	1839
5	37	1826
6	43	1806
7	49	1788
8	54	1775
9	60	1759
10	66	1759
11	72	1750
12	78	1738
13	85	1741
14	92	1766
15	100	1788
16	107	1794
17	115	1805
18	122	1812
19	128	1802
20	134	1792
21	140	1779
22	147	1773
23	153	1764
24	159	1759
25	167	1769
26	174	1766
27	181	1759
28	188	1760
29	195	1762
30	202	1761
31	210	1760
32	217	1762
33	224	1758
34	233	1767
35	242	1775
36	250	1778
37	258	1781
38	267	1788
39	273	1779
40	280	1774
41	287	1768
42	294	1760
43	300	1748
44	306	1735
45	313	1728
46	318	1715
47	325	1706
48	332	1704
49	341	1707
50	348	1699
51	355	1697
52	364	1697
53	372	1696
54	379	1689
55	385	1680
56	392	1674
57	399	1665
58	407	1662
59	415	1660
60	424	1662
61	431	1658
62	439	1653
63	446	1645
64	452	1637
65	460	1633
66	469	1633
67	477	1630
68	484	1621
69	493	1622
70	503	1623
71	514	1629
72	524	1630
73	531	1622
74	538	1616
75	545	1606
76	553	1601
77	562	1600
78	570	1594
79	577	1586
80	585	1583
81	592	1574
82	597	1563
83	604	1555
84	611	1547
85	620	1544
86	626	1534
87	632	1524
88	638	1514
89	644	1503
90	650	1494
91	656	1484
92	662	1474
93	668	1465
94	674	1455
95	680	1446
96	686	1437
97	691	1426
98	697	1416
99	703	1407
100	709	1398
101	715	1389
102	721	1380
103	727	1370
104	732	1360
105	737	1350
106	743	1340
107	749	1332
108	754	1322
109	759	1312
110	765	1303
111	770	1294
112	776	1284
113	781	1274
114	787	1266
115	792	1257
116	799	1250
117	805	1241
118	811	1234
119	817	1226
120	822	1217
121	830	1211
122	836	1204
123	843	1197
124	849	1189
125	855	1180
126	861	1173
127	867	1165
128	874	1159
129	881	1152
130	887	1144
131	895	1139
132	902	1133
133	911	1129
134	918	1122
135	924	1115
136	929	1106
137	936	1099
138	942	1092
139	949	1084
140	953	1075
141	958	1067
142	963	1058
143	968	1049
144	974	1041
145	979	1033
146	984	1024
147	990	1017
148	995	1009
149	1001	1001
150	1007	994
151	1013	986
152	1018	978
153	1024	970
154	1029	962
155	1034	955
156	1040	947
157	1046	940
158	1053	934
159	1059	926
160	1065	919
161	1071	912
162	1077	905
163	1082	897
164	1088	890
165	1093	882
166	1099	875
167	1105	868
168	1111	861
169	1116	854
170	1122	846
171	1128	839
172	1134	832
173	1140	825
174	1145	818
175	1151	811
176	1156	803
177	1161	796
178	1167	789
179	1173	782
180	1179	775
181	1185	768
182	1190	761
183	1196	754
184	1202	747
185	1207	740
186	1213	733
187	1219	726
188	1225	719
189	1232	713
190	1239	707
191	1247	701
192	1252	694
193	1259	688
194	1265	681
195	1270	673
196	1275	666
197	1281	660
198	1287	653
199	1293	646
200	1299	640
201	1305	633
202	1310	626
203	1316	619
204	1321	612
205	1327	605
206	1332	598
207	1337	591
208	1342	584
209	1348	578
210	1353	571
211	1359	564
212	1364	557
213	1370	550
214	1376	544
215	1381	537
216	1386	530
217	1392	523
218	1398	517
219	1404	510
220	1409	503
221	1415	497
222	1420	490
223	1426	483
224	1431	477
225	1436	470
226	1441	463
227	1446	456
228	1451	450
229	1457	443
230	1462	436
231	1467	430
232	1472	423
233	1477	416
234	1482	410
235	1487	403
236	1493	396
237	1498	390
238	1503	383
239	1509	377
240	1514	370
241	1520	364
242	1525	357
243	1530	351
244	1535	344
245	1540	338
246	1546	331
247	1551	325
248	1557	318
249	1562	312
250	1568	306
251	1573	299
252	1578	293
253	1583	286
254	1589	280
255	1595	274
256	1602	268
257	1607	261
258	1614	255
259	1620	249
260	1626	243
261	1632	236
262	1638	230
263	1662	226
264	1675	221
265	1691	216
266	1708	211
267	1723	205
268	1740	200
269	1759	195
270	1778	190
271	1785	183
272	1795	177
273	1802	170
274	1808	164
275	1820	158
276	1834	152
277	1841	145
278	1850	139
279	1861	132
280	1868	126
281	1874	119
282	1881	113
283	1888	106
284	1894	99
285	1900	93
286	1906	86
287	1912	79
288	1918	73
289	1924	66
290	1929	59
291	1935	53
292	1941	46
293	1947	39
294	1952	33
295	1957	26
296	1962	19
297	1969	13
298	1974	6
299	1979	0
