model,experiment_name,layer,target,random_state,validation_mae,validation_rmse,validation_r2,validation_n,test_mae,test_rmse,test_r2,test_n,ood_mae,ood_rmse,ood_r2,ood_n,n_features,model_path
random_forest,random_forest_layer1_baseline,layer1,true_queue_length_m,42,8.85263529039528,37.517771477147825,0.9053425327261668,5768,28.915007843585116,64.71121523544664,0.8722225508988649,5768,63.20192737968074,103.27778045271836,0.7424732575828812,11536,9,
extra_trees,extra_trees_layer1_baseline,layer1,true_queue_length_m,42,8.962196399676378,38.294926453048085,0.9013803874392391,5768,28.847357888349507,65.06224227078043,0.8708325293142221,5768,64.5391100183965,105.69273914199006,0.7302888821853097,11536,9,
xgboost,xgboost_layer1_baseline,layer1,true_queue_length_m,42,10.119124409184186,38.65756077279613,0.8995037845643543,5768,29.965239881632055,65.47939547226852,0.8691708785930898,5768,68.15835323106724,109.50744027453914,0.7104685152743113,11536,9,
lightbgm,lightbgm_layer1_baseline,layer1,true_queue_length_m,42,9.08481916781851,35.57753661311273,0.9148798145821135,5768,29.535058038052117,64.20660549729989,0.8742075654072204,5768,65.31834696292084,106.2285896399546,0.7275471385152541,11536,9,
catboost,catboost_layer1_baseline,layer1,true_queue_length_m,42,11.362474974376465,35.55592132396099,0.9149832134498636,5768,30.55044403945158,62.930633799233036,0.8791576078280681,5768,66.07110587376977,105.39333389621052,0.7318147872980013,11536,9,
hist_gradient_boosting,hist_gradient_boosting_layer1_baseline,layer1,true_queue_length_m,42,9.048892846357555,35.52386208166146,0.915136456279293,5768,29.18523658919915,63.009948741060796,0.878852807233174,5768,64.51411513904692,104.66771006737257,0.7354949379551617,11536,9,
random_forest,random_forest_layer2_p11_baseline,layer2_p11,true_queue_length_m,42,4.912452039990748,21.322917574808987,0.9694244647332022,5768,20.041910714285702,49.12484677200707,0.926362757010709,5768,36.23986832813218,66.58360925733548,0.8929607127827063,11536,23,
extra_trees,extra_trees_layer2_p11_baseline,layer2_p11,true_queue_length_m,42,5.610116175450765,22.972612130580305,0.964510361754967,5768,20.264623335644924,48.27083319700748,0.9289008034866943,5768,38.37758275976648,66.8338417114403,0.8921546575223761,11536,23,
xgboost,xgboost_layer2_p11_baseline,layer2_p11,true_queue_length_m,42,6.218216406769205,23.47807557509107,0.962931432348811,5768,20.55554439609612,48.321584732396765,0.9287512187347586,5768,38.41275840911301,66.76218787379132,0.8923857796618692,11536,23,
lightbgm,lightbgm_layer2_p11_baseline,layer2_p11,true_queue_length_m,42,5.782705921364224,22.076932671990996,0.9672238243160385,5768,20.093410664402253,47.68299294746057,0.9306219455490203,5768,36.90115843549772,65.36974138757236,0.8968279461576664,11536,23,
catboost,catboost_layer2_p11_baseline,layer2_p11,true_queue_length_m,42,7.515525685965849,22.0380179018737,0.9673392708978577,5768,20.588103212117446,47.027621380937184,0.9325159515536974,5768,38.202625105107806,65.19926730556276,0.8973653577247147,11536,23,
hist_gradient_boosting,hist_gradient_boosting_layer2_p11_baseline,layer2_p11,true_queue_length_m,42,5.276562124867194,20.566936661521403,0.9715540767677268,5768,18.70683371138058,44.63078200212983,0.9392195242231118,5768,34.75731905465618,63.10713528125068,0.9038464164741684,11536,23,
