scenario,split,penetration,penetration_tag,n_rows,corr_probe_count_vs_abs_error,corr_probe_mean_speed_vs_abs_error,corr_probe_max_distance_vs_abs_error,n_zero_probe,n_nonzero_probe,mean_abs_error_probe_count_zero,mean_abs_error_probe_count_nonzero
scenario_east_west_heavy,TEST,11,p11,2884,0.5254767007776759,-0.23187323158230894,0.20057697994310877,1070,1814,0.6345162304246716,30.781806416094053
scenario_east_west_heavy,TEST,25,p25,2884,0.3413777884623197,-0.22003625659133322,0.3011853575197012,585,2299,0.23005241577350183,15.820895441637738
scenario_east_west_heavy,TEST,50,p50,2884,0.22574662167288612,-0.21872348917998768,0.3012895314110846,176,2708,0.24214786768531968,24.0874796192504
scenario_south_heavy,TEST,11,p11,2884,0.5049125679833549,-0.25761471593864815,0.4178903638890847,1383,1501,0.24752293846912293,34.00503891938134
scenario_south_heavy,TEST,25,p25,2884,0.43578616863399516,-0.17759395977948728,0.3014971270836053,841,2043,0.23802087056141874,11.803255816579872
scenario_south_heavy,TEST,50,p50,2884,0.2895230129734505,-0.12667272511468136,0.279433273515273,297,2587,0.27388158439234056,11.571390160189452
scenario_burst_demand_OOD,OOD,11,p11,2884,0.3033356684565538,-0.26644598807078096,0.009346250868238417,733,2151,0.36721630578942155,67.52150037731523
scenario_burst_demand_OOD,OOD,25,p25,2884,0.218106531188021,-0.041260791229177446,0.1752362189656456,378,2506,0.3509493964520592,22.796045747600925
scenario_burst_demand_OOD,OOD,50,p50,2884,0.11567347708041405,-0.016052734634961412,0.21373342111558866,80,2804,0.46226275287006857,28.17607412667478
scenario_heavy_vehicle_OOD,OOD,11,p11,2884,0.22351636611915318,-0.11450129615101401,0.19406035962799473,299,2585,13.138262670101671,42.91984192224795
scenario_heavy_vehicle_OOD,OOD,25,p25,2884,0.1964217186832505,-0.12744705876247217,0.2048296381787908,81,2803,1.3580455319617426,26.555376870328278
scenario_heavy_vehicle_OOD,OOD,50,p50,2884,-0.11555306719644638,0.017570337572251692,0.0977101902357832,11,2873,0.4058719923136437,38.768186913518434
scenario_north_extreme_OOD,OOD,11,p11,2884,0.6461747651846963,-0.2696003966295944,0.37567080099005756,1703,1181,0.23116314875446106,24.79343623151037
scenario_north_extreme_OOD,OOD,25,p25,2884,0.21332325875769956,-0.1151234275261375,0.2191877576638262,1206,1678,0.23610812761027045,10.482439558261527
scenario_north_extreme_OOD,OOD,50,p50,2884,0.15601691246262528,-0.10619809026221042,0.24614559455234483,662,2222,0.2701772873253324,11.397586113742284
scenario_very_high_demand_OOD,OOD,11,p11,2884,0.01981006010104247,0.003961918708152999,-0.0013332612900577151,86,2798,1.0182311063403768,39.60475230039521
scenario_very_high_demand_OOD,OOD,25,p25,2884,-0.13817811879690112,0.0626616135579647,-0.11995839688203684,13,2871,0.33658417759860815,25.835185859360283
scenario_very_high_demand_OOD,OOD,50,p50,2884,-0.4969872936939736,0.22009672720812107,-0.2860410398165725,7,2877,0.33269280715606314,40.948835834076064
