split,scenario,penetration,penetration_tag,mae,rmse,r2,n
TEST,scenario_east_west_heavy,11,p11,19.596785438747922,43.40318422455114,0.9419500965062084,2884
TEST,scenario_east_west_heavy,25,p25,12.658397809831019,25.857769810324406,0.9793965262991126,2884
TEST,scenario_east_west_heavy,50,p50,22.632286003343513,46.03497949764042,0.9346968356907132,2884
TEST,scenario_south_heavy,11,p11,17.81688198401324,45.825506035535994,0.934462735213121,2884
TEST,scenario_south_heavy,25,p25,8.430730646815128,25.771592059417436,0.9792720539467169,2884
TEST,scenario_south_heavy,50,p50,10.407950476759584,32.59043289509105,0.9668522517688102,2884
OOD,scenario_burst_demand_OOD,11,p11,50.45350792779081,89.18941017228035,0.8296995596339779,2884
OOD,scenario_burst_demand_OOD,25,p25,19.854212730702777,45.54869876834457,0.9555838269550164,2884
OOD,scenario_burst_demand_OOD,50,p50,27.407313755695455,61.45831050732297,0.919136893434637,2884
OOD,scenario_heavy_vehicle_OOD,11,p11,39.83222326885275,59.991429992827136,0.8555554401468611,2884
OOD,scenario_heavy_vehicle_OOD,25,p25,25.847684832045445,39.28086074468824,0.9380723281769372,2884
OOD,scenario_heavy_vehicle_OOD,50,p50,38.621867404456985,57.92557181343868,0.8653323068405011,2884
OOD,scenario_north_extreme_OOD,11,p11,10.289431009619484,27.954660308901484,0.977981981152114,2884
OOD,scenario_north_extreme_OOD,25,p25,6.197739244334545,25.907037526146375,0.9810893999799067,2884
OOD,scenario_north_extreme_OOD,50,p50,8.843375072449627,33.732386330486946,0.9679399694610729,2884
OOD,scenario_very_high_demand_OOD,11,p11,38.45411401236167,59.95712218889996,0.8458904289756828,2884
OOD,scenario_very_high_demand_OOD,25,p25,25.72024764096122,45.97880028791464,0.9093718065750687,2884
OOD,scenario_very_high_demand_OOD,50,p50,40.8502529626515,70.94812499557858,0.7842107043029062,2884
