trial,is_baseline_control,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,validation_mae,validation_rmse,validation_r2,validation_n
1,True,0.05,300,31,20,0.0,,5.307632341092892,20.860418957650797,0.9707364597295224,5768
2,False,0.030710573677773714,448,29,47,0.7796910002727693,6.0,5.486161533418497,21.017790663419916,0.9702932639958523,5768
3,False,0.015958237752949748,314,25,15,0.8661761457749352,5.0,6.009481101760876,21.46547235743992,0.9690142714453455,5768
4,False,0.015341718702799927,230,36,6,0.7219987722668247,8.0,8.917149308157533,21.679438319472016,0.9683934666293028,5768
5,False,0.018891200276189388,291,35,37,0.3042422429595377,8.0,5.453341890561585,20.778272838194493,0.9709664793810863,5768
6,False,0.010213944061855218,444,63,31,0.6118528947223795,3.0,8.026364213395901,23.847197983578834,0.9617566853169232,5768
7,False,0.011500412753684741,287,30,19,0.45606998421703593,10.0,10.209464707975252,22.456557623945297,0.9660869242373167,5768
8,False,0.06375859628711789,463,17,41,0.6075448519014384,6.0,5.792951788074103,21.06238248881601,0.9701670772962746,5768
9,False,0.03855787045127016,373,18,29,0.9656320330745594,3.0,6.721315973153642,22.530126769486827,0.9658643573713178,5768
10,False,0.03172768832582949,445,16,24,0.24102546602601171,5.0,5.648358885005109,21.16951525095607,0.9698628181011518,5768
11,False,0.014413697528610409,363,61,39,0.9093204020787821,5.0,5.944195394471709,21.460087659341955,0.9690298152790424,5768
12,False,0.017262139284006217,487,16,10,0.20794166286818883,5.0,5.654854239157077,21.106316170618353,0.9700424914772889,5768
13,False,0.017398074711291726,290,32,30,0.44975413336976566,3.0,7.761273610114121,23.632331957552694,0.9624427340627233,5768
14,False,0.1459476894296684,369,45,19,0.0884925020519195,10.0,5.5304900361570315,20.876168100177626,0.9706922564330474,5768
15,False,0.04760153910846178,289,54,25,0.388677289689482,3.0,6.73899186901171,22.57067335399739,0.9657413816620907,5768
16,False,0.05036810975099665,379,40,29,0.28093450968738076,5.0,5.506327439014481,21.060669792361697,0.9701719288522245,5768
17,False,0.02286036785892037,256,29,49,0.07455064367977082,10.0,5.499275649859319,20.931621318813807,0.9705363497341567,5768
18,False,0.035551507962283124,228,58,12,0.005522117123602399,4.0,5.894908659935209,21.786481128950033,0.9680805798719017,5768
19,False,0.018142616985100158,491,49,39,0.7712703466859457,6.0,5.298959366294316,21.105353187793614,0.9700452250578753,5768
20,False,0.16037816051594342,140,42,11,0.8500385777897993,5.0,5.78338516082968,21.40893588782801,0.9691772789642258,5768
21,False,0.026946865572417687,147,37,28,0.6659223566174967,5.0,7.739965434394921,22.075656011617912,0.9672276149544776,5768
22,False,0.06752761235642019,134,15,39,0.1195942459383017,8.0,5.578678910232224,20.66427658663654,0.9712841798439663,5768
23,False,0.12719274763266322,104,40,18,0.49379559636439074,,5.1751093439846825,20.59527540521794,0.9714756326989827,5768
24,False,0.0840608420892158,445,56,17,0.2017192023353962,10.0,5.345344118516303,20.88556195373883,0.9706658747146669,5768
25,False,0.04154042346171991,195,18,34,0.1393314544058757,10.0,5.612750226738902,20.92477960070036,0.9705556075873404,5768
26,False,0.03419168411765895,270,43,40,0.942853570557981,10.0,5.075883918524597,20.365645012573328,0.9721081608922739,5768
27,False,0.02382184154464129,185,42,6,0.6243540481337932,8.0,6.427485176233297,21.009953603886544,0.9703154138075898,5768
28,False,0.06669254439997736,233,42,32,0.2184404372168336,5.0,5.579988305909517,20.73189694139464,0.9710959370084047,5768
29,False,0.1449592822362264,430,42,29,0.3180034749718639,,5.722401081873916,21.157807971023818,0.9698961421390658,5768
30,False,0.02259707459386439,382,27,45,0.30478125815802903,8.0,5.356386165626378,20.674910175260052,0.971254618607449,5768
31,False,0.046184639800512954,236,51,37,0.1198653673336828,5.0,5.63165177452361,21.333587848274217,0.9693938562621744,5768
32,False,0.020778520789260416,414,46,36,0.5581020020173412,5.0,5.453311173392957,21.11700857393086,0.9700121310016063,5768
33,False,0.029723025905970053,151,26,43,0.49724850589238545,,6.464958504937006,21.263600583000414,0.9695943407481767,5768
34,False,0.015583519107726734,180,63,6,0.5026790232288615,8.0,13.548043711310301,23.864413559945444,0.9617014487770722,5768
35,False,0.011040786068916569,323,47,5,0.23956189066697242,3.0,10.368797963861557,24.768083207492225,0.9587460432955055,5768
36,False,0.049063871995107776,317,46,10,0.2420552715115004,5.0,5.419016834725239,20.945143539242764,0.9704982692951004,5768
37,False,0.012740679849625696,283,31,42,0.3677831327192532,5.0,9.037571254001223,22.601120877801826,0.9656488905221072,5768
38,False,0.1903106115057642,494,62,20,0.835302495589238,5.0,6.459776888797719,22.017743885886894,0.9673993361510785,5768
39,False,0.04583337648169512,448,17,24,0.32595890520188475,5.0,5.781296146978256,21.24142253732216,0.9696577341916405,5768
40,False,0.010509480845860123,246,34,36,0.09617655109142076,,16.006435255563098,25.393618629573265,0.9566359338463036,5768
