trial,is_round1_control,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,validation_mae,validation_rmse,validation_r2,validation_n
1,True,0.03419168411765895,270,43,40,0.942853570557981,10.0,5.075883918524597,20.365645012573328,0.9721081608922739,5768
2,False,0.03654452355213248,242,39,30,1.2135983003546,9.0,5.187246789899589,20.848104389082984,0.9707709999279357,5768
3,False,0.02570883195054889,360,47,30,0.7970235595556274,9.0,5.039775965746839,20.481102599611145,0.9717910137727745,5768
4,False,0.05262490902114903,301,27,41,0.27333505273523034,,5.3901348554783794,20.72684823737812,0.9711100129312088,5768
5,False,0.07636290331793742,187,26,47,0.43842586280946394,8.0,5.525709318890469,20.87634338452458,0.9706917642727778,5768
6,False,0.05352506555897079,385,49,36,0.8822070583359058,12.0,5.217345362186752,20.529047964133103,0.9716587871818513,5768
7,False,0.025034102152280427,369,52,35,0.5026027425593955,10.0,4.986771053978154,20.22998316135369,0.9724785155557095,5768
8,False,0.07076922519051031,200,36,42,1.4782001515488246,5.0,5.648333738899818,21.048076508693157,0.9702075897366566,5768
9,False,0.02155248943349772,200,31,40,0.785649027560406,6.0,6.756144532768187,21.484197836172594,0.9689601868511662,5768
10,False,0.09210273435223537,209,38,37,0.7010414533018909,6.0,5.524923574185372,21.191858576948086,0.9697991680626391,5768
11,False,0.023404527272255594,233,52,34,1.0882425744730957,8.0,5.312183457599225,20.69140367062748,0.9712087368190256,5768
12,False,0.044375555500974335,324,27,33,0.708378789845213,6.0,5.449305304677603,21.138247480215018,0.9699517787192142,5768
13,False,0.058091581453305466,151,54,25,0.4703241617286455,8.0,4.984758887599799,20.46268828590914,0.9718417156921503,5768
14,False,0.02693008444549291,340,42,45,0.7846803733806953,6.0,5.371086353918583,21.167405208651637,0.969868825566021,5768
15,False,0.08442818880459152,163,55,35,0.624502999447586,10.0,5.134294564151467,20.51539381203802,0.9716964749050989,5768
16,False,0.02741676047408578,398,54,27,1.2978940032815969,9.0,5.0864525693423,20.577732131305435,0.9715242067191202,5768
17,False,0.030952435664691257,202,48,45,1.4548318994433793,8.0,5.183692540414513,20.711580020304616,0.9711525602711055,5768
18,False,0.04790251099825471,190,53,34,0.4148470207819033,5.0,5.516396673777738,21.302701442180297,0.9694824142193783,5768
19,False,0.09791164835210922,237,25,31,0.5815346271334496,12.0,5.567632276817473,21.05196156317026,0.9701965905540045,5768
20,False,0.07430415058177403,230,32,22,1.2272282026905674,7.0,5.369112608816572,20.80799500523872,0.9708833582911148,5768
21,False,0.022531234426013184,380,50,28,1.389447578206915,5.0,5.489188541315814,21.19555462801963,0.9697886325495847,5768
22,False,0.054537683855477054,311,25,35,0.6820637278577463,10.0,5.424035428817192,20.773366015780937,0.9709801903867576,5768
23,False,0.03375385525305957,248,36,27,0.5571383308870834,7.0,5.170203183088106,20.662000689538868,0.9712905048321674,5768
24,False,0.04276555021350148,250,39,33,1.303587971545909,9.0,5.292034895164437,20.667347859086195,0.9712756433088533,5768
25,False,0.049356677942424786,291,31,46,0.8795526781965923,12.0,5.436209760660911,20.838735053472515,0.9707972656036359,5768
26,False,0.023907785635795806,273,37,38,0.24085794139275454,12.0,5.224936499085825,20.6868198037133,0.9712214919420948,5768
27,False,0.04298327700484225,245,28,49,0.3811308907276384,12.0,5.334755176486511,20.79908251538366,0.9709082954557787,5768
28,False,0.03871465105028378,320,53,23,1.4257096417253754,12.0,5.064374613596991,20.419056542591207,0.9719616691581735,5768
29,False,0.03188288186336855,235,52,21,1.0116602625739313,10.0,5.105736970960879,20.638744756518303,0.9713550959009467,5768
30,False,0.055431958361435364,283,52,47,0.4839725683818837,8.0,5.423631274740109,20.734288423048106,0.971089268296579,5768
31,False,0.08412052272107266,224,50,42,1.3649186899005412,12.0,5.514761506668268,21.16550132816645,0.9698742455572353,5768
32,False,0.08607477088816562,278,49,46,0.7552401252141332,8.0,5.484695995834454,20.74265111649907,0.9710659426498802,5768
33,False,0.03527483984984782,152,31,25,0.8639714933508356,5.0,5.750259590220841,21.441794694244123,0.969082591861711,5768
34,False,0.043642699199081744,374,43,29,0.6388997228247164,12.0,5.208789729640883,20.56434811016904,0.9715612367158025,5768
35,False,0.02622167233384792,309,48,28,0.7249870223754531,10.0,5.08747884319238,20.67004133786076,0.9712681557988814,5768
36,False,0.09556008386843017,201,36,49,1.105195554691725,7.0,5.478395229134245,20.749717936608114,0.971046224185934,5768
37,False,0.03245898305437957,262,48,36,0.5468153185578706,6.0,5.320767302169063,21.14749439927714,0.9699254838010706,5768
38,False,0.04491460190407078,203,47,24,0.6485926224346878,5.0,5.458575050534245,21.102654709276095,0.9700528844557966,5768
39,False,0.029408750401585824,279,45,31,0.7821181139450191,10.0,4.992468934770762,20.34351718611585,0.9721687384463285,5768
40,False,0.02952700311320408,217,47,30,0.6805507928798258,5.0,5.533389632090131,21.146306663021495,0.9699288619402934,5768
