trial,is_control,control_label,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,validation_mae,validation_rmse,validation_r2,validation_n
1,True,round2_trial13_best,0.058091581453305466,151,54,25,0.4703241617286455,8,4.984758887599799,20.46268828590914,0.9718417156921503,5768
2,True,round2_trial7_2nd,0.025034102152280427,369,52,35,0.5026027425593955,10,4.986771053978154,20.22998316135369,0.9724785155557095,5768
3,True,round2_trial39_3rd,0.029408750401585824,279,45,31,0.7821181139450191,10,4.992468934770762,20.34351718611585,0.9721687384463285,5768
4,True,round2_control_anchor,0.03419168411765895,270,43,40,0.942853570557981,10,5.075883918524597,20.365645012573328,0.9721081608922739,5768
5,False,,0.031974613654705414,242,52,27,0.8789267873576292,8,5.051569621824207,20.723144121453203,0.9711203379259062,5768
6,False,,0.02431653160300312,224,52,23,0.5142934543375526,9,5.28364837116405,20.474948517740955,0.9718079634783371,5768
7,False,,0.02052245732335565,151,49,31,1.1508421672126001,8,11.256843182438454,22.712587188865196,0.9653092229840796,5768
8,False,,0.02511627039948444,170,42,31,0.8893225283906248,12,6.71150890093667,21.057227949191432,0.9701816773697286,5768
9,False,,0.03435875963390728,198,52,29,0.4373325305708924,10,5.026348516992837,20.501725119675033,0.9717341776468669,5768
10,False,,0.031648692100644374,339,55,34,0.8947088074664697,10,5.097183389014526,20.575277660549983,0.9715309993853919,5768
11,False,,0.03808978496858034,213,50,22,1.0879523253890564,12,5.082274035534369,20.54912921286398,0.9716033140492216,5768
12,False,,0.035166750697808495,167,45,33,1.046717878493169,7,5.301987260228394,20.81711822131058,0.9708578204488021,5768
13,False,,0.0204040661706966,279,45,34,0.9466108150603666,10,5.287096500439835,20.622906242723502,0.9713990441767195,5768
14,False,,0.037191177508277544,324,44,33,0.7128484860585926,8,5.165845824253566,20.539756048630686,0.9716292135503078,5768
15,False,,0.045865612679494516,151,55,25,0.566353330294551,10,4.998782520453228,20.489779385261194,0.9717671073280408,5768
16,False,,0.025211773555578503,340,43,31,1.1515991532513512,10,5.086888713408422,20.496423133706102,0.9717487955011422,5768
17,False,,0.04229882153082135,197,49,33,0.5567862899353162,7,5.170630689643684,20.702501746507398,0.971177843476096,5768
18,False,,0.0666765283381661,362,54,37,0.8317537059112639,8,5.3855483404184765,20.808739166533332,0.9708812756430526,5768
19,False,,0.06701847835022103,337,53,32,0.5127393799798101,12,5.293034258167294,20.539342733995916,0.9716303553304957,5768
20,False,,0.02195789068063358,220,50,20,0.558972545227338,9,5.788222026737505,20.821283314657872,0.9708461577354772,5768
21,False,,0.025657467862084907,285,44,22,1.0170162773487565,12,5.085293103639395,20.514485596377664,0.971698980841468,5768
22,False,,0.06382645195310264,190,53,26,1.0800308622318395,10,5.197449850684724,20.801678653670418,0.9709010325583393,5768
23,False,,0.030273388686235064,197,48,24,0.9836849426704513,9,5.179209082827437,20.49343381370405,0.9717570355468963,5768
24,False,,0.04040030174066147,376,46,34,0.970595829778396,7,5.264330066857682,20.73889481054563,0.9710764210916494,5768
