trial,is_control,label,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,validation_mae,validation_rmse,validation_r2,validation_n
1,True,trial7_anchor,0.025034102152280427,369,52,35,0.5026027425593955,10,4.986771053978154,20.22998316135369,0.9724785155557095,5768
2,True,trial12_anchor,0.019610763929456904,420,53,38,0.44623584798613947,9,4.9721035870203405,20.46713872118551,0.9718294660553844,5768
3,True,trial13_anchor,0.058091581453305466,151,54,25,0.4703241617286455,8,4.984758887599799,20.46268828590914,0.9718417156921503,5768
4,True,trial39_reference,0.029408750401585824,279,45,31,0.7821181139450191,10,4.992468934770762,20.34351718611585,0.9721687384463285,5768
5,False,depth_swap_trial7,0.025034102152280427,369,52,35,0.5026027425593955,9,4.963870221838317,20.307974204673602,0.972265903736181,5768
6,False,depth_swap_trial12,0.019610763929456904,420,53,38,0.44623584798613947,10,4.989723321502293,20.311511726793505,0.972256240682339,5768
7,False,iter_boost_trial12,0.019610763929456904,460,53,38,0.44623584798613947,9,4.972795426667761,20.474603023662144,0.9718089148946009,5768
8,False,lr_step_to_A_at_depth9,0.0225,400,52,36,0.48,9,4.946963120079117,20.34445413234453,0.9721661747798981,5768
9,False,lr_step_to_B_at_depth10,0.0225,410,52,36,0.48,10,4.9789111218523265,20.307041592301434,0.9722684509688234,5768
10,False,leaf_up_trial7,0.025034102152280427,369,55,35,0.5026027425593955,10,4.98875615719078,20.408087336490922,0.9719917856935051,5768
11,False,minleaf_down_trial12,0.019610763929456904,420,53,30,0.44623584798613947,9,5.006829219496962,20.519840475059258,0.9716842041313488,5768
12,False,l2_down_trial7,0.025034102152280427,369,52,35,0.4,10,5.074420070715557,20.60503596186253,0.9714485896349284,5768
13,False,l2_up_trial12,0.019610763929456904,420,53,38,0.55,9,4.992172751477303,20.381799513344987,0.9720638944385624,5768
14,False,hybrid_A_lr_iter_depth_B_leaves,0.025034102152280427,369,53,38,0.44623584798613947,10,5.000461535582967,20.284963019361175,0.9723287197364049,5768
