timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,25.3875,6.1868,0.0,0,0.0,False
5,2i,3,24.084,6.1868,0.0,0,0.0,False
5,3i,3,20.6986,6.1868,0.0,0,0.0,False
5,4i,4,25.9976,8.2491,0.0,0,0.0,False
10,1i,3,26.3009,6.1868,0.0,0,0.0,False
10,2i,3,24.1529,6.1868,0.0,0,0.0,False
10,3i,3,20.6015,6.1868,0.0,0,0.0,False
10,4i,5,24.6339,10.3114,0.0,0,0.0,False
15,1i,4,26.1646,8.2491,0.0,0,0.0,False
15,2i,4,24.8565,8.2491,0.0,0,0.0,False
15,3i,4,21.4853,8.2491,0.0,0,0.0,False
15,4i,8,23.2568,16.4982,0.0,0,0.0,False
20,1i,4,16.9217,8.2491,0.0,0,0.0,False
20,2i,4,16.8565,8.2491,0.0,0,0.0,False
20,3i,4,19.3021,8.2491,0.0,0,0.0,False
20,4i,10,19.9728,20.6228,0.0,0,0.0,False
25,1i,4,7.1655,8.2491,0.0,2,1.0,False
25,2i,4,10.6227,8.2491,0.0,2,1.0,False
25,3i,4,14.62,8.2491,0.0,0,0.0,False
25,4i,11,19.5216,22.6851,1440.0,1,1.0,False
30,1i,5,9.2606,10.3114,0.0,3,1.0,False
30,2i,5,9.7413,10.3114,0.0,2,1.0,False
30,3i,4,13.1139,8.2491,720.0,1,1.0,False
30,4i,12,19.8335,24.7474,720.0,1,1.0,False
35,1i,5,6.6172,10.3114,0.0,3,1.0,False
35,2i,5,7.07,10.3114,0.0,3,1.0,False
35,3i,3,13.1938,6.1868,720.0,1,1.0,False
35,4i,14,19.4911,28.8719,720.0,0,0.0,False
40,1i,5,4.8554,10.3114,0.0,4,5.08,False
40,2i,5,5.4484,10.3114,0.0,4,5.0,False
40,3i,3,9.3261,6.1868,0.0,1,1.0,False
40,4i,14,15.6044,28.8719,720.0,1,1.0,False
45,1i,8,11.8097,16.4982,0.0,4,5.0,False
45,2i,8,9.728,16.4982,0.0,4,5.0,False
45,3i,6,14.3302,12.3737,0.0,2,1.0,False
45,4i,18,14.4406,37.1211,0.0,5,27.76,False
50,1i,5,17.3283,10.3114,2160.0,1,1.0,False
50,2i,5,13.9377,10.3114,2160.0,1,1.0,False
50,3i,6,12.1362,12.3737,0.0,2,1.0,False
50,4i,19,11.7072,39.1833,0.0,7,31.72,False
55,1i,5,19.5578,10.3114,720.0,1,1.0,False
55,2i,5,17.3578,10.3114,720.0,1,1.0,False
55,3i,7,13.6636,14.436,0.0,3,8.0,False
55,4i,23,11.2185,47.4325,0.0,9,42.76,False
60,1i,5,13.2721,10.3114,0.0,1,1.0,False
60,2i,5,15.6837,10.3114,0.0,1,1.0,False
60,3i,7,9.5084,14.436,0.0,3,8.0,False
60,4i,24,8.8811,49.4947,0.0,12,46.72,False
65,1i,3,8.0571,6.1868,1440.0,1,1.0,False
65,2i,4,12.7598,8.2491,720.0,1,1.0,False
65,3i,7,5.5115,14.436,0.0,4,8.0,False
65,4i,25,7.5237,51.557,0.0,15,54.73,False
70,1i,4,12.6957,8.2491,0.0,2,5.0,False
70,2i,4,13.3324,8.2491,720.0,1,1.0,False
70,3i,8,6.0792,16.4982,0.0,5,12.0,False
70,4i,29,7.4663,59.8061,0.0,16,58.72,False
75,1i,4,9.1956,8.2491,0.0,2,5.0,False
75,2i,4,9.4667,8.2491,0.0,2,5.0,False
75,3i,8,3.7132,16.4982,0.0,5,12.0,False
75,4i,30,5.7052,61.8684,0.0,19,62.72,False
80,1i,5,20.3853,10.3114,1440.0,0,0.0,False
80,2i,5,22.0606,10.3114,1440.0,1,1.0,False
80,3i,11,8.8211,22.6851,0.0,7,19.0,False
80,4i,34,5.9681,70.1176,0.0,22,73.75,False
85,1i,5,17.2093,10.3114,0.0,1,1.0,False
85,2i,5,18.9432,10.3114,0.0,1,1.0,False
85,3i,11,7.3098,22.6851,0.0,7,19.0,False
85,4i,35,4.8985,72.1798,0.0,24,77.73,False
90,1i,5,14.6268,10.3114,0.0,1,1.0,False
90,2i,5,16.2724,10.3114,0.0,1,1.0,False
90,3i,11,6.039,22.6851,0.0,7,19.0,False
90,4i,38,4.8193,78.3667,0.0,27,85.76,False
95,1i,6,13.5418,12.3737,0.0,2,8.0,False
95,2i,6,15.8645,12.3737,0.0,2,8.0,False
95,3i,9,10.762,18.5605,2160.0,1,1.0,False
95,4i,36,5.586,74.2421,2880.0,20,85.73,False
100,1i,6,9.1268,12.3737,0.0,2,8.0,False
100,2i,6,8.9059,12.3737,0.0,2,8.0,False
100,3i,5,13.8517,10.3114,2880.0,1,1.0,False
