timestamp,vehicle_id,vehicle_type,edge_id,lane_id,is_internal_edge,is_approach_edge,lane_position_m,lane_length_m,distance_from_stop_line_m,speed_mps,acceleration_mps2,waiting_time_s,x,y,angle_deg
1.0,f_4i_left_0.0,bike,4i,4i_2,0,1,1.6,484.9,483.3,27.77,0.0,0.0,508.4,1006.9,180.0
2.0,f_4i_left_0.0,bike,4i,4i_2,0,1,28.0404,484.9,456.8596,26.4404,-1.3296,0.0,508.4,980.4596,180.0
3.0,f_4i_left_0.0,bike,4i,4i_2,0,1,55.409,484.9,429.491,27.3686,0.9282,0.0,508.4,953.091,180.0
4.0,f_4i_left_0.0,bike,4i,4i_2,0,1,82.3625,484.9,402.5375,26.9534,-0.4152,0.0,508.4,926.1375,180.0
5.0,f_4i_left_0.0,bike,4i,4i_2,0,1,109.2741,484.9,375.6259,26.9116,-0.0418,0.0,508.4,899.2259,180.0
6.0,f_4i_left_0.0,bike,4i,4i_2,0,1,136.0452,484.9,348.8548,26.7711,-0.1405,0.0,508.4,872.4548,180.0
7.0,f_4i_left_0.0,bike,4i,4i_2,0,1,162.9107,484.9,321.9893,26.8655,0.0944,0.0,508.4,845.5893,180.0
8.0,f_4i_left_0.0,bike,4i,4i_2,0,1,189.6721,484.9,295.2279,26.7614,-0.1042,0.0,508.4,818.8279,180.0
9.0,f_4i_left_0.0,bike,4i,4i_2,0,1,217.2979,484.9,267.6021,27.6258,0.8644,0.0,508.4,791.2021,180.0
10.0,f_4i_left_0.0,bike,4i,4i_2,0,1,243.7727,484.9,241.1273,26.4748,-1.1509,0.0,508.4,764.7273,180.0
11.0,f_4i_left_0.0,bike,4i,4i_2,0,1,270.9796,484.9,213.9204,27.2069,0.7321,0.0,508.4,737.5204,180.0
12.0,f_4i_left_0.0,bike,4i,4i_2,0,1,298.1603,484.9,186.7397,27.1807,-0.0263,0.0,508.4,710.3397,180.0
13.0,f_4i_left_0.0,bike,4i,4i_2,0,1,324.2325,484.9,160.6675,26.0722,-1.1085,0.0,508.4,684.2675,180.0
14.0,f_4i_left_0.0,bike,4i,4i_2,0,1,350.5328,484.9,134.3672,26.3004,0.2282,0.0,508.4,657.9672,180.0
15.0,f_4i_left_0.0,bike,4i,4i_2,0,1,375.632,484.9,109.268,25.0991,-1.2012,0.0,508.4,632.868,180.0
16.0,f_4i_left_0.0,bike,4i,4i_2,0,1,398.9851,484.9,85.9149,23.3532,-1.7459,0.0,508.4,609.5149,180.0
17.0,f_4i_left_0.0,bike,4i,4i_2,0,1,419.5383,484.9,65.3617,20.5532,-2.8,0.0,508.4,588.9617,180.0
18.0,f_4i_left_0.0,bike,4i,4i_2,0,1,437.2915,484.9,47.6085,17.7532,-2.8,0.0,508.4,571.2085,180.0
19.0,f_4i_left_0.0,bike,4i,4i_2,0,1,452.2697,484.9,32.6303,14.9782,-2.775,0.0,508.4,556.2303,180.0
20.0,f_4i_left_0.0,bike,4i,4i_2,0,1,464.4479,484.9,20.4521,12.1782,-2.8,0.0,508.4,544.0521,180.0
21.0,f_4i_left_0.0,bike,4i,4i_2,0,1,473.8106,484.9,11.0894,9.3628,-2.8154,0.0,508.4,534.6894,180.0
22.0,f_4i_left_0.0,bike,4i,4i_2,0,1,480.1734,484.9,4.7266,6.3628,-3.0,0.0,508.4,528.3266,180.0
23.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.5362,484.9,1.3638,3.3628,-3.0,0.0,508.4,524.9638,180.0
24.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.3628,-3.0,0.0,508.4,524.601,180.0
25.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,-0.3628,1.0,508.4,524.601,180.0
26.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,2.0,508.4,524.601,180.0
27.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,3.0,508.4,524.601,180.0
28.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,4.0,508.4,524.601,180.0
29.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,5.0,508.4,524.601,180.0
30.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,6.0,508.4,524.601,180.0
31.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,7.0,508.4,524.601,180.0
32.0,f_4i_left_0.0,bike,4i,4i_2,0,1,483.899,484.9,1.001,0.0,0.0,8.0,508.4,524.601,180.0
33.0,f_4i_left_0.0,bike,:0_2,:0_2_0,1,0,1.6488,8.26,,2.6498,2.6498,8.0,508.6334,521.9659,171.8699
34.0,f_4i_left_0.0,bike,:0_2,:0_2_0,1,0,7.7304,8.26,,6.0816,3.4318,8.0,509.8767,516.0744,156.2415
35.0,f_4i_left_0.0,bike,:0_12,:0_12_0,1,0,8.1463,16.25,,8.6759,2.5943,8.0,515.7638,510.0617,120.9638
36.0,f_4i_left_0.0,bike,2o,2o_0,0,0,0.1526,484.9,,8.2564,-0.4195,8.0,523.7526,508.4,97.3045
37.0,f_4i_left_0.0,bike,2o,2o_0,0,0,11.8372,484.9,,11.6845,3.4282,8.0,535.4372,508.4,90.0
37.0,f_4i_left_0.1,bike,4i,4i_2,0,1,1.6,484.9,483.3,27.77,0.0,0.0,508.4,1006.9,180.0
38.0,f_4i_left_0.0,bike,2o,2o_0,0,0,26.8451,484.9,,15.0079,3.3234,8.0,550.4451,508.4,90.0
38.0,f_4i_left_0.1,bike,4i,4i_2,0,1,28.9174,484.9,455.9826,27.3174,-0.4526,0.0,508.4,979.5826,180.0
39.0,f_4i_left_0.0,bike,2o,2o_0,0,0,44.6359,484.9,,17.7908,2.7829,8.0,568.2359,508.4,90.0
39.0,f_4i_left_0.1,bike,4i,4i_2,0,1,55.6391,484.9,429.2609,26.7217,-0.5957,0.0,508.4,952.8609,180.0
