timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
0,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
15,1i,150.0,2,24.7752,0,0.0,False,,,0.0,0.5,0.5,0.0,0.0
20,1i,150.0,3,15.4031,0,0.0,False,,,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
25,1i,150.0,3,5.7068,1,1.0,False,,,0.006666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
30,1i,150.0,3,0.2612,2,1.0,False,1.0,0.2612,0.006666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
35,1i,150.0,5,10.2048,3,1.0,False,1.0,10.2048,0.006666666666666667,0.6,0.2,0.2,0.0
40,1i,150.0,6,7.0649,3,1.0,False,1.0,7.0649,0.006666666666666667,0.5,0.3333333333333333,0.16666666666666666,0.0
45,1i,150.0,6,1.0736,4,8.0,False,8.0,-23.701600000000003,0.05333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.0
50,1i,150.0,2,0.0024,2,5.0,False,5.0,-15.4007,0.03333333333333333,0.5,0.5,0.0,0.0
55,1i,150.0,4,12.484,2,5.0,False,4.0,6.7772,0.03333333333333333,0.5,0.5,0.0,0.0
60,1i,150.0,5,10.5707,2,5.0,False,4.0,10.3095,0.03333333333333333,0.4,0.6,0.0,0.0
65,1i,150.0,3,0.1904,2,5.0,False,4.0,-10.0144,0.03333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
70,1i,150.0,3,0.0001,3,12.0,False,11.0,-7.0648,0.08,0.6666666666666666,0.3333333333333333,0.0,0.0
75,1i,150.0,4,5.3351,3,12.0,False,4.0,4.2615,0.08,0.75,0.25,0.0,0.0
80,1i,150.0,5,10.0448,0,0.0,False,-5.0,10.0424,0.0,0.4,0.4,0.2,0.0
85,1i,150.0,3,8.0264,1,1.0,False,-4.0,-4.457599999999999,0.006666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
90,1i,150.0,3,1.2979,2,1.0,False,-4.0,-9.2728,0.006666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
95,1i,150.0,4,5.5979,3,1.0,False,-4.0,5.4075,0.006666666666666667,0.5,0.25,0.25,0.0
100,1i,150.0,6,7.7259,3,1.0,False,-11.0,7.7258000000000004,0.006666666666666667,0.3333333333333333,0.16666666666666666,0.5,0.0
105,1i,150.0,6,4.2143,4,5.03,False,-6.97,-1.1208,0.03353333333333333,0.3333333333333333,0.16666666666666666,0.5,0.0
110,1i,150.0,6,1.6932,4,5.0,False,5.0,-8.351600000000001,0.03333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.0
115,1i,150.0,6,0.0074,6,13.71,False,12.71,-8.019,0.09140000000000001,0.3333333333333333,0.16666666666666666,0.5,0.0
