timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,0,,,
5,2i,0,,,
5,3i,0,,,
5,4i,1,27.1724,376.42,376.42
10,1i,0,,,
10,2i,0,,,
10,3i,0,,,
10,4i,1,27.0989,242.2,242.2
15,1i,0,,,
15,2i,0,,,
15,3i,0,,,
15,4i,2,26.3768,107.18,376.9
20,1i,0,,,
20,2i,0,,,
20,3i,0,,,
20,4i,2,20.1035,15.22,242.0
25,1i,0,,,
25,2i,0,,,
25,3i,0,,,
25,4i,1,26.71,107.45,107.45
30,1i,0,,,
30,2i,0,,,
30,3i,0,,,
30,4i,2,19.0585,18.42,456.99
35,1i,0,,,
35,2i,0,,,
35,3i,0,,,
35,4i,2,13.3338,1.0,322.03
40,1i,0,,,
40,2i,0,,,
40,3i,0,,,
40,4i,3,14.858,1.0,474.59
45,1i,0,,,
45,2i,1,27.2656,456.03,456.03
45,3i,0,,,
45,4i,3,12.9131,1.0,380.17
50,1i,0,,,
50,2i,1,23.8104,337.08,337.08
50,3i,0,,,
50,4i,3,8.3196,1.0,287.17
55,1i,0,,,
55,2i,1,23.6733,219.9,219.9
55,3i,0,,,
55,4i,3,6.412,1.0,193.1
60,1i,0,,,
60,2i,1,22.2359,101.51,101.51
60,3i,0,,,
60,4i,3,5.3414,1.0,103.67
65,1i,0,,,
65,2i,1,13.1161,19.07,19.07
65,3i,0,,,
65,4i,3,2.8413,1.0,46.05
70,1i,0,,,
70,2i,0,,,
70,3i,0,,,
70,4i,3,0.5075,1.0,24.93
75,1i,0,,,
75,2i,0,,,
75,3i,0,,,
75,4i,3,0.0006,1.0,24.71
80,1i,0,,,
80,2i,0,,,
80,3i,0,,,
80,4i,3,0.0,1.0,24.71
85,1i,1,19.44,474.59,474.59
85,2i,0,,,
85,3i,0,,,
85,4i,3,0.0,1.0,24.71
90,1i,1,19.1033,380.27,380.27
90,2i,0,,,
90,3i,0,,,
90,4i,3,0.0,1.0,24.71
95,1i,1,18.6503,285.79,285.79
95,2i,0,,,
95,3i,0,,,
95,4i,2,13.5346,21.71,455.49
100,1i,1,18.9819,190.38,190.38
100,2i,0,,,
100,3i,0,,,
100,4i,1,24.4515,334.91,334.91
105,1i,1,16.406,101.02,101.02
105,2i,0,,,
105,3i,0,,,
105,4i,1,23.2906,214.15,214.15
110,1i,1,9.3254,40.41,40.41
110,2i,0,,,
110,3i,0,,,
110,4i,1,17.9995,121.59,121.59
115,1i,1,2.2841,14.9,14.9
115,2i,0,,,
115,3i,0,,,
115,4i,1,14.6985,42.65,42.65
120,1i,1,0.0005,13.71,13.71
120,2i,0,,,
120,3i,0,,,
120,4i,1,2.8584,3.44,3.44
125,1i,1,0.0,13.71,13.71
125,2i,0,,,
125,3i,0,,,
125,4i,1,0.004,1.0,1.0
130,1i,1,0.0,13.71,13.71
130,2i,0,,,
130,3i,0,,,
130,4i,1,0.0,1.0,1.0
135,1i,1,0.0,13.71,13.71
135,2i,0,,,
135,3i,0,,,
135,4i,2,11.9168,1.0,382.86
140,1i,0,,,
140,2i,0,,,
140,3i,0,,,
140,4i,2,11.6527,1.0,264.92
145,1i,1,24.7657,455.53,455.53
145,2i,0,,,
145,3i,0,,,
145,4i,3,13.6998,1.0,456.09
150,1i,1,23.7376,336.63,336.63
150,2i,0,,,
150,3i,0,,,
150,4i,3,12.1526,1.0,341.65
155,1i,1,24.0363,215.02,215.02
155,2i,0,,,
155,3i,0,,,
155,4i,3,8.8268,1.0,236.72
160,1i,1,20.7893,98.88,98.88
160,2i,0,,,
160,3i,0,,,
160,4i,3,5.9025,1.0,139.8
165,1i,1,6.7893,36.93,36.93
165,2i,0,,,
165,3i,0,,,
165,4i,3,3.7863,1.0,67.15
170,1i,1,0.023,30.44,30.44
170,2i,1,19.3518,434.57,434.57
170,3i,0,,,
170,4i,4,6.904,1.0,429.52
175,1i,1,3.2508,17.49,17.49
175,2i,2,21.292,338.3,432.47
175,3i,0,,,
175,4i,4,6.5841,1.0,294.74
180,1i,1,0.0094,13.71,13.71
180,2i,2,21.7084,242.17,312.66
180,3i,0,,,
180,4i,4,5.0038,1.0,172.54
185,1i,1,0.0,13.71,13.71
185,2i,2,20.5649,152.84,189.61
185,3i,0,,,
185,4i,3,4.8046,25.31,93.59
190,1i,1,0.0,13.71,13.71
190,2i,2,15.9161,74.05,84.1
190,3i,0,,,
190,4i,2,3.4705,31.69,57.81
195,1i,1,0.0,13.71,13.71
195,2i,2,6.7491,16.85,37.45
195,3i,0,,,
