timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,0.25
5,1i,150.0,0,0.0,0,0.0,False,1,27.5818,379.51,379.51,0.25
10,1i,150.0,0,0.0,0,0.0,False,1,26.6528,243.71,243.71,0.25
15,1i,150.0,2,25.0136,0,0.0,False,1,25.9624,109.52,109.52,0.25
20,1i,150.0,3,15.6429,0,0.0,False,1,12.0752,21.38,21.38,0.25
25,1i,150.0,3,5.6989,1,1.01,False,1,0.0449,1.01,1.01,0.25
30,1i,150.0,3,0.0012,2,1.0,False,2,13.885,1.0,483.3,0.25
35,1i,150.0,3,0.0,3,1.0,False,2,8.2237,1.0,373.06,0.25
40,1i,150.0,3,0.0,3,1.0,False,2,8.6365,1.0,283.49,0.25
45,1i,150.0,3,0.0,3,1.0,False,2,8.5613,1.0,196.1,0.25
50,1i,150.0,4,12.1383,1,1.0,False,1,16.9891,107.47,107.47,0.25
55,1i,150.0,4,10.6658,1,1.0,False,1,16.2632,28.4,28.4,0.25
60,1i,150.0,2,1.0782,1,1.0,False,0,,,,0.25
65,1i,150.0,2,0.0015,2,13.71,False,0,,,,0.25
70,1i,150.0,2,0.0,2,13.71,False,0,,,,0.25
75,1i,150.0,4,9.0265,2,13.71,False,0,,,,0.25
80,1i,150.0,4,10.1637,0,0.0,False,0,,,,0.25
85,1i,150.0,3,5.5151,0,0.0,False,1,19.44,474.59,474.59,0.25
90,1i,150.0,3,0.0111,3,1.03,False,1,19.1033,380.27,380.27,0.25
95,1i,150.0,3,0.0,3,1.0,False,1,18.6503,285.79,285.79,0.25
100,1i,150.0,3,0.0,3,1.0,False,1,18.9819,190.38,190.38,0.25
105,1i,150.0,6,8.7331,3,1.0,False,1,16.406,101.02,101.02,0.25
110,1i,150.0,6,6.1238,3,1.0,False,1,9.3254,40.41,40.41,0.25
115,1i,150.0,6,1.7674,3,1.0,False,1,2.2841,14.9,14.9,0.25
120,1i,150.0,6,0.004,6,13.71,False,2,11.7925,13.71,384.44,0.25
125,1i,150.0,7,3.6798,6,13.71,False,2,12.0139,13.71,264.67,0.25
130,1i,150.0,8,4.5349,6,13.71,False,2,12.0881,13.71,145.57,0.25
135,1i,150.0,9,3.6319,6,13.71,False,2,7.4837,13.71,51.93,0.25
140,1i,150.0,5,4.2061,2,5.0,False,1,6.975,8.18,8.18,0.25
145,1i,150.0,3,1.0212,2,5.0,False,1,24.7657,455.53,455.53,0.25
150,1i,150.0,3,0.0061,3,17.72,False,1,23.7376,336.63,336.63,0.25
155,1i,150.0,4,4.9274,3,17.71,False,1,24.0363,215.02,215.02,0.25
160,1i,150.0,6,10.2827,3,17.71,False,1,20.7893,98.88,98.88,0.25
165,1i,150.0,5,3.3355,3,17.71,False,1,6.7893,36.93,36.93,0.25
170,1i,150.0,4,1.1375,2,30.44,False,1,0.023,30.44,30.44,0.25
175,1i,150.0,3,1.6849,1,1.0,False,2,13.567,17.49,432.52,0.25
180,1i,150.0,3,0.0031,3,13.71,False,2,12.1044,13.71,310.6,0.25
185,1i,150.0,3,0.0,3,13.71,False,2,12.2465,13.71,189.55,0.25
190,1i,150.0,5,6.9925,3,13.71,False,2,9.3321,13.71,77.84,0.25
195,1i,150.0,6,4.3401,3,13.71,False,2,2.5554,13.71,25.52,0.25
200,1i,150.0,6,1.1272,5,20.72,False,2,0.0028,13.71,20.72,0.25
205,1i,150.0,6,0.0163,5,20.71,False,2,0.0,13.71,20.71,0.25
210,1i,150.0,6,0.0,6,20.71,False,2,0.0,13.71,20.71,0.25
215,1i,150.0,8,5.2218,6,20.71,False,2,0.0,13.71,20.71,0.25
220,1i,150.0,9,4.4937,6,20.71,False,2,0.0,13.71,20.71,0.25
225,1i,150.0,9,1.6713,6,20.71,False,2,0.0,13.71,20.71,0.25
230,1i,150.0,5,1.276,4,27.71,False,2,0.0,13.71,20.71,0.25
235,1i,150.0,4,0.0,4,27.71,False,2,0.0,13.71,20.71,0.25
240,1i,150.0,5,3.8773,4,27.71,False,2,0.0,13.71,20.71,0.25
245,1i,150.0,5,4.7699,4,27.71,False,2,0.0,13.71,20.71,0.25
250,1i,150.0,6,4.1392,4,27.71,False,2,0.0,13.71,20.71,0.25
255,1i,150.0,5,1.528,4,27.71,False,2,0.0,13.71,20.71,0.25
260,1i,150.0,4,1.4907,1,27.71,False,3,7.7739,9.04,455.82,0.25
265,1i,150.0,4,8.2338,0,0.0,False,2,9.8554,1.3,361.39,0.25
270,1i,150.0,4,4.3441,3,15.19,False,2,9.4411,1.0,268.76,0.25
275,1i,150.0,5,4.6774,3,15.0,False,2,9.6629,1.0,173.46,0.25
280,1i,150.0,6,3.5234,4,15.0,False,3,13.8767,1.0,455.91,0.25
285,1i,150.0,6,1.1238,5,15.0,False,3,11.2081,1.0,321.98,0.25
290,1i,150.0,6,0.0281,6,27.74,False,3,9.2772,1.0,186.73,0.25
295,1i,150.0,7,2.2963,6,27.71,False,3,5.358,1.0,78.79,0.25
300,1i,150.0,8,4.2539,6,27.71,False,3,2.4607,1.0,27.71,0.25
305,1i,150.0,9,3.4047,7,27.71,False,3,0.0362,1.0,27.71,0.25
310,1i,150.0,9,1.2765,7,27.71,False,3,0.0,1.0,27.71,0.25
315,1i,150.0,9,0.2966,8,27.71,False,3,0.0,1.0,27.71,0.25
320,1i,150.0,6,3.4246,5,40.43,False,3,8.21,1.0,382.8,0.25
325,1i,150.0,6,3.0592,5,40.43,False,3,7.8193,1.0,262.51,0.25
330,1i,150.0,7,6.803,5,40.43,False,3,7.9264,1.0,143.09,0.25
335,1i,150.0,7,3.8463,5,40.43,False,3,5.6941,1.0,34.58,0.25
340,1i,150.0,6,0.0085,6,53.17,False,2,0.0,1.0,27.71,0.25
345,1i,150.0,6,0.0,6,53.14,False,3,8.884,1.0,456.65,0.25
350,1i,150.0,6,3.7048,4,53.14,False,2,13.76,27.71,321.26,0.25
355,1i,150.0,4,7.0895,0,0.0,False,2,16.1354,9.38,186.27,0.25
360,1i,150.0,6,6.3323,1,1.0,False,2,9.7862,1.0,65.87,0.25
365,1i,150.0,6,1.9288,4,26.42,False,2,3.5203,1.0,6.08,0.25
370,1i,150.0,6,0.0006,6,33.43,False,2,0.0,1.0,1.0,0.25
375,1i,150.0,6,0.0,6,33.42,False,3,8.2191,1.0,430.77,0.25
380,1i,150.0,7,2.5802,6,33.42,False,3,7.9239,1.0,309.09,0.25
385,1i,150.0,7,1.8933,6,33.42,False,3,8.1304,1.0,188.96,0.25
390,1i,150.0,8,2.8372,6,33.42,False,3,5.6482,1.0,81.48,0.25
395,1i,150.0,9,2.0142,7,33.42,False,3,1.0942,1.0,38.41,0.25
400,1i,150.0,9,0.8339,8,37.43,False,3,0.0,1.0,37.43,0.25
405,1i,150.0,10,2.2467,8,37.43,False,3,0.0,1.0,37.43,0.25
410,1i,150.0,6,2.2178,5,37.43,False,2,0.0,1.0,37.43,0.25
415,1i,150.0,7,7.2143,5,37.43,False,2,0.0,1.0,37.43,0.25
420,1i,150.0,7,3.3849,5,37.43,False,2,0.0,1.0,37.43,0.25
425,1i,150.0,6,0.0228,6,44.52,False,2,0.0,1.0,37.43,0.25
430,1i,150.0,7,3.3439,6,44.43,False,3,6.48,1.0,474.59,0.25
435,1i,150.0,7,2.0417,6,44.43,False,3,6.2345,1.0,380.62,0.25
440,1i,150.0,6,1.7726,3,44.43,False,2,9.4762,37.43,286.88,0.25
445,1i,150.0,5,3.1453,1,1.0,False,2,11.8285,27.04,192.85,0.25
450,1i,150.0,7,5.0249,3,8.02,False,2,7.819,12.31,106.84,0.25
455,1i,150.0,7,3.0075,5,19.01,False,2,4.2037,12.0,50.24,0.25
460,1i,150.0,8,2.6034,6,19.0,False,3,9.6606,12.0,428.56,0.25
465,1i,150.0,8,1.2074,7,26.01,False,3,9.1,12.0,292.8,0.25
470,1i,150.0,8,0.025,7,26.01,False,3,8.8892,12.0,159.33,0.25
475,1i,150.0,10,2.8243,8,26.01,False,3,5.0115,12.0,56.56,0.25
