timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,25.0035,0,0.0,False
15,2i,150.0,2,25.0566,0,0.0,False
15,3i,150.0,2,26.3079,0,0.0,False
15,4i,150.0,2,24.6812,0,0.0,False
20,1i,150.0,3,13.5027,0,0.0,False
20,2i,150.0,3,15.2361,0,0.0,False
20,3i,150.0,3,15.0439,0,0.0,False
20,4i,150.0,3,15.574,0,0.0,False
25,1i,150.0,4,4.2232,2,1.0,False
25,2i,150.0,4,8.7271,1,1.0,False
25,3i,150.0,2,7.7633,1,1.0,False
25,4i,150.0,2,6.7481,1,1.0,False
30,1i,150.0,5,5.0342,3,1.0,False
30,2i,150.0,5,4.268,2,1.0,False
30,3i,150.0,1,0.0,1,1.0,False
30,4i,150.0,2,0.6159,1,1.0,False
35,1i,150.0,7,7.0786,3,1.0,False
35,2i,150.0,7,5.5146,4,15.04,False
35,3i,150.0,1,18.3967,0,0.0,False
35,4i,150.0,2,8.7689,1,1.0,False
40,1i,150.0,9,5.4607,3,1.0,False
40,2i,150.0,9,4.9999,5,19.04,False
40,3i,150.0,1,12.1768,0,0.0,False
40,4i,150.0,2,6.0484,1,1.0,False
45,1i,150.0,10,3.8137,5,8.02,False
45,2i,150.0,10,4.0131,7,23.04,False
45,3i,150.0,2,8.1462,1,1.0,False
45,4i,150.0,3,5.3307,2,1.0,False
50,1i,150.0,8,5.5167,3,29.65,False
50,2i,150.0,9,6.5808,2,26.84,False
50,3i,150.0,2,1.3047,1,1.0,False
50,4i,150.0,3,0.7641,2,1.0,False
55,1i,150.0,8,7.7657,2,8.0,False
55,2i,150.0,8,6.7387,2,5.0,False
55,3i,150.0,5,14.8822,2,13.71,False
55,4i,150.0,5,9.8539,3,15.04,False
60,1i,150.0,6,7.2193,2,8.0,False
60,2i,150.0,6,6.9212,2,5.0,False
60,3i,150.0,5,7.8603,2,13.71,False
60,4i,150.0,6,6.6803,3,15.04,False
65,1i,150.0,5,6.6788,2,8.0,False
65,2i,150.0,5,6.0837,2,5.0,False
65,3i,150.0,5,0.5615,4,17.72,False
65,4i,150.0,6,1.7883,4,15.04,False
70,1i,150.0,6,9.7,3,12.03,False
70,2i,150.0,5,7.5903,3,17.71,False
70,3i,150.0,6,4.0721,5,17.71,False
70,4i,150.0,7,3.2203,5,15.04,False
75,1i,150.0,7,7.2842,3,12.0,False
75,2i,150.0,7,6.5317,3,17.71,False
75,3i,150.0,6,1.7967,5,17.71,False
75,4i,150.0,7,0.8764,6,19.09,False
80,1i,150.0,7,5.1914,1,24.77,False
80,2i,150.0,7,5.7177,3,16.93,False
80,3i,150.0,6,0.0005,6,21.72,False
80,4i,150.0,7,0.0036,7,31.76,False
85,1i,150.0,7,8.0276,2,1.0,False
85,2i,150.0,7,5.4898,2,1.0,False
85,3i,150.0,7,2.0853,6,21.71,False
85,4i,150.0,8,1.8883,7,31.75,False
90,1i,150.0,8,4.0979,5,12.28,False
90,2i,150.0,9,4.5907,6,15.01,False
90,3i,150.0,7,0.1553,6,21.71,False
90,4i,150.0,8,0.1664,7,31.75,False
95,1i,150.0,10,4.8377,7,19.01,False
95,2i,150.0,10,3.9704,6,15.0,False
95,3i,150.0,7,11.2385,1,1.0,False
95,4i,150.0,7,7.8946,3,35.11,False
100,1i,150.0,11,3.7618,7,19.0,False
100,2i,150.0,12,4.0844,7,15.0,False
100,3i,150.0,4,10.5957,1,1.0,False
100,4i,150.0,6,8.1377,1,1.0,False
105,1i,150.0,13,3.5061,9,23.01,False
105,2i,150.0,14,3.6023,10,26.02,False
105,3i,150.0,2,0.0101,2,5.0,False
105,4i,150.0,3,3.9852,2,5.01,False
110,1i,150.0,14,1.5414,11,37.04,False
110,2i,150.0,15,1.9492,11,39.87,False
110,3i,150.0,2,0.0,2,5.0,False
110,4i,150.0,4,7.8543,2,5.0,False
115,1i,150.0,15,1.2933,13,37.01,False
115,2i,150.0,16,1.3249,14,42.84,False
115,3i,150.0,3,5.6937,2,5.0,False
115,4i,150.0,3,4.9779,2,5.0,False
120,1i,150.0,18,3.2506,14,41.01,False
120,2i,150.0,19,2.8944,15,46.72,False
120,3i,150.0,3,4.1553,2,5.0,False
120,4i,150.0,2,0.0,2,5.0,False
125,1i,150.0,19,2.0407,15,45.01,False
125,2i,150.0,19,0.8969,16,53.72,False
125,3i,150.0,2,8.1829,1,1.0,False
125,4i,150.0,0,0.0,0,0.0,False
130,1i,150.0,20,1.1636,18,52.01,False
130,2i,150.0,20,0.5663,19,60.72,False
130,3i,150.0,2,1.1828,1,1.0,False
130,4i,150.0,1,19.3117,0,0.0,False
135,1i,150.0,22,2.3491,19,56.01,False
135,2i,150.0,22,1.899,19,60.72,False
135,3i,150.0,5,14.5699,2,13.71,False
