timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,25.1361,0,0.0,False,,,0.0
20,1i,150.0,3,13.133,0,0.0,False,,,0.0
25,1i,150.0,3,0.8378,0,0.0,False,,,0.0
30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
45,1i,150.0,3,0.0,3,1.0,False,1.0,-25.1361,0.006666666666666667
50,1i,150.0,1,0.0,1,1.0,False,1.0,-13.133,0.006666666666666667
55,1i,150.0,2,12.2267,1,1.0,False,1.0,11.3889,0.006666666666666667
60,1i,150.0,4,12.4528,1,1.0,False,0.0,12.4528,0.006666666666666667
65,1i,150.0,3,5.6442,1,1.0,False,0.0,5.6442,0.006666666666666667
70,1i,150.0,3,2.7498,2,5.0,False,4.0,2.7498,0.03333333333333333
75,1i,150.0,3,0.0,3,5.0,False,4.0,0.0,0.03333333333333333
80,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
85,1i,150.0,1,0.0,1,1.0,False,0.0,-12.2267,0.006666666666666667
90,1i,150.0,1,0.0,1,1.0,False,0.0,-12.4528,0.006666666666666667
95,1i,150.0,2,12.1811,1,1.0,False,0.0,6.536900000000001,0.006666666666666667
100,1i,150.0,3,11.2292,1,1.0,False,-4.0,8.4794,0.006666666666666667
105,1i,150.0,4,6.1233,1,1.0,False,-4.0,6.1233,0.006666666666666667
110,1i,150.0,4,1.2383,3,15.04,False,14.04,1.2383,0.10026666666666666
115,1i,150.0,4,0.0,4,15.04,False,14.04,0.0,0.10026666666666666
120,1i,150.0,4,0.0,4,15.04,False,14.04,0.0,0.10026666666666666
125,1i,150.0,4,0.0,4,15.04,False,14.04,-12.1811,0.10026666666666666
130,1i,150.0,4,0.0,4,15.04,False,14.04,-11.2292,0.10026666666666666
135,1i,150.0,5,4.8894,4,15.04,False,14.04,-1.2339000000000002,0.10026666666666666
140,1i,150.0,5,12.079,1,1.0,False,-14.04,10.8407,0.006666666666666667
145,1i,150.0,3,6.3516,1,1.0,False,-14.04,6.3516,0.006666666666666667
150,1i,150.0,2,0.007,2,13.71,False,-1.3299999999999983,0.007,0.09140000000000001
155,1i,150.0,2,0.0,2,13.71,False,-1.3299999999999983,0.0,0.09140000000000001
160,1i,150.0,2,0.0,2,13.71,False,-1.3299999999999983,0.0,0.09140000000000001
165,1i,150.0,2,0.0,2,13.71,False,-1.3299999999999983,-4.8894,0.09140000000000001
170,1i,150.0,1,3.0016,0,0.0,False,-1.0,-9.0774,0.0
175,1i,150.0,1,22.4273,0,0.0,False,-1.0,16.075699999999998,0.0
180,1i,150.0,2,16.0491,0,0.0,False,-13.71,16.042099999999998,0.0
185,1i,150.0,3,8.8265,1,1.0,False,-12.71,8.8265,0.006666666666666667
190,1i,150.0,3,4.0714,2,1.0,False,-12.71,4.0714,0.006666666666666667
195,1i,150.0,3,0.0,3,1.0,False,-12.71,0.0,0.006666666666666667
200,1i,150.0,3,0.0,3,1.0,False,1.0,-3.0016,0.006666666666666667
205,1i,150.0,3,0.0,3,1.0,False,1.0,-22.4273,0.006666666666666667
210,1i,150.0,3,0.0,3,1.0,False,1.0,-16.0491,0.006666666666666667
215,1i,150.0,3,0.0,3,1.0,False,0.0,-8.8265,0.006666666666666667
220,1i,150.0,5,7.665,3,1.0,False,0.0,3.5936000000000003,0.006666666666666667
225,1i,150.0,6,6.2613,3,1.0,False,0.0,6.2613,0.006666666666666667
230,1i,150.0,4,4.9886,1,1.0,False,0.0,4.9886,0.006666666666666667
235,1i,150.0,2,0.0,2,5.0,False,4.0,0.0,0.03333333333333333
240,1i,150.0,2,0.0,2,5.0,False,4.0,0.0,0.03333333333333333
245,1i,150.0,2,0.0,2,5.0,False,4.0,0.0,0.03333333333333333
250,1i,150.0,2,0.0,2,5.0,False,4.0,-7.665,0.03333333333333333
