timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,3,25.1361,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,,,0.0,,,0.0,14.0,True,,20.0,1809.7992,,
20,1i,150.0,3,13.133,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,,,0.0,,,0.0,19.0,True,,20.0,945.5759999999999,,
25,1i,150.0,3,0.8378,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,,,0.0,,,0.0,24.0,True,,20.0,60.321600000000004,,
30,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,1.0,0.0,0.006666666666666667,0.0,,1.0,4.0,False,5,20.0,0.0,0.03333333333333333,
35,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,1.0,0.0,0.006666666666666667,0.0,,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
40,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,1.0,0.0,0.006666666666666667,0.0,,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
45,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,1.0,-25.1361,0.006666666666666667,0.0,,3.0,6.0,False,10,20.0,0.0,0.03333333333333333,
50,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,1.0,-13.133,0.006666666666666667,0.0,,4.0,4.0,False,15,6.666666666666667,0.0,0.03333333333333333,
55,1i,150.0,2,12.2267,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,1.0,11.3889,0.006666666666666667,0.0,,4.0,9.0,False,20,13.333333333333334,586.8816,0.03333333333333333,
60,1i,150.0,4,12.4528,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,0.0,12.4528,0.006666666666666667,0.0,,4.0,14.0,False,25,26.666666666666668,1195.4688,0.0,
65,1i,150.0,3,5.6442,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,0.0,5.6442,0.006666666666666667,0.0,,4.0,19.0,False,30,20.0,406.38239999999996,0.0,
70,1i,150.0,3,2.7498,2,5.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,4.0,2.7498,0.03333333333333333,0.0,,4.0,24.0,False,35,20.0,197.98560000000003,0.13333333333333333,
75,1i,150.0,3,0.0,3,5.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,4.0,0.0,0.03333333333333333,0.0,,5.0,4.0,False,40,20.0,0.0,0.13333333333333333,
80,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,0.0,0.0,0.006666666666666667,0.0,,6.0,2.0,False,45,6.666666666666667,0.0,0.0,
85,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,0.0,-12.2267,0.006666666666666667,0.0,,7.0,1.0,False,50,6.666666666666667,0.0,0.0,
90,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,0.0,-12.4528,0.006666666666666667,0.0,,7.0,6.0,False,55,6.666666666666667,0.0,0.0,
95,1i,150.0,2,12.1811,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,0.0,6.536900000000001,0.006666666666666667,0.0,,0.0,4.0,True,,13.333333333333334,584.6928000000001,0.0,
100,1i,150.0,3,11.2292,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,-4.0,8.4794,0.006666666666666667,0.0,,0.0,9.0,True,,20.0,808.5024,-0.13333333333333333,
105,1i,150.0,4,6.1233,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,-4.0,6.1233,0.006666666666666667,0.0,,0.0,14.0,True,,26.666666666666668,587.8368,-0.13333333333333333,
110,1i,150.0,4,1.2383,3,15.04,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,14.04,1.2383,0.10026666666666666,0.0,,0.0,19.0,True,,26.666666666666668,118.87680000000002,0.46799999999999997,
115,1i,150.0,4,0.0,4,15.04,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,14.04,0.0,0.10026666666666666,0.0,,0.0,24.0,True,,26.666666666666668,0.0,0.46799999999999997,
120,1i,150.0,4,0.0,4,15.04,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.05,14.04,0.0,0.10026666666666666,0.0,,1.0,4.0,False,5,26.666666666666668,0.0,0.46799999999999997,
