timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,26.01,6.1868,0.0,0,0.0,False
5,2i,3,24.5817,6.1868,0.0,0,0.0,False
5,3i,3,20.6885,6.1868,0.0,0,0.0,False
5,4i,3,26.6601,6.1868,0.0,0,0.0,False
10,1i,3,25.9856,6.1868,0.0,0,0.0,False
10,2i,3,24.1489,6.1868,0.0,0,0.0,False
10,3i,3,21.5576,6.1868,0.0,0,0.0,False
10,4i,3,27.0093,6.1868,0.0,0,0.0,False
15,1i,3,25.1361,6.1868,0.0,0,0.0,False
15,2i,3,23.6143,6.1868,0.0,0,0.0,False
15,3i,3,21.2747,6.1868,0.0,0,0.0,False
15,4i,3,26.2956,6.1868,0.0,0,0.0,False
20,1i,3,13.133,6.1868,0.0,0,0.0,False
20,2i,3,13.9125,6.1868,0.0,0,0.0,False
20,3i,3,17.0618,6.1868,0.0,0,0.0,False
20,4i,2,12.4425,4.1246,720.0,0,0.0,False
25,1i,3,0.8378,6.1868,0.0,0,0.0,False
25,2i,3,4.8937,6.1868,0.0,2,1.0,False
25,3i,2,14.546,4.1246,720.0,0,0.0,False
25,4i,1,0.0,2.0623,720.0,1,1.0,False
30,1i,3,0.0,6.1868,0.0,3,1.0,False
30,2i,3,0.0,6.1868,0.0,2,1.0,False
30,3i,2,1.7817,4.1246,0.0,0,0.0,False
30,4i,1,0.0,2.0623,0.0,1,1.0,False
35,1i,3,0.0,6.1868,0.0,3,1.0,False
35,2i,3,0.0,6.1868,0.0,3,1.0,False
35,3i,1,0.0,2.0623,720.0,1,1.0,False
35,4i,0,0.0,0.0,720.0,0,0.0,False
40,1i,3,0.0,6.1868,0.0,3,1.0,False
40,2i,3,0.0,6.1868,0.0,3,1.0,False
40,3i,1,0.0,2.0623,0.0,1,1.0,False
40,4i,0,0.0,0.0,0.0,0,0.0,False
45,1i,6,11.1096,12.3737,0.0,3,1.0,False
45,2i,6,11.5282,12.3737,0.0,3,1.0,False
45,3i,4,18.6827,8.2491,0.0,1,1.0,False
45,4i,3,19.4657,6.1868,0.0,0,0.0,False
50,1i,4,16.8172,8.2491,1440.0,1,1.0,False
50,2i,4,17.4672,8.2491,1440.0,1,1.0,False
50,3i,4,18.9727,8.2491,0.0,1,1.0,False
50,4i,3,18.7529,6.1868,0.0,0,0.0,False
55,1i,4,17.0881,8.2491,0.0,1,1.0,False
55,2i,4,17.2011,8.2491,0.0,1,1.0,False
55,3i,4,17.9166,8.2491,0.0,1,1.0,False
55,4i,3,18.9053,6.1868,0.0,0,0.0,False
60,1i,4,12.4528,8.2491,0.0,1,1.0,False
60,2i,4,13.4518,8.2491,0.0,1,1.0,False
60,3i,4,11.7008,8.2491,0.0,1,1.0,False
60,4i,3,18.9919,6.1868,0.0,0,0.0,False
65,1i,3,5.6442,6.1868,720.0,1,1.0,False
65,2i,3,6.519,6.1868,720.0,1,1.0,False
65,3i,4,2.5505,8.2491,0.0,2,8.01,False
65,4i,3,15.0992,6.1868,0.0,0,0.0,False
70,1i,3,2.7498,6.1868,0.0,2,5.0,False
70,2i,2,0.0001,4.1246,720.0,2,5.0,False
70,3i,4,0.0,8.2491,0.0,4,8.0,False
70,4i,3,1.6382,6.1868,0.0,0,0.0,False
75,1i,3,0.0,6.1868,0.0,3,5.0,False
75,2i,2,0.0,4.1246,0.0,2,5.0,False
75,3i,4,0.0,8.2491,0.0,4,8.0,False
75,4i,3,0.0,6.1868,0.0,3,1.0,False
80,1i,1,0.0,2.0623,1440.0,1,1.0,False
80,2i,0,0.0,0.0,1440.0,0,0.0,False
80,3i,4,0.0,8.2491,0.0,4,8.0,False
80,4i,3,0.0,6.1868,0.0,3,1.0,False
85,1i,4,17.3369,8.2491,0.0,1,1.0,False
85,2i,3,26.9159,6.1868,0.0,0,0.0,False
85,3i,7,9.772,14.436,0.0,4,8.0,False
85,4i,6,11.9933,12.3737,0.0,3,1.0,False
90,1i,4,16.825,8.2491,0.0,1,1.0,False
90,2i,3,27.2698,6.1868,0.0,0,0.0,False
90,3i,7,9.6675,14.436,0.0,4,8.0,False
90,4i,6,11.4886,12.3737,0.0,3,1.0,False
95,1i,4,17.2045,8.2491,0.0,1,1.0,False
95,2i,3,26.799,6.1868,0.0,0,0.0,False
95,3i,4,17.0025,8.2491,2160.0,1,1.0,False
95,4i,4,17.0221,8.2491,1440.0,1,1.0,False
100,1i,4,13.2435,8.2491,0.0,1,1.0,False
100,2i,3,15.6286,6.1868,0.0,0,0.0,False
100,3i,4,13.21,8.2491,0.0,1,1.0,False
100,4i,4,13.4916,8.2491,0.0,1,1.0,False
