timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
5,1i,150.0,0,0.0,0,0.0,False,2,25.2912,375.28,384.26,scenario_burst_demand_OOD,ood,ood,0.25
10,1i,150.0,0,0.0,0,0.0,False,2,25.173,241.49,262.58,scenario_burst_demand_OOD,ood,ood,0.25
15,1i,150.0,3,25.1361,0,0.0,False,2,25.1334,109.56,142.01,scenario_burst_demand_OOD,ood,ood,0.25
20,1i,150.0,3,13.133,0,0.0,False,2,13.7193,22.15,41.29,scenario_burst_demand_OOD,ood,ood,0.25
25,1i,150.0,3,0.8378,0,0.0,False,2,1.2395,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
30,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
35,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
40,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
45,1i,150.0,3,0.0,3,1.0,False,3,6.335,1.0,415.73,scenario_burst_demand_OOD,ood,ood,0.25
50,1i,150.0,1,0.0,1,1.0,False,1,19.0197,320.19,320.19,scenario_burst_demand_OOD,ood,ood,0.25
55,1i,150.0,2,12.2267,1,1.0,False,1,19.1445,224.53,224.53,scenario_burst_demand_OOD,ood,ood,0.25
60,1i,150.0,4,12.4528,1,1.0,False,1,17.2487,131.67,131.67,scenario_burst_demand_OOD,ood,ood,0.25
65,1i,150.0,3,5.6442,1,1.0,False,1,12.7487,58.93,58.93,scenario_burst_demand_OOD,ood,ood,0.25
70,1i,150.0,3,2.7498,2,5.0,False,1,8.2487,8.68,8.68,scenario_burst_demand_OOD,ood,ood,0.25
75,1i,150.0,3,0.0,3,5.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
80,1i,150.0,1,0.0,1,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
85,1i,150.0,1,0.0,1,1.0,False,3,16.861,1.0,430.39,scenario_burst_demand_OOD,ood,ood,0.25
90,1i,150.0,1,0.0,1,1.0,False,3,16.2421,1.0,301.49,scenario_burst_demand_OOD,ood,ood,0.25
95,1i,150.0,2,12.1811,1,1.0,False,3,16.5293,1.0,178.68,scenario_burst_demand_OOD,ood,ood,0.25
100,1i,150.0,3,11.2292,1,1.0,False,3,11.2292,1.0,68.39,scenario_burst_demand_OOD,ood,ood,0.25
105,1i,150.0,4,6.1233,1,1.0,False,3,1.9883,1.0,17.07,scenario_burst_demand_OOD,ood,ood,0.25
110,1i,150.0,4,1.2383,3,15.04,False,3,0.0004,1.0,15.04,scenario_burst_demand_OOD,ood,ood,0.25
115,1i,150.0,4,0.0,4,15.04,False,3,0.0,1.0,15.04,scenario_burst_demand_OOD,ood,ood,0.25
120,1i,150.0,4,0.0,4,15.04,False,3,0.0,1.0,15.04,scenario_burst_demand_OOD,ood,ood,0.25
125,1i,150.0,4,0.0,4,15.04,False,4,6.7171,1.0,376.44,scenario_burst_demand_OOD,ood,ood,0.25
130,1i,150.0,4,0.0,4,15.04,False,4,6.8398,1.0,241.29,scenario_burst_demand_OOD,ood,ood,0.25
135,1i,150.0,5,4.8894,4,15.04,False,4,6.1118,1.0,108.63,scenario_burst_demand_OOD,ood,ood,0.25
140,1i,150.0,5,12.079,1,1.0,False,2,9.8446,8.03,19.16,scenario_burst_demand_OOD,ood,ood,0.25
145,1i,150.0,3,6.3516,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
150,1i,150.0,2,0.007,2,13.71,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
155,1i,150.0,2,0.0,2,13.71,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
160,1i,150.0,2,0.0,2,13.71,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
165,1i,150.0,2,0.0,2,13.71,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
170,1i,150.0,1,3.0016,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
175,1i,150.0,1,22.4273,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
180,1i,150.0,2,16.0491,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
185,1i,150.0,3,8.8265,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
190,1i,150.0,3,4.0714,2,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
195,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
200,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
205,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
210,1i,150.0,3,0.0,3,1.0,False,1,26.0434,375.74,375.74,scenario_burst_demand_OOD,ood,ood,0.25
215,1i,150.0,3,0.0,3,1.0,False,1,26.2632,243.0,243.0,scenario_burst_demand_OOD,ood,ood,0.25
220,1i,150.0,5,7.665,3,1.0,False,1,24.4132,112.84,112.84,scenario_burst_demand_OOD,ood,ood,0.25
225,1i,150.0,6,6.2613,3,1.0,False,1,11.7243,26.61,26.61,scenario_burst_demand_OOD,ood,ood,0.25
230,1i,150.0,4,4.9886,1,1.0,False,1,0.5868,5.32,5.32,scenario_burst_demand_OOD,ood,ood,0.25
235,1i,150.0,2,0.0,2,5.0,False,1,0.0,5.0,5.0,scenario_burst_demand_OOD,ood,ood,0.25
240,1i,150.0,2,0.0,2,5.0,False,2,12.5,5.0,480.3,scenario_burst_demand_OOD,ood,ood,0.25
245,1i,150.0,2,0.0,2,5.0,False,2,12.4477,5.0,360.08,scenario_burst_demand_OOD,ood,ood,0.25
250,1i,150.0,2,0.0,2,5.0,False,2,11.6998,5.0,239.94,scenario_burst_demand_OOD,ood,ood,0.25
255,1i,150.0,3,8.0124,2,5.0,False,2,12.0186,5.0,119.53,scenario_burst_demand_OOD,ood,ood,0.25
260,1i,150.0,2,20.2706,0,0.0,False,1,12.9365,29.47,29.47,scenario_burst_demand_OOD,ood,ood,0.25
265,1i,150.0,3,12.1446,0,0.0,False,1,1.6976,1.35,1.35,scenario_burst_demand_OOD,ood,ood,0.25
270,1i,150.0,2,2.8004,1,1.0,False,1,0.0018,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
275,1i,150.0,2,0.0037,2,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
280,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
285,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
290,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
295,1i,150.0,3,6.3549,2,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
300,1i,150.0,3,1.7679,2,1.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
305,1i,150.0,5,6.7692,3,8.01,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
310,1i,150.0,5,1.4715,3,8.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
315,1i,150.0,5,0.0001,5,8.0,False,1,0.0,1.0,1.0,scenario_burst_demand_OOD,ood,ood,0.25
320,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
325,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
330,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
335,1i,150.0,2,9.7424,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
340,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
345,1i,150.0,3,14.5478,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
350,1i,150.0,2,8.4556,0,0.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
355,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
360,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
365,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_burst_demand_OOD,ood,ood,0.25
370,1i,150.0,1,0.0,1,1.0,False,2,22.22,473.26,480.3,scenario_burst_demand_OOD,ood,ood,0.25
375,1i,150.0,1,0.0,1,1.0,False,2,21.6518,359.59,377.01,scenario_burst_demand_OOD,ood,ood,0.25
380,1i,150.0,2,9.2971,1,1.0,False,2,21.9585,239.69,281.41,scenario_burst_demand_OOD,ood,ood,0.25
385,1i,150.0,3,11.0479,1,1.0,False,2,21.854,119.97,185.58,scenario_burst_demand_OOD,ood,ood,0.25
