timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,2,24.67,0,0.0,False,,,0.0
20,1i,150.0,3,15.5407,0,0.0,False,,,0.0
25,1i,150.0,3,5.5591,1,1.0,False,,,0.006666666666666667
30,1i,150.0,3,0.2076,2,1.0,False,1.0,0.2076,0.006666666666666667
35,1i,150.0,5,8.9131,3,1.0,False,1.0,8.9131,0.006666666666666667
40,1i,150.0,6,6.836,3,1.0,False,1.0,6.836,0.006666666666666667
45,1i,150.0,6,2.3628,4,13.71,False,13.71,-22.3072,0.09140000000000001
50,1i,150.0,2,2.1429,1,1.0,False,1.0,-13.3978,0.006666666666666667
55,1i,150.0,4,11.3278,2,5.0,False,4.0,5.7687,0.03333333333333333
60,1i,150.0,5,7.656,2,5.0,False,4.0,7.4483999999999995,0.03333333333333333
65,1i,150.0,4,2.9336,3,17.71,False,16.71,-5.9795,0.11806666666666667
70,1i,150.0,3,0.0,3,17.71,False,16.71,-6.836,0.11806666666666667
75,1i,150.0,5,8.0157,3,17.71,False,4.0,5.652900000000001,0.11806666666666667
80,1i,150.0,5,7.2971,1,16.95,False,15.95,5.1542,0.11299999999999999
85,1i,150.0,3,5.6924,1,1.01,False,-3.99,-5.6354,0.006733333333333333
90,1i,150.0,3,0.0083,3,1.02,False,-3.98,-7.6476999999999995,0.0068000000000000005
95,1i,150.0,6,9.8819,3,1.0,False,-16.71,6.9483,0.006666666666666667
100,1i,150.0,6,3.2298,3,1.0,False,-16.71,3.2298,0.006666666666666667
105,1i,150.0,6,0.0068,6,15.07,False,-2.6400000000000006,-8.0089,0.10046666666666666
110,1i,150.0,7,3.4332,6,15.04,False,-1.9100000000000001,-3.8639000000000006,0.10026666666666666
115,1i,150.0,9,6.0135,6,15.04,False,14.03,0.3210999999999995,0.10026666666666666
120,1i,150.0,9,1.7803,6,15.04,False,14.02,1.772,0.10026666666666666
125,1i,150.0,9,0.003,9,22.04,False,21.04,-9.8789,0.14693333333333333
130,1i,150.0,10,2.0834,9,22.04,False,21.04,-1.1463999999999999,0.14693333333333333
135,1i,150.0,12,3.0674,9,22.04,False,6.969999999999999,3.0606,0.14693333333333333
140,1i,150.0,9,2.2398,3,9.0,False,-6.039999999999999,-1.1934,0.06
145,1i,150.0,5,1.3246,4,16.0,False,0.9600000000000009,-4.688899999999999,0.10666666666666667
150,1i,150.0,5,3.6959,4,16.0,False,0.9600000000000009,1.9156,0.10666666666666667
155,1i,150.0,5,3.591,4,16.0,False,-6.039999999999999,3.588,0.10666666666666667
160,1i,150.0,5,2.6532,4,16.0,False,-6.039999999999999,0.5697999999999999,0.10666666666666667
165,1i,150.0,5,1.2214,4,16.0,False,-6.039999999999999,-1.846,0.10666666666666667
170,1i,150.0,5,8.0653,2,20.01,False,11.010000000000002,5.825500000000001,0.13340000000000002
175,1i,150.0,5,7.7856,0,0.0,False,-16.0,6.460999999999999,0.0
180,1i,150.0,5,3.7761,3,4.11,False,-11.89,0.08020000000000005,0.0274
185,1i,150.0,5,0.8714,4,16.81,False,0.8099999999999987,-2.7196000000000002,0.11206666666666666
190,1i,150.0,7,5.9168,5,16.81,False,0.8099999999999987,3.2636000000000003,0.11206666666666666
195,1i,150.0,8,4.2447,5,16.81,False,0.8099999999999987,3.0233,0.11206666666666666
200,1i,150.0,8,0.4223,6,16.81,False,-3.200000000000003,-7.643000000000001,0.11206666666666666
205,1i,150.0,8,0.0002,8,20.82,False,20.82,-7.785399999999999,0.1388
210,1i,150.0,10,4.1988,8,20.82,False,16.71,0.4227000000000003,0.1388
215,1i,150.0,11,3.3947,8,20.82,False,4.010000000000002,2.5233,0.1388
220,1i,150.0,11,0.8162,9,24.82,False,8.010000000000002,-5.1006,0.16546666666666668
225,1i,150.0,12,1.4706,11,24.82,False,8.010000000000002,-2.7741,0.16546666666666668
230,1i,150.0,11,5.6568,5,24.82,False,8.010000000000002,5.2345,0.16546666666666668
235,1i,150.0,7,3.5423,5,24.82,False,4.0,3.5421,0.16546666666666668
