timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_east_west_heavy,test,development,0.5,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,1,24.4508,386.35,386.35,scenario_east_west_heavy,test,development,0.5,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,1,24.3173,265.98,265.98,scenario_east_west_heavy,test,development,0.5,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,2,24.67,0,0.0,False,1,24.4113,144.9,144.9,scenario_east_west_heavy,test,development,0.5,,,0.0,,,0.0,14.0,True,,13.333333333333334,1184.1600000000003,,
20,1i,150.0,3,15.5407,0,0.0,False,2,22.0351,37.5,483.3,scenario_east_west_heavy,test,development,0.5,,,0.0,,,0.0,19.0,True,,20.0,1118.9304,,
25,1i,150.0,3,5.5591,1,1.0,False,4,17.9457,1.0,399.48,scenario_east_west_heavy,test,development,0.5,,,0.006666666666666667,,,0.0,24.0,True,,20.0,400.2552,,
30,1i,150.0,3,0.2076,2,1.0,False,4,17.5917,1.0,304.42,scenario_east_west_heavy,test,development,0.5,1.0,0.2076,0.006666666666666667,4.0,,1.0,4.0,False,5,20.0,14.9472,0.03333333333333333,
35,1i,150.0,5,8.9131,3,1.0,False,4,15.8202,1.0,210.88,scenario_east_west_heavy,test,development,0.5,1.0,8.9131,0.006666666666666667,3.0,-175.47000000000003,2.0,2.0,True,,33.333333333333336,1069.5720000000001,0.03333333333333333,
40,1i,150.0,6,6.836,3,1.0,False,7,15.9901,1.0,483.3,scenario_east_west_heavy,test,development,0.5,1.0,6.836,0.006666666666666667,6.0,217.32,3.0,1.0,False,5,40.0,984.384,0.03333333333333333,
45,1i,150.0,6,2.3628,4,13.71,False,7,11.8804,1.0,377.7,scenario_east_west_heavy,test,development,0.5,13.71,-22.3072,0.09140000000000001,6.0,232.79999999999998,3.0,6.0,False,10,40.0,340.2432,0.457,
50,1i,150.0,2,2.1429,1,1.0,False,4,18.459,9.42,282.56,scenario_east_west_heavy,test,development,0.5,1.0,-13.3978,0.006666666666666667,2.0,-200.74,4.0,4.0,False,15,13.333333333333334,102.85920000000002,0.03333333333333333,
55,1i,150.0,4,11.3278,2,5.0,False,4,16.0581,5.0,187.05,scenario_east_west_heavy,test,development,0.5,4.0,5.7687,0.03333333333333333,0.0,-212.43,4.0,9.0,False,20,26.666666666666668,1087.4688,0.13333333333333333,
60,1i,150.0,5,7.656,2,5.0,False,5,12.3191,5.0,433.55,scenario_east_west_heavy,test,development,0.5,4.0,7.4483999999999995,0.03333333333333333,1.0,129.13,4.0,14.0,False,25,33.333333333333336,918.72,0.13333333333333333,
65,1i,150.0,4,2.9336,3,17.71,False,4,8.9969,5.0,310.67,scenario_east_west_heavy,test,development,0.5,16.71,-5.9795,0.11806666666666667,0.0,99.79000000000002,4.0,19.0,False,30,26.666666666666668,281.6256000000001,0.557,
70,1i,150.0,3,0.0,3,17.71,False,3,7.8493,5.0,189.44,scenario_east_west_heavy,test,development,0.5,16.71,-6.836,0.11806666666666667,-4.0,-293.86,4.0,24.0,False,35,20.0,0.0,0.557,
75,1i,150.0,5,8.0157,3,17.71,False,3,6.3173,5.0,76.63,scenario_east_west_heavy,test,development,0.5,4.0,5.652900000000001,0.11806666666666667,-4.0,-301.07,5.0,4.0,False,40,33.333333333333336,961.8840000000001,0.13333333333333333,
80,1i,150.0,5,7.2971,1,16.95,False,6,14.2458,0.88,456.96,scenario_east_west_heavy,test,development,0.5,15.95,5.1542,0.11299999999999999,2.0,174.39999999999998,6.0,2.0,False,45,33.333333333333336,875.6520000000002,0.5316666666666666,
85,1i,150.0,3,5.6924,1,1.01,False,4,18.8055,1.01,338.29,scenario_east_west_heavy,test,development,0.5,-3.99,-5.6354,0.006733333333333333,0.0,151.24,7.0,1.0,False,50,20.0,409.8528,-0.133,
90,1i,150.0,3,0.0083,3,1.02,False,4,18.5044,1.0,216.71,scenario_east_west_heavy,test,development,0.5,-3.98,-7.6476999999999995,0.0068000000000000005,-1.0,-216.84,7.0,6.0,False,55,20.0,0.5976,-0.13266666666666665,
95,1i,150.0,6,9.8819,3,1.0,False,4,14.8229,1.0,96.88,scenario_east_west_heavy,test,development,0.5,-16.71,6.9483,0.006666666666666667,0.0,-213.79000000000002,0.0,4.0,True,,40.0,1422.9936,-0.557,
100,1i,150.0,6,3.2298,3,1.0,False,5,9.4155,1.0,455.6,scenario_east_west_heavy,test,development,0.5,-16.71,3.2298,0.006666666666666667,2.0,266.16,0.0,9.0,True,,40.0,465.0912,-0.557,
105,1i,150.0,6,0.0068,6,15.07,False,5,5.2333,1.0,321.9,scenario_east_west_heavy,test,development,0.5,-2.6400000000000006,-8.0089,0.10046666666666666,2.0,245.26999999999998,0.0,14.0,True,,40.0,0.9792,-0.08800000000000002,
110,1i,150.0,7,3.4332,6,15.04,False,5,5.2346,1.0,190.04,scenario_east_west_heavy,test,development,0.5,-1.9100000000000001,-3.8639000000000006,0.10026666666666666,-1.0,-266.91999999999996,0.0,19.0,True,,46.66666666666667,576.7776,-0.06366666666666668,
115,1i,150.0,9,6.0135,6,15.04,False,5,3.7115,1.0,77.92,scenario_east_west_heavy,test,development,0.5,14.03,0.3210999999999995,0.10026666666666666,1.0,-260.37,0.0,24.0,True,,60.0,1298.916,0.4676666666666666,
