timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,2,24.67,0,0.0,False
15,2i,150.0,3,25.2298,0,0.0,False
15,3i,150.0,2,24.2928,0,0.0,False
15,4i,150.0,3,24.6821,0,0.0,False
20,1i,150.0,3,15.5407,0,0.0,False
20,2i,150.0,3,13.4989,0,0.0,False
20,3i,150.0,3,14.7489,0,0.0,False
20,4i,150.0,2,17.2039,0,0.0,False
25,1i,150.0,3,5.5591,1,1.0,False
25,2i,150.0,3,0.4935,1,1.0,False
25,3i,150.0,2,6.282,1,1.0,False
25,4i,150.0,1,1.7328,0,0.0,False
30,1i,150.0,3,0.2076,2,1.0,False
30,2i,150.0,3,0.0,3,1.0,False
30,3i,150.0,2,1.1801,1,1.0,False
30,4i,150.0,1,0.0,1,1.0,False
35,1i,150.0,5,8.9131,3,1.0,False
35,2i,150.0,6,11.6276,3,1.0,False
35,3i,150.0,1,0.0,1,1.0,False
35,4i,150.0,0,0.0,0,0.0,False
40,1i,150.0,6,6.836,3,1.0,False
40,2i,150.0,6,6.0707,3,1.0,False
40,3i,150.0,1,0.0,1,1.0,False
40,4i,150.0,0,0.0,0,0.0,False
45,1i,150.0,6,2.3628,4,13.71,False
45,2i,150.0,6,0.3439,4,5.02,False
45,3i,150.0,1,0.0,1,1.0,False
45,4i,150.0,0,0.0,0,0.0,False
50,1i,150.0,2,2.1429,1,1.0,False
50,2i,150.0,2,0.0,2,8.0,False
50,3i,150.0,1,0.0,1,1.0,False
50,4i,150.0,0,0.0,0,0.0,False
55,1i,150.0,4,11.3278,2,5.0,False
55,2i,150.0,4,9.9444,2,8.0,False
55,3i,150.0,1,0.0,1,1.0,False
55,4i,150.0,0,0.0,0,0.0,False
60,1i,150.0,5,7.656,2,5.0,False
60,2i,150.0,4,6.266,2,8.0,False
60,3i,150.0,2,11.7853,1,1.0,False
60,4i,150.0,2,25.9283,0,0.0,False
65,1i,150.0,4,2.9336,3,17.71,False
65,2i,150.0,4,2.9325,3,15.0,False
65,3i,150.0,4,12.7121,1,1.0,False
65,4i,150.0,3,15.1826,0,0.0,False
70,1i,150.0,3,0.0,3,17.71,False
70,2i,150.0,3,0.0,3,15.0,False
70,3i,150.0,4,7.3986,1,1.0,False
70,4i,150.0,3,5.4894,1,1.0,False
75,1i,150.0,5,8.0157,3,17.71,False
75,2i,150.0,6,9.4761,3,15.0,False
75,3i,150.0,4,2.2384,2,1.0,False
75,4i,150.0,3,0.3436,2,1.0,False
80,1i,150.0,5,7.2971,1,16.95,False
80,2i,150.0,5,5.7726,0,0.0,False
80,3i,150.0,4,0.4626,3,1.0,False
80,4i,150.0,3,0.0,3,1.0,False
85,1i,150.0,3,5.6924,1,1.01,False
85,2i,150.0,3,1.1676,2,1.0,False
85,3i,150.0,4,0.0,4,15.04,False
85,4i,150.0,3,0.0,3,1.0,False
90,1i,150.0,3,0.0083,3,1.02,False
90,2i,150.0,4,6.7555,3,1.0,False
90,3i,150.0,4,0.0,4,15.04,False
90,4i,150.0,3,0.0,3,1.0,False
95,1i,150.0,6,9.8819,3,1.0,False
95,2i,150.0,6,9.531,3,1.0,False
95,3i,150.0,2,1.5378,1,1.0,False
95,4i,150.0,1,0.0,1,1.0,False
100,1i,150.0,6,3.2298,3,1.0,False
100,2i,150.0,6,2.9797,3,1.0,False
100,3i,150.0,1,0.0,1,1.0,False
100,4i,150.0,1,0.0,1,1.0,False
105,1i,150.0,6,0.0068,6,15.07,False
105,2i,150.0,6,0.0057,6,5.0,False
105,3i,150.0,3,16.5789,1,1.0,False
105,4i,150.0,3,16.1113,1,1.0,False
110,1i,150.0,7,3.4332,6,15.04,False
110,2i,150.0,7,3.4348,6,5.0,False
110,3i,150.0,4,11.5573,1,1.0,False
110,4i,150.0,3,10.7201,1,1.0,False
115,1i,150.0,9,6.0135,6,15.04,False
115,2i,150.0,7,1.5114,6,5.0,False
115,3i,150.0,2,0.4735,1,1.0,False
115,4i,150.0,2,5.4874,1,1.0,False
120,1i,150.0,9,1.7803,6,15.04,False
120,2i,150.0,9,3.1939,6,5.0,False
120,3i,150.0,2,0.0,2,13.71,False
120,4i,150.0,2,3.2698,1,1.0,False
125,1i,150.0,9,0.003,9,22.04,False
125,2i,150.0,9,1.8602,7,9.0,False
125,3i,150.0,1,2.1415,0,0.0,False
125,4i,150.0,1,3.0786,0,0.0,False
130,1i,150.0,10,2.0834,9,22.04,False
130,2i,150.0,10,2.4853,7,9.0,False
130,3i,150.0,0,0.0,0,0.0,False
130,4i,150.0,1,0.0339,0,0.0,False
135,1i,150.0,12,3.0674,9,22.04,False
135,2i,150.0,12,3.4302,9,12.0,False
135,3i,150.0,0,0.0,0,0.0,False
135,4i,150.0,1,0.0,1,1.0,False
