timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,0,,,
5,2i,2,25.2912,375.28,384.26
5,3i,1,19.0815,396.88,396.88
5,4i,0,,,
10,1i,0,,,
10,2i,2,25.173,241.49,262.58
10,3i,1,19.3264,301.28,301.28
10,4i,0,,,
15,1i,0,,,
15,2i,2,25.1334,109.56,142.01
15,3i,1,19.3888,205.28,205.28
15,4i,0,,,
20,1i,1,27.77,483.3,483.3
20,2i,2,14.042,22.15,38.33
20,3i,1,16.9308,113.51,113.51
20,4i,0,,,
25,1i,3,23.4942,350.72,399.48
25,2i,2,0.7402,1.0,1.0
25,3i,1,12.5641,41.88,41.88
25,4i,0,,,
30,1i,3,23.4556,215.17,304.42
30,2i,2,0.0,1.0,1.0
30,3i,1,2.3602,1.0,1.0
30,4i,0,,,
35,1i,3,21.0936,91.57,210.88
35,2i,2,0.0,1.0,1.0
35,3i,1,0.0,1.0,1.0
35,4i,0,,,
40,1i,5,18.4981,24.29,483.3
40,2i,2,0.0,1.0,1.0
40,3i,1,0.0,1.0,1.0
40,4i,0,,,
45,1i,5,12.8511,8.02,350.99
45,2i,2,0.0,1.0,1.0
45,3i,1,0.0,1.0,1.0
45,4i,0,,,
50,1i,3,18.2656,9.42,217.93
50,2i,1,0.0,1.0,1.0
50,3i,2,9.4326,1.0,415.69
50,4i,2,23.2599,403.06,415.76
55,1i,3,15.1037,5.0,95.2
55,2i,1,0.0,1.0,1.0
55,3i,2,9.6941,1.0,319.86
55,4i,2,23.5208,267.44,319.98
60,1i,3,7.3486,5.0,26.33
60,2i,2,13.885,1.0,483.3
60,3i,2,9.4351,1.0,223.87
60,4i,2,22.5586,133.68,224.04
65,1i,2,0.0001,5.0,17.71
65,2i,2,13.8688,1.0,347.19
65,3i,2,7.6752,1.0,138.32
65,4i,2,16.9236,33.18,128.01
70,1i,2,0.0,5.0,17.71
70,2i,2,13.6359,1.0,211.02
70,3i,2,5.4252,1.0,75.07
70,4i,2,8.234,1.0,36.15
75,1i,2,0.0,5.0,17.71
75,2i,2,10.2708,1.0,88.4
75,3i,2,3.1751,1.0,34.32
75,4i,2,0.5153,1.0,1.0
80,1i,3,10.015,0.88,456.84
80,2i,1,10.5042,15.85,15.85
80,3i,2,0.9252,1.0,16.07
80,4i,2,0.0,1.0,1.0
85,1i,1,27.5347,321.59,321.59
85,2i,1,0.0036,1.0,1.0
85,3i,2,0.0,1.0,15.04
85,4i,2,0.0,1.0,1.0
90,1i,1,26.1076,186.67,186.67
90,2i,1,0.0,1.0,1.0
90,3i,2,0.0,1.0,15.04
90,4i,2,0.0,1.0,1.0
95,1i,1,19.911,66.38,66.38
95,2i,1,0.0,1.0,1.0
95,3i,1,3.0757,7.17,7.17
95,4i,1,0.0,1.0,1.0
100,1i,1,5.911,8.82,8.82
100,2i,2,9.5208,1.0,454.22
100,3i,0,,,
100,4i,1,0.0,1.0,1.0
105,1i,1,0.0051,5.0,5.0
105,2i,2,9.5459,1.0,358.76
105,3i,0,,,
105,4i,1,0.0,1.0,1.0
110,1i,1,0.0,5.0,5.0
110,2i,2,9.4283,1.0,263.83
110,3i,0,,,
110,4i,1,0.0,1.0,1.0
115,1i,1,0.0,5.0,5.0
115,2i,2,8.6868,1.0,170.56
115,3i,0,,,
115,4i,1,0.0,1.0,1.0
120,1i,1,0.0,5.0,5.0
120,2i,2,6.4916,1.0,96.97
120,3i,0,,,
120,4i,1,0.0,1.0,1.0
125,1i,1,0.0,5.0,5.0
125,2i,2,4.2416,1.0,45.55
125,3i,0,,,
125,4i,0,,,
130,1i,1,0.0,5.0,5.0
130,2i,2,2.005,1.0,16.5
130,3i,0,,,
130,4i,0,,,
135,1i,1,0.0,5.0,5.0
135,2i,2,0.0001,1.0,9.0
135,3i,0,,,
135,4i,1,19.0547,455.54,455.54
140,1i,3,15.1505,5.0,436.92
140,2i,1,0.0,9.0,9.0
140,3i,1,27.0753,428.77,428.77
140,4i,2,21.811,361.0,430.79
145,1i,3,15.1956,5.0,342.74
145,2i,1,0.0,9.0,9.0
145,3i,1,27.7355,293.16,293.16
145,4i,2,20.4964,266.75,317.95
150,1i,3,15.0463,5.0,247.95
150,2i,1,0.0,9.0,9.0
150,3i,1,27.1965,159.02,159.02
150,4i,2,19.9858,171.28,212.97
155,1i,3,12.1008,5.0,155.5
155,2i,1,0.0,9.0,9.0
155,3i,1,17.4546,45.33,45.33
155,4i,2,18.7692,78.71,114.2
160,1i,2,6.6331,5.0,74.17
