timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,1,23.5897,0,0.0,False,,,0.0
20,1i,150.0,3,17.7152,0,0.0,False,,,0.0
25,1i,150.0,3,10.154,0,0.0,False,,,0.0
30,1i,150.0,3,0.0,1,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
45,1i,150.0,3,0.0,3,1.0,False,1.0,-23.5897,0.006666666666666667
50,1i,150.0,4,11.458,1,1.0,False,1.0,-6.257199999999999,0.006666666666666667
55,1i,150.0,4,8.8483,1,1.0,False,1.0,-1.3056999999999999,0.006666666666666667
60,1i,150.0,2,0.1945,1,1.0,False,0.0,0.1945,0.006666666666666667
65,1i,150.0,2,0.0,2,13.71,False,12.71,0.0,0.09140000000000001
70,1i,150.0,5,12.6584,2,13.71,False,12.71,12.6584,0.09140000000000001
75,1i,150.0,5,6.5961,2,13.71,False,12.71,6.5961,0.09140000000000001
80,1i,150.0,4,1.9079,1,1.0,False,0.0,-9.5501,0.006666666666666667
85,1i,150.0,3,0.6424,2,1.0,False,0.0,-8.2059,0.006666666666666667
90,1i,150.0,3,0.0003,3,1.0,False,0.0,-0.1942,0.006666666666666667
95,1i,150.0,4,6.2043,3,1.0,False,-12.71,6.2043,0.006666666666666667
100,1i,150.0,5,6.1563,3,1.0,False,-12.71,-6.5021,0.006666666666666667
105,1i,150.0,6,3.2791,3,1.0,False,-12.71,-3.3169999999999997,0.006666666666666667
110,1i,150.0,6,1.2993,5,8.01,False,7.01,-0.6086,0.053399999999999996
115,1i,150.0,6,0.5484,5,8.0,False,7.0,-0.09399999999999997,0.05333333333333334
120,1i,150.0,6,0.0051,6,8.0,False,7.0,0.0048000000000000004,0.05333333333333334
125,1i,150.0,8,5.0078,6,8.0,False,7.0,-1.1965000000000003,0.05333333333333334
130,1i,150.0,9,4.1781,6,8.0,False,7.0,-1.9782000000000002,0.05333333333333334
135,1i,150.0,9,1.3225,7,9.0,False,8.0,-1.9566000000000001,0.06
140,1i,150.0,4,2.1379,2,5.0,False,-3.01,0.8386000000000002,0.03333333333333333
145,1i,150.0,3,0.002,3,19.05,False,11.05,-0.5464,0.127
150,1i,150.0,3,0.0,3,19.04,False,11.04,-0.0051,0.12693333333333331
155,1i,150.0,4,4.3688,3,19.04,False,11.04,-0.6389999999999993,0.12693333333333331
160,1i,150.0,6,7.1992,3,19.04,False,11.04,3.0211000000000006,0.12693333333333331
165,1i,150.0,5,2.855,3,19.04,False,10.04,1.5325,0.12693333333333331
170,1i,150.0,4,0.8545,3,31.87,False,26.87,-1.2834,0.21246666666666666
175,1i,150.0,3,2.4073,1,1.0,False,-18.05,2.4053000000000004,0.006666666666666667
180,1i,150.0,6,9.9122,3,13.71,False,-5.329999999999998,9.9122,0.09140000000000001
185,1i,150.0,6,5.6562,3,13.71,False,-5.329999999999998,1.2873999999999999,0.09140000000000001
190,1i,150.0,6,0.3599,5,26.43,False,7.390000000000001,-6.839300000000001,0.1762
195,1i,150.0,6,0.0001,6,26.42,False,7.380000000000003,-2.8548999999999998,0.17613333333333334
200,1i,150.0,6,0.0,6,26.42,False,-5.449999999999999,-0.8545,0.17613333333333334
205,1i,150.0,7,2.6594,6,26.42,False,25.42,0.2521,0.17613333333333334
210,1i,150.0,9,5.0995,6,26.42,False,12.71,-4.8127,0.17613333333333334
215,1i,150.0,9,2.0691,6,26.42,False,12.71,-3.5871,0.17613333333333334
220,1i,150.0,9,0.4966,8,30.42,False,3.990000000000002,0.1367,0.2028
225,1i,150.0,9,0.0296,9,30.42,False,4.0,0.029500000000000002,0.2028
230,1i,150.0,6,1.0334,4,30.42,False,4.0,1.0334,0.2028
235,1i,150.0,7,7.8576,4,30.42,False,4.0,5.1982,0.2028
240,1i,150.0,6,3.4163,4,30.42,False,4.0,-1.6831999999999998,0.2028
