timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,1,18.6931,399.7,399.7,scenario_heavy_vehicle_OOD,ood,ood,0.05,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,1,19.2033,305.84,305.84,scenario_heavy_vehicle_OOD,ood,ood,0.05,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,1,23.5897,0,0.0,False,1,19.3333,211.14,211.14,scenario_heavy_vehicle_OOD,ood,ood,0.05,,,0.0,,,0.0,14.0,True,,6.666666666666667,566.1528000000001,,
20,1i,150.0,3,17.7152,0,0.0,False,1,18.3875,116.82,116.82,scenario_heavy_vehicle_OOD,ood,ood,0.05,,,0.0,,,0.0,19.0,True,,20.0,1275.4944,,
25,1i,150.0,3,10.154,0,0.0,False,1,14.3382,28.35,28.35,scenario_heavy_vehicle_OOD,ood,ood,0.05,,,0.0,,,0.0,24.0,True,,20.0,731.088,,
30,1i,150.0,3,0.0,1,1.0,False,2,9.4207,1.0,455.75,scenario_heavy_vehicle_OOD,ood,ood,0.05,1.0,0.0,0.006666666666666667,2.0,,1.0,4.0,False,5,20.0,0.0,0.03333333333333333,
35,1i,150.0,3,0.0,3,1.0,False,2,9.4865,1.0,362.99,scenario_heavy_vehicle_OOD,ood,ood,0.05,1.0,0.0,0.006666666666666667,1.0,-36.70999999999998,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
40,1i,150.0,3,0.0,3,1.0,False,2,9.1048,1.0,270.45,scenario_heavy_vehicle_OOD,ood,ood,0.05,1.0,0.0,0.006666666666666667,1.0,-35.389999999999986,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
45,1i,150.0,3,0.0,3,1.0,False,2,8.6099,1.0,178.74,scenario_heavy_vehicle_OOD,ood,ood,0.05,1.0,-23.5897,0.006666666666666667,1.0,-32.39999999999998,3.0,6.0,False,10,20.0,0.0,0.03333333333333333,
50,1i,150.0,4,11.458,1,1.0,False,2,7.8925,1.0,94.63,scenario_heavy_vehicle_OOD,ood,ood,0.05,1.0,-6.257199999999999,0.006666666666666667,1.0,-22.189999999999998,4.0,4.0,False,15,26.666666666666668,1099.968,0.03333333333333333,
55,1i,150.0,4,8.8483,1,1.0,False,2,5.7299,1.0,25.63,scenario_heavy_vehicle_OOD,ood,ood,0.05,1.0,-1.3056999999999999,0.006666666666666667,1.0,-2.7200000000000024,4.0,9.0,False,20,26.666666666666668,849.4368000000001,0.03333333333333333,
60,1i,150.0,2,0.1945,1,1.0,False,1,0.0,1.0,1.0,scenario_heavy_vehicle_OOD,ood,ood,0.05,0.0,0.1945,0.006666666666666667,-1.0,-454.75,4.0,14.0,False,25,13.333333333333334,9.336,0.0,
65,1i,150.0,2,0.0,2,13.71,False,1,0.0,1.0,1.0,scenario_heavy_vehicle_OOD,ood,ood,0.05,12.71,0.0,0.09140000000000001,-1.0,-361.99,4.0,19.0,False,30,13.333333333333334,0.0,0.4236666666666667,
70,1i,150.0,5,12.6584,2,13.71,False,1,0.0,1.0,1.0,scenario_heavy_vehicle_OOD,ood,ood,0.05,12.71,12.6584,0.09140000000000001,-1.0,-269.45,4.0,24.0,False,35,33.333333333333336,1519.0080000000003,0.4236666666666667,
75,1i,150.0,5,6.5961,2,13.71,False,1,0.0,1.0,1.0,scenario_heavy_vehicle_OOD,ood,ood,0.05,12.71,6.5961,0.09140000000000001,-1.0,-177.74,5.0,4.0,False,40,33.333333333333336,791.532,0.4236666666666667,
80,1i,150.0,4,1.9079,1,1.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,0.0,-9.5501,0.006666666666666667,-2.0,,6.0,2.0,False,45,26.666666666666668,183.1584,0.0,
85,1i,150.0,3,0.6424,2,1.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,0.0,-8.2059,0.006666666666666667,-2.0,,7.0,1.0,False,50,20.0,46.2528,0.0,
90,1i,150.0,3,0.0003,3,1.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,0.0,-0.1942,0.006666666666666667,-1.0,,7.0,6.0,False,55,20.0,0.0216,0.0,
95,1i,150.0,4,6.2043,3,1.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,-12.71,6.2043,0.006666666666666667,-1.0,,0.0,4.0,True,,26.666666666666668,595.6128,-0.4236666666666667,
100,1i,150.0,5,6.1563,3,1.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,-12.71,-6.5021,0.006666666666666667,-1.0,,0.0,9.0,True,,33.333333333333336,738.7560000000001,-0.4236666666666667,
105,1i,150.0,6,3.2791,3,1.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,-12.71,-3.3169999999999997,0.006666666666666667,-1.0,,0.0,14.0,True,,40.0,472.1904,-0.4236666666666667,
110,1i,150.0,6,1.2993,5,8.01,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,7.01,-0.6086,0.053399999999999996,0.0,,0.0,19.0,True,,40.0,187.0992,0.23366666666666666,
115,1i,150.0,6,0.5484,5,8.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,7.0,-0.09399999999999997,0.05333333333333334,0.0,,0.0,24.0,True,,40.0,78.9696,0.23333333333333334,
120,1i,150.0,6,0.0051,6,8.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,7.0,0.0048000000000000004,0.05333333333333334,0.0,,1.0,4.0,False,5,40.0,0.7344,0.23333333333333334,
125,1i,150.0,8,5.0078,6,8.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,7.0,-1.1965000000000003,0.05333333333333334,0.0,,2.0,2.0,True,,53.333333333333336,961.4976,0.23333333333333334,
130,1i,150.0,9,4.1781,6,8.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,7.0,-1.9782000000000002,0.05333333333333334,0.0,,3.0,1.0,False,5,60.0,902.4696,0.23333333333333334,
135,1i,150.0,9,1.3225,7,9.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,8.0,-1.9566000000000001,0.06,0.0,,3.0,6.0,False,10,60.0,285.66,0.26666666666666666,
140,1i,150.0,4,2.1379,2,5.0,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,-3.01,0.8386000000000002,0.03333333333333333,0.0,,4.0,4.0,False,15,26.666666666666668,205.23840000000004,-0.10033333333333333,
145,1i,150.0,3,0.002,3,19.05,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,11.05,-0.5464,0.127,0.0,,4.0,9.0,False,20,20.0,0.14400000000000002,0.36833333333333335,
150,1i,150.0,3,0.0,3,19.04,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,11.04,-0.0051,0.12693333333333331,0.0,,4.0,14.0,False,25,20.0,0.0,0.368,
155,1i,150.0,4,4.3688,3,19.04,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,11.04,-0.6389999999999993,0.12693333333333331,0.0,,4.0,19.0,False,30,26.666666666666668,419.4048,0.368,
160,1i,150.0,6,7.1992,3,19.04,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,11.04,3.0211000000000006,0.12693333333333331,0.0,,4.0,24.0,False,35,40.0,1036.6848,0.368,
165,1i,150.0,5,2.855,3,19.04,False,0,,,,scenario_heavy_vehicle_OOD,ood,ood,0.05,10.04,1.5325,0.12693333333333331,0.0,,5.0,4.0,False,40,33.333333333333336,342.6,0.3346666666666666,
