timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,1,23.5897,0,0.0,False
15,2i,150.0,0,0.0,0,0.0,False
15,3i,150.0,2,24.8487,0,0.0,False
15,4i,150.0,0,0.0,0,0.0,False
20,1i,150.0,3,17.7152,0,0.0,False
20,2i,150.0,3,18.9196,0,0.0,False
20,3i,150.0,3,15.9702,0,0.0,False
20,4i,150.0,3,18.1871,0,0.0,False
25,1i,150.0,3,10.154,0,0.0,False
25,2i,150.0,3,13.7455,0,0.0,False
25,3i,150.0,2,8.3072,0,0.0,False
25,4i,150.0,3,14.6738,0,0.0,False
30,1i,150.0,3,0.0,1,1.0,False
30,2i,150.0,3,0.0,0,0.0,False
30,3i,150.0,1,0.0,1,1.0,False
30,4i,150.0,2,1.1548,0,0.0,False
35,1i,150.0,3,0.0,3,1.0,False
35,2i,150.0,3,0.0,3,1.0,False
35,3i,150.0,0,0.0,0,0.0,False
35,4i,150.0,1,0.0,1,1.0,False
40,1i,150.0,3,0.0,3,1.0,False
40,2i,150.0,3,0.0,3,1.0,False
40,3i,150.0,0,0.0,0,0.0,False
40,4i,150.0,1,0.0,1,1.0,False
45,1i,150.0,3,0.0,3,1.0,False
45,2i,150.0,4,4.8395,3,1.0,False
45,3i,150.0,2,22.0926,0,0.0,False
45,4i,150.0,1,0.0,1,1.0,False
50,1i,150.0,4,11.458,1,1.0,False
50,2i,150.0,4,10.2243,1,1.0,False
50,3i,150.0,3,15.0074,0,0.0,False
50,4i,150.0,4,13.2357,1,1.0,False
55,1i,150.0,4,8.8483,1,1.0,False
55,2i,150.0,3,6.2667,1,1.0,False
55,3i,150.0,3,4.9479,1,1.0,False
55,4i,150.0,4,5.0252,1,1.0,False
60,1i,150.0,2,0.1945,1,1.0,False
60,2i,150.0,2,0.329,1,1.0,False
60,3i,150.0,3,0.0,3,1.0,False
60,4i,150.0,4,0.2506,3,1.0,False
65,1i,150.0,2,0.0,2,13.71,False
65,2i,150.0,2,0.0,2,15.04,False
65,3i,150.0,3,0.0,3,1.0,False
65,4i,150.0,4,0.0,4,15.04,False
70,1i,150.0,5,12.6584,2,13.71,False
70,2i,150.0,3,5.8684,2,15.04,False
70,3i,150.0,4,5.5785,3,1.0,False
70,4i,150.0,5,4.7928,4,15.04,False
75,1i,150.0,5,6.5961,2,13.71,False
75,2i,150.0,5,8.7941,2,15.04,False
75,3i,150.0,6,6.858,3,1.0,False
75,4i,150.0,7,5.9707,4,15.04,False
80,1i,150.0,4,1.9079,1,1.0,False
80,2i,150.0,4,6.6638,1,1.0,False
80,3i,150.0,6,3.6661,4,15.07,False
80,4i,150.0,7,2.5454,5,15.07,False
85,1i,150.0,3,0.6424,2,1.0,False
85,2i,150.0,3,2.4231,1,1.0,False
85,3i,150.0,6,1.6563,4,15.04,False
85,4i,150.0,7,0.088,6,27.76,False
90,1i,150.0,3,0.0003,3,1.0,False
90,2i,150.0,3,0.0,3,1.0,False
90,3i,150.0,6,0.2838,5,15.04,False
90,4i,150.0,7,0.0,7,27.75,False
95,1i,150.0,4,6.2043,3,1.0,False
95,2i,150.0,3,0.0,3,1.0,False
95,3i,150.0,3,1.0521,2,8.0,False
95,4i,150.0,5,5.8103,2,15.04,False
100,1i,150.0,5,6.1563,3,1.0,False
100,2i,150.0,5,7.4856,3,1.0,False
100,3i,150.0,4,9.0387,2,8.0,False
100,4i,150.0,4,8.5559,2,15.04,False
105,1i,150.0,6,3.2791,3,1.0,False
105,2i,150.0,6,5.2056,3,1.0,False
105,3i,150.0,5,9.707,2,8.0,False
105,4i,150.0,4,5.7081,2,15.04,False
110,1i,150.0,6,1.2993,5,8.01,False
110,2i,150.0,6,1.8313,4,13.73,False
110,3i,150.0,3,2.0119,2,8.0,False
110,4i,150.0,3,0.0014,3,19.04,False
115,1i,150.0,6,0.5484,5,8.0,False
115,2i,150.0,6,0.0373,5,13.71,False
115,3i,150.0,3,0.0738,3,20.85,False
115,4i,150.0,3,0.0,3,19.04,False
120,1i,150.0,6,0.0051,6,8.0,False
120,2i,150.0,6,0.0,6,13.71,False
120,3i,150.0,3,0.0001,3,20.71,False
120,4i,150.0,3,0.0,3,19.04,False
125,1i,150.0,8,5.0078,6,8.0,False
125,2i,150.0,8,5.3464,6,13.71,False
125,3i,150.0,4,11.4566,0,0.0,False
125,4i,150.0,3,7.0571,1,18.4,False
130,1i,150.0,9,4.1781,6,8.0,False
130,2i,150.0,9,4.8701,6,13.71,False
130,3i,150.0,4,13.1349,0,0.0,False
130,4i,150.0,4,14.0967,0,0.0,False
135,1i,150.0,9,1.3225,7,9.0,False
135,2i,150.0,9,1.2606,6,13.71,False
135,3i,150.0,4,4.93,1,1.0,False
135,4i,150.0,4,6.0705,1,1.0,False
