timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,25.079,0,0.0,False,,,0.0
20,1i,150.0,3,13.5306,0,0.0,False,,,0.0
25,1i,150.0,3,0.5526,2,1.0,False,,,0.006666666666666667
30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,5,10.6083,3,1.0,False,1.0,10.6083,0.006666666666666667
40,1i,150.0,6,7.8864,3,1.0,False,1.0,7.8864,0.006666666666666667
45,1i,150.0,6,1.2331,3,1.0,False,1.0,-23.8459,0.006666666666666667
50,1i,150.0,2,0.0,2,5.0,False,5.0,-13.5306,0.03333333333333333
55,1i,150.0,3,8.69,2,5.0,False,4.0,8.1374,0.03333333333333333
60,1i,150.0,5,10.2897,2,5.0,False,4.0,10.2897,0.03333333333333333
65,1i,150.0,3,1.0281,2,5.0,False,4.0,-9.5802,0.03333333333333333
70,1i,150.0,3,0.0004,3,9.0,False,8.0,-7.886,0.06
75,1i,150.0,3,0.0,3,9.0,False,8.0,-1.2331,0.06
80,1i,150.0,4,14.788,0,0.0,False,-5.0,14.788,0.0
85,1i,150.0,3,7.7414,0,0.0,False,-5.0,-0.9485999999999999,0.0
90,1i,150.0,3,0.0,3,1.0,False,-4.0,-10.2897,0.006666666666666667
95,1i,150.0,3,0.0,3,1.0,False,-4.0,-1.0281,0.006666666666666667
100,1i,150.0,4,5.587,3,1.0,False,-8.0,5.5866,0.006666666666666667
105,1i,150.0,6,6.2304,3,1.0,False,-8.0,6.2304,0.006666666666666667
110,1i,150.0,6,2.9827,4,5.01,False,5.01,-11.8053,0.0334
115,1i,150.0,6,0.6048,5,8.14,False,8.14,-7.1366,0.05426666666666667
120,1i,150.0,9,7.192,6,8.0,False,7.0,7.192,0.05333333333333334
125,1i,150.0,9,3.273,6,8.0,False,7.0,3.273,0.05333333333333334
130,1i,150.0,9,0.1628,7,19.04,False,18.04,-5.4242,0.12693333333333331
135,1i,150.0,9,0.0002,9,19.04,False,18.04,-6.2302,0.12693333333333331
140,1i,150.0,6,8.0334,3,9.0,False,3.99,5.050700000000001,0.06
145,1i,150.0,6,8.2551,3,9.0,False,0.8599999999999994,7.6503000000000005,0.06
150,1i,150.0,4,3.0825,3,9.0,False,1.0,-4.109500000000001,0.06
155,1i,150.0,4,1.297,3,9.0,False,1.0,-1.9760000000000002,0.06
160,1i,150.0,5,4.3207,4,13.01,False,-6.029999999999999,4.157900000000001,0.08673333333333333
165,1i,150.0,7,7.1021,4,13.0,False,-6.039999999999999,7.1019,0.08666666666666667
170,1i,150.0,5,2.8402,2,13.0,False,4.0,-5.193200000000001,0.08666666666666667
175,1i,150.0,4,0.9096,2,1.0,False,-8.0,-7.3455,0.006666666666666667
180,1i,150.0,5,4.3933,4,13.71,False,4.710000000000001,1.3108,0.09140000000000001
185,1i,150.0,7,6.6239,4,13.71,False,4.710000000000001,5.3269,0.09140000000000001
190,1i,150.0,7,1.6063,4,13.71,False,0.7000000000000011,-2.7144000000000004,0.09140000000000001
195,1i,150.0,7,0.0022,7,20.71,False,7.710000000000001,-7.0999,0.13806666666666667
200,1i,150.0,8,2.5844,7,20.71,False,7.710000000000001,-0.2557999999999998,0.13806666666666667
205,1i,150.0,10,5.2804,7,20.71,False,19.71,4.3708,0.13806666666666667
210,1i,150.0,10,1.8346,8,20.71,False,7.0,-2.5587,0.13806666666666667
215,1i,150.0,10,0.0916,9,24.72,False,11.009999999999998,-6.5323,0.1648
220,1i,150.0,10,0.0,10,24.71,False,11.0,-1.6063,0.16473333333333334
225,1i,150.0,12,2.9337,10,24.71,False,4.0,2.9314999999999998,0.16473333333333334
230,1i,150.0,9,5.4213,4,24.71,False,4.0,2.8368999999999995,0.16473333333333334
235,1i,150.0,6,2.8402,4,24.71,False,4.0,-2.4402000000000004,0.16473333333333334
240,1i,150.0,6,3.7329,4,24.71,False,4.0,1.8982999999999999,0.16473333333333334
245,1i,150.0,8,8.4908,4,24.71,False,-0.00999999999999801,8.3992,0.16473333333333334
