timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.11,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.11,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.11,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,3,25.079,0,0.0,False,0,,,,scenario_high_demand,train,development,0.11,,,0.0,,,0.0,14.0,True,,20.0,1805.688,,
20,1i,150.0,3,13.5306,0,0.0,False,0,,,,scenario_high_demand,train,development,0.11,,,0.0,,,0.0,19.0,True,,20.0,974.2032,,
25,1i,150.0,3,0.5526,2,1.0,False,0,,,,scenario_high_demand,train,development,0.11,,,0.006666666666666667,,,0.0,24.0,True,,20.0,39.7872,,
30,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_high_demand,train,development,0.11,1.0,0.0,0.006666666666666667,0.0,,1.0,4.0,False,5,20.0,0.0,0.03333333333333333,
35,1i,150.0,5,10.6083,3,1.0,False,0,,,,scenario_high_demand,train,development,0.11,1.0,10.6083,0.006666666666666667,0.0,,2.0,2.0,True,,33.333333333333336,1272.996,0.03333333333333333,
40,1i,150.0,6,7.8864,3,1.0,False,0,,,,scenario_high_demand,train,development,0.11,1.0,7.8864,0.006666666666666667,0.0,,3.0,1.0,False,5,40.0,1135.6416,0.03333333333333333,
45,1i,150.0,6,1.2331,3,1.0,False,0,,,,scenario_high_demand,train,development,0.11,1.0,-23.8459,0.006666666666666667,0.0,,3.0,6.0,False,10,40.0,177.56640000000002,0.03333333333333333,
50,1i,150.0,2,0.0,2,5.0,False,0,,,,scenario_high_demand,train,development,0.11,5.0,-13.5306,0.03333333333333333,0.0,,4.0,4.0,False,15,13.333333333333334,0.0,0.16666666666666666,
55,1i,150.0,3,8.69,2,5.0,False,0,,,,scenario_high_demand,train,development,0.11,4.0,8.1374,0.03333333333333333,0.0,,4.0,9.0,False,20,20.0,625.68,0.13333333333333333,
60,1i,150.0,5,10.2897,2,5.0,False,0,,,,scenario_high_demand,train,development,0.11,4.0,10.2897,0.03333333333333333,0.0,,4.0,14.0,False,25,33.333333333333336,1234.7640000000001,0.13333333333333333,
65,1i,150.0,3,1.0281,2,5.0,False,1,24.7533,455.55,455.55,scenario_high_demand,train,development,0.11,4.0,-9.5802,0.03333333333333333,1.0,,4.0,19.0,False,30,20.0,74.0232,0.13333333333333333,
70,1i,150.0,3,0.0004,3,9.0,False,1,23.54,334.13,334.13,scenario_high_demand,train,development,0.11,8.0,-7.886,0.06,1.0,,4.0,24.0,False,35,20.0,0.028800000000000003,0.26666666666666666,
75,1i,150.0,3,0.0,3,9.0,False,1,23.389,215.46,215.46,scenario_high_demand,train,development,0.11,8.0,-1.2331,0.06,1.0,,5.0,4.0,False,40,20.0,0.0,0.26666666666666666,
80,1i,150.0,4,14.788,0,0.0,False,1,22.4801,96.05,96.05,scenario_high_demand,train,development,0.11,-5.0,14.788,0.0,1.0,,6.0,2.0,False,45,26.666666666666668,1419.6480000000001,-0.16666666666666666,
85,1i,150.0,3,7.7414,0,0.0,False,1,11.0989,16.3,16.3,scenario_high_demand,train,development,0.11,-5.0,-0.9485999999999999,0.0,1.0,,7.0,1.0,False,50,20.0,557.3807999999999,-0.16666666666666666,
90,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,-4.0,-10.2897,0.006666666666666667,1.0,,7.0,6.0,False,55,20.0,0.0,-0.13333333333333333,
95,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,-4.0,-1.0281,0.006666666666666667,0.0,-454.55,0.0,4.0,True,,20.0,0.0,-0.13333333333333333,
100,1i,150.0,4,5.587,3,1.0,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,-8.0,5.5866,0.006666666666666667,0.0,-333.13,0.0,9.0,True,,26.666666666666668,536.352,-0.26666666666666666,
105,1i,150.0,6,6.2304,3,1.0,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,-8.0,6.2304,0.006666666666666667,0.0,-214.46,0.0,14.0,True,,40.0,897.1776000000001,-0.26666666666666666,
110,1i,150.0,6,2.9827,4,5.01,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,5.01,-11.8053,0.0334,0.0,-95.05,0.0,19.0,True,,40.0,429.50879999999995,0.16699999999999998,
115,1i,150.0,6,0.6048,5,8.14,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,8.14,-7.1366,0.05426666666666667,0.0,-15.3,0.0,24.0,True,,40.0,87.0912,0.27133333333333337,
120,1i,150.0,9,7.192,6,8.0,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,7.0,7.192,0.05333333333333334,0.0,0.0,1.0,4.0,False,5,60.0,1553.472,0.23333333333333334,
125,1i,150.0,9,3.273,6,8.0,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,7.0,3.273,0.05333333333333334,0.0,0.0,2.0,2.0,True,,60.0,706.968,0.23333333333333334,
130,1i,150.0,9,0.1628,7,19.04,False,2,9.1106,1.0,418.97,scenario_high_demand,train,development,0.11,18.04,-5.4242,0.12693333333333331,1.0,417.97,3.0,1.0,False,5,60.0,35.1648,0.6013333333333333,
135,1i,150.0,9,0.0002,9,19.04,False,2,9.355,1.0,324.93,scenario_high_demand,train,development,0.11,18.04,-6.2302,0.12693333333333331,1.0,323.93,3.0,6.0,False,10,60.0,0.0432,0.6013333333333333,
140,1i,150.0,6,8.0334,3,9.0,False,1,18.2945,230.41,230.41,scenario_high_demand,train,development,0.11,3.99,5.050700000000001,0.06,0.0,229.41,4.0,4.0,False,15,40.0,1156.8096,0.133,
145,1i,150.0,6,8.2551,3,9.0,False,1,19.1315,136.51,136.51,scenario_high_demand,train,development,0.11,0.8599999999999994,7.6503000000000005,0.06,0.0,135.51,4.0,9.0,False,20,40.0,1188.7344000000003,0.02866666666666665,
150,1i,150.0,4,3.0825,3,9.0,False,1,12.3301,60.62,60.62,scenario_high_demand,train,development,0.11,1.0,-4.109500000000001,0.06,0.0,59.62,4.0,14.0,False,25,26.666666666666668,295.92,0.03333333333333333,
155,1i,150.0,4,1.297,3,9.0,False,1,5.1881,19.73,19.73,scenario_high_demand,train,development,0.11,1.0,-1.9760000000000002,0.06,0.0,18.73,4.0,19.0,False,30,26.666666666666668,124.512,0.03333333333333333,
160,1i,150.0,5,4.3207,4,13.01,False,1,0.0183,13.01,13.01,scenario_high_demand,train,development,0.11,-6.029999999999999,4.157900000000001,0.08673333333333333,-1.0,-405.96000000000004,4.0,24.0,False,35,33.333333333333336,518.4840000000002,-0.20099999999999998,
165,1i,150.0,7,7.1021,4,13.0,False,1,0.0,13.0,13.0,scenario_high_demand,train,development,0.11,-6.039999999999999,7.1019,0.08666666666666667,-1.0,-311.93,5.0,4.0,False,40,46.66666666666667,1193.1528,-0.2013333333333333,
170,1i,150.0,5,2.8402,2,13.0,False,1,0.0,13.0,13.0,scenario_high_demand,train,development,0.11,4.0,-5.193200000000001,0.08666666666666667,0.0,-217.41,6.0,2.0,False,45,33.333333333333336,340.824,0.13333333333333333,
175,1i,150.0,4,0.9096,2,1.0,False,1,1.2708,1.0,1.0,scenario_high_demand,train,development,0.11,-8.0,-7.3455,0.006666666666666667,0.0,-135.51,7.0,1.0,False,50,26.666666666666668,87.3216,-0.26666666666666666,
180,1i,150.0,5,4.3933,4,13.71,False,1,0.0,1.0,1.0,scenario_high_demand,train,development,0.11,4.710000000000001,1.3108,0.09140000000000001,0.0,-59.62,7.0,6.0,False,55,33.333333333333336,527.196,0.15700000000000003,
