timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,25.3471,6.1868,0.0,0,0.0,False
5,2i,3,25.12,6.1868,0.0,0,0.0,False
5,3i,3,26.7502,6.1868,0.0,0,0.0,False
5,4i,3,27.3186,6.1868,0.0,0,0.0,False
10,1i,3,26.3233,6.1868,0.0,0,0.0,False
10,2i,3,24.1228,6.1868,0.0,0,0.0,False
10,3i,3,26.7257,6.1868,0.0,0,0.0,False
10,4i,3,26.9075,6.1868,0.0,0,0.0,False
15,1i,3,25.079,6.1868,0.0,0,0.0,False
15,2i,3,24.0275,6.1868,0.0,0,0.0,False
15,3i,3,26.2125,6.1868,0.0,0,0.0,False
15,4i,3,26.0667,6.1868,0.0,0,0.0,False
20,1i,3,13.5306,6.1868,0.0,0,0.0,False
20,2i,3,15.4972,6.1868,0.0,0,0.0,False
20,3i,2,12.7689,4.1246,720.0,0,0.0,False
20,4i,2,12.5181,4.1246,720.0,0,0.0,False
25,1i,6,13.1548,12.3737,0.0,2,1.0,False
25,2i,6,12.9099,12.3737,0.0,1,1.0,False
25,3i,4,20.4872,8.2491,720.0,0,0.0,False
25,4i,4,17.8376,8.2491,720.0,1,1.0,False
30,1i,6,12.5297,12.3737,0.0,3,1.0,False
30,2i,6,11.4988,12.3737,0.0,3,1.0,False
30,3i,4,20.4023,8.2491,0.0,1,1.0,False
30,4i,4,18.1502,8.2491,0.0,1,1.0,False
35,1i,6,12.9428,12.3737,0.0,3,1.0,False
35,2i,6,12.0322,12.3737,0.0,3,1.0,False
35,3i,3,27.5975,6.1868,720.0,0,0.0,False
35,4i,3,24.2109,6.1868,720.0,0,0.0,False
40,1i,6,7.8864,12.3737,0.0,3,1.0,False
40,2i,6,7.7052,12.3737,0.0,3,1.0,False
40,3i,3,15.6042,6.1868,0.0,0,0.0,False
40,4i,3,16.9187,6.1868,0.0,0,0.0,False
45,1i,9,9.8412,18.5605,0.0,3,1.0,False
45,2i,9,9.7744,18.5605,0.0,3,1.0,False
45,3i,5,14.4821,10.3114,720.0,0,0.0,False
45,4i,5,17.7673,10.3114,720.0,0,0.0,False
50,1i,5,16.2899,10.3114,2880.0,2,5.0,False
50,2i,5,15.6637,10.3114,2880.0,1,1.0,False
50,3i,5,14.3958,10.3114,0.0,2,1.0,False
50,4i,5,14.7195,10.3114,0.0,1,1.0,False
55,1i,5,16.1071,10.3114,0.0,2,5.0,False
55,2i,5,14.4096,10.3114,0.0,2,8.07,False
55,3i,5,14.5105,10.3114,0.0,2,1.0,False
55,4i,5,14.3863,10.3114,0.0,2,1.0,False
60,1i,5,10.2897,10.3114,0.0,2,5.0,False
60,2i,5,10.0403,10.3114,0.0,2,8.0,False
60,3i,5,11.9511,10.3114,0.0,2,1.0,False
60,4i,5,11.4916,10.3114,0.0,2,1.0,False
65,1i,6,13.5052,12.3737,1440.0,2,5.0,False
65,2i,6,13.6168,12.3737,1440.0,2,8.0,False
65,3i,8,11.5769,16.4982,0.0,2,1.0,False
65,4i,8,11.7134,16.4982,0.0,2,1.0,False
70,1i,6,12.9411,12.3737,0.0,3,9.0,False
70,2i,6,11.9477,12.3737,0.0,2,8.0,False
70,3i,8,8.0686,16.4982,0.0,5,5.0,False
70,4i,8,8.0979,16.4982,0.0,5,15.04,False
75,1i,6,12.8586,12.3737,0.0,3,9.0,False
75,2i,6,11.1763,12.3737,0.0,2,8.0,False
75,3i,8,7.9281,16.4982,0.0,5,5.0,False
75,4i,8,7.8123,16.4982,0.0,5,15.04,False
80,1i,4,14.788,8.2491,1440.0,0,0.0,False
80,2i,5,11.8142,10.3114,720.0,1,19.84,False
80,3i,8,7.0136,16.4982,0.0,5,5.0,False
80,4i,8,6.9674,16.4982,0.0,5,15.04,False
85,1i,6,16.3177,12.3737,720.0,0,0.0,False
85,2i,7,18.0836,14.436,720.0,0,0.0,False
85,3i,11,10.3357,22.6851,0.0,5,5.0,False
85,4i,11,9.9048,22.6851,0.0,5,15.04,False
90,1i,6,10.7708,12.3737,0.0,3,1.0,False
90,2i,7,13.3868,14.436,0.0,2,15.1,False
90,3i,11,7.4406,22.6851,0.0,6,8.0,False
90,4i,11,7.6509,22.6851,0.0,6,15.04,False
95,1i,6,10.9075,12.3737,0.0,3,1.0,False
95,2i,7,10.972,14.436,0.0,4,15.04,False
95,3i,7,11.0382,14.436,2880.0,2,8.0,False
95,4i,7,10.1858,14.436,2880.0,2,8.0,False
100,1i,6,9.4309,12.3737,0.0,3,1.0,False
100,2i,7,8.7261,14.436,0.0,4,15.04,False
100,3i,5,11.9566,10.3114,1440.0,2,8.0,False
