timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25
15,1i,150.0,3,25.079,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25
20,1i,150.0,3,13.5306,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25
25,1i,150.0,3,0.5526,2,1.0,False,0,,,,scenario_high_demand,train,development,0.25
30,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_high_demand,train,development,0.25
35,1i,150.0,5,10.6083,3,1.0,False,0,,,,scenario_high_demand,train,development,0.25
40,1i,150.0,6,7.8864,3,1.0,False,0,,,,scenario_high_demand,train,development,0.25
45,1i,150.0,6,1.2331,3,1.0,False,2,26.8103,401.88,429.74,scenario_high_demand,train,development,0.25
50,1i,150.0,2,0.0,2,5.0,False,2,27.5331,265.67,296.98,scenario_high_demand,train,development,0.25
55,1i,150.0,3,8.69,2,5.0,False,2,26.4959,130.39,161.65,scenario_high_demand,train,development,0.25
60,1i,150.0,5,10.2897,2,5.0,False,2,17.4342,29.98,53.04,scenario_high_demand,train,development,0.25
65,1i,150.0,3,1.0281,2,5.0,False,1,24.7533,455.55,455.55,scenario_high_demand,train,development,0.25
70,1i,150.0,3,0.0004,3,9.0,False,1,23.54,334.13,334.13,scenario_high_demand,train,development,0.25
75,1i,150.0,3,0.0,3,9.0,False,1,23.389,215.46,215.46,scenario_high_demand,train,development,0.25
80,1i,150.0,4,14.788,0,0.0,False,1,22.4801,96.05,96.05,scenario_high_demand,train,development,0.25
85,1i,150.0,3,7.7414,0,0.0,False,2,19.4344,16.3,483.3,scenario_high_demand,train,development,0.25
90,1i,150.0,3,0.0,3,1.0,False,2,13.2672,1.0,350.03,scenario_high_demand,train,development,0.25
95,1i,150.0,3,0.0,3,1.0,False,2,13.8553,1.0,214.88,scenario_high_demand,train,development,0.25
100,1i,150.0,4,5.587,3,1.0,False,2,11.1741,1.0,87.51,scenario_high_demand,train,development,0.25
105,1i,150.0,6,6.2304,3,1.0,False,2,4.4329,1.0,16.57,scenario_high_demand,train,development,0.25
110,1i,150.0,6,2.9827,4,5.01,False,2,0.0118,1.0,5.01,scenario_high_demand,train,development,0.25
115,1i,150.0,6,0.6048,5,8.14,False,2,0.0,1.0,5.0,scenario_high_demand,train,development,0.25
120,1i,150.0,9,7.192,6,8.0,False,2,0.0,1.0,5.0,scenario_high_demand,train,development,0.25
125,1i,150.0,9,3.273,6,8.0,False,2,0.0,1.0,5.0,scenario_high_demand,train,development,0.25
130,1i,150.0,9,0.1628,7,19.04,False,3,6.0738,1.0,418.97,scenario_high_demand,train,development,0.25
135,1i,150.0,9,0.0002,9,19.04,False,3,6.2367,1.0,324.93,scenario_high_demand,train,development,0.25
140,1i,150.0,6,8.0334,3,9.0,False,2,9.1472,5.0,230.41,scenario_high_demand,train,development,0.25
145,1i,150.0,6,8.2551,3,9.0,False,2,9.5657,5.0,136.51,scenario_high_demand,train,development,0.25
150,1i,150.0,4,3.0825,3,9.0,False,3,12.4362,5.0,431.21,scenario_high_demand,train,development,0.25
155,1i,150.0,4,1.297,3,9.0,False,3,9.9406,5.0,311.68,scenario_high_demand,train,development,0.25
160,1i,150.0,5,4.3207,4,13.01,False,3,7.8899,5.0,191.49,scenario_high_demand,train,development,0.25
165,1i,150.0,7,7.1021,4,13.0,False,3,6.0251,5.0,80.59,scenario_high_demand,train,development,0.25
170,1i,150.0,5,2.8402,2,13.0,False,2,2.2679,13.0,30.36,scenario_high_demand,train,development,0.25
175,1i,150.0,4,0.9096,2,1.0,False,2,1.8177,1.0,17.33,scenario_high_demand,train,development,0.25
180,1i,150.0,5,4.3933,4,13.71,False,2,0.0008,1.0,13.71,scenario_high_demand,train,development,0.25
