timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,25.079,0,0.0,False
15,2i,150.0,2,24.9579,0,0.0,False
15,3i,150.0,3,26.2125,0,0.0,False
15,4i,150.0,3,26.0667,0,0.0,False
20,1i,150.0,3,13.5306,0,0.0,False
20,2i,150.0,3,15.4972,0,0.0,False
20,3i,150.0,2,12.7689,0,0.0,False
20,4i,150.0,2,12.5181,0,0.0,False
25,1i,150.0,3,0.5526,2,1.0,False
25,2i,150.0,3,1.829,1,1.0,False
25,3i,150.0,1,0.3902,0,0.0,False
25,4i,150.0,1,0.0,1,1.0,False
30,1i,150.0,3,0.0,3,1.0,False
30,2i,150.0,3,0.0,3,1.0,False
30,3i,150.0,1,0.0,1,1.0,False
30,4i,150.0,1,0.0,1,1.0,False
35,1i,150.0,5,10.6083,3,1.0,False
35,2i,150.0,5,10.6638,3,1.0,False
35,3i,150.0,3,27.5975,0,0.0,False
35,4i,150.0,2,26.7421,0,0.0,False
40,1i,150.0,6,7.8864,3,1.0,False
40,2i,150.0,6,7.7052,3,1.0,False
40,3i,150.0,3,15.6042,0,0.0,False
40,4i,150.0,3,16.9187,0,0.0,False
45,1i,150.0,6,1.2331,3,1.0,False
45,2i,150.0,6,2.7585,3,1.0,False
45,3i,150.0,2,0.2398,0,0.0,False
45,4i,150.0,2,8.5939,0,0.0,False
50,1i,150.0,2,0.0,2,5.0,False
50,2i,150.0,2,2.7068,1,1.0,False
50,3i,150.0,2,0.0,2,1.0,False
50,4i,150.0,2,1.1913,1,1.0,False
55,1i,150.0,3,8.69,2,5.0,False
55,2i,150.0,3,8.9514,2,8.07,False
55,3i,150.0,2,0.0,2,1.0,False
55,4i,150.0,2,0.0,2,1.0,False
60,1i,150.0,5,10.2897,2,5.0,False
60,2i,150.0,4,8.5526,2,8.0,False
60,3i,150.0,5,11.9511,2,1.0,False
60,4i,150.0,5,11.4916,2,1.0,False
65,1i,150.0,3,1.0281,2,5.0,False
65,2i,150.0,3,3.8452,2,8.0,False
65,3i,150.0,5,3.9677,2,1.0,False
65,4i,150.0,5,4.1675,2,1.0,False
70,1i,150.0,3,0.0004,3,9.0,False
70,2i,150.0,3,2.3452,2,8.0,False
70,3i,150.0,5,0.0023,5,5.0,False
70,4i,150.0,5,0.0065,5,15.04,False
75,1i,150.0,3,0.0,3,9.0,False
75,2i,150.0,3,0.8452,2,8.0,False
75,3i,150.0,5,0.0,5,5.0,False
75,4i,150.0,5,0.0,5,15.04,False
80,1i,150.0,4,14.788,0,0.0,False
80,2i,150.0,4,10.015,1,19.84,False
80,3i,150.0,6,3.2527,5,5.0,False
80,4i,150.0,6,3.2388,5,15.04,False
85,1i,150.0,3,7.7414,0,0.0,False
85,2i,150.0,4,11.8271,0,0.0,False
85,3i,150.0,8,4.8544,5,5.0,False
85,4i,150.0,8,4.6096,5,15.04,False
90,1i,150.0,3,0.0,3,1.0,False
90,2i,150.0,4,4.1732,2,15.1,False
90,3i,150.0,8,2.0446,6,8.0,False
90,4i,150.0,8,1.9787,6,15.04,False
95,1i,150.0,3,0.0,3,1.0,False
95,2i,150.0,4,0.0001,4,15.04,False
95,3i,150.0,4,3.0777,2,8.0,False
95,4i,150.0,4,1.0456,2,8.0,False
100,1i,150.0,4,5.587,3,1.0,False
100,2i,150.0,7,8.7261,4,15.04,False
100,3i,150.0,4,10.199,2,8.0,False
100,4i,150.0,4,10.2066,2,8.0,False
105,1i,150.0,6,6.2304,3,1.0,False
105,2i,150.0,7,3.5588,4,15.04,False
105,3i,150.0,5,8.2033,2,8.0,False
105,4i,150.0,5,8.5761,2,8.0,False
110,1i,150.0,6,2.9827,4,5.01,False
110,2i,150.0,7,0.0075,7,19.04,False
110,3i,150.0,4,3.1265,3,12.0,False
110,4i,150.0,3,3.0388,2,8.0,False
115,1i,150.0,6,0.6048,5,8.14,False
115,2i,150.0,7,0.0,7,19.04,False
115,3i,150.0,3,0.0,3,12.0,False
115,4i,150.0,3,1.5463,2,8.0,False
120,1i,150.0,9,7.192,6,8.0,False
120,2i,150.0,9,4.3577,7,19.04,False
120,3i,150.0,4,5.8224,3,12.0,False
120,4i,150.0,6,10.9021,2,8.0,False
125,1i,150.0,9,3.273,6,8.0,False
125,2i,150.0,10,3.0958,7,19.04,False
125,3i,150.0,5,11.6021,0,0.0,False
125,4i,150.0,5,8.5584,1,11.13,False
130,1i,150.0,9,0.1628,7,19.04,False
130,2i,150.0,10,1.1779,8,22.04,False
130,3i,150.0,3,7.0924,0,0.0,False
130,4i,150.0,4,0.906,1,1.0,False
135,1i,150.0,9,0.0002,9,19.04,False
135,2i,150.0,10,0.2733,9,22.04,False
135,3i,150.0,3,0.0047,3,1.01,False
