timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,0,,,
5,2i,0,,,
5,3i,0,,,
5,4i,0,,,
10,1i,0,,,
10,2i,0,,,
10,3i,0,,,
10,4i,0,,,
15,1i,0,,,
15,2i,0,,,
15,3i,0,,,
15,4i,0,,,
20,1i,0,,,
20,2i,0,,,
20,3i,0,,,
20,4i,0,,,
25,1i,0,,,
25,2i,0,,,
25,3i,0,,,
25,4i,0,,,
30,1i,0,,,
30,2i,0,,,
30,3i,0,,,
30,4i,0,,,
35,1i,0,,,
35,2i,0,,,
35,3i,0,,,
35,4i,0,,,
40,1i,0,,,
40,2i,0,,,
40,3i,0,,,
40,4i,0,,,
45,1i,0,,,
45,2i,0,,,
45,3i,0,,,
45,4i,0,,,
50,1i,0,,,
50,2i,0,,,
50,3i,0,,,
50,4i,0,,,
55,1i,0,,,
55,2i,0,,,
55,3i,0,,,
55,4i,0,,,
60,1i,0,,,
60,2i,0,,,
60,3i,0,,,
60,4i,0,,,
65,1i,1,24.7533,455.55,455.55
65,2i,0,,,
65,3i,0,,,
65,4i,0,,,
70,1i,1,23.54,334.13,334.13
70,2i,0,,,
70,3i,0,,,
70,4i,0,,,
75,1i,1,23.389,215.46,215.46
75,2i,0,,,
75,3i,0,,,
75,4i,0,,,
80,1i,1,22.4801,96.05,96.05
80,2i,0,,,
80,3i,0,,,
80,4i,0,,,
85,1i,1,11.0989,16.3,16.3
85,2i,0,,,
85,3i,0,,,
85,4i,0,,,
90,1i,1,0.0,1.0,1.0
90,2i,0,,,
90,3i,0,,,
90,4i,0,,,
95,1i,1,0.0,1.0,1.0
95,2i,0,,,
95,3i,0,,,
95,4i,0,,,
100,1i,1,0.0,1.0,1.0
100,2i,0,,,
100,3i,0,,,
100,4i,0,,,
105,1i,1,0.0,1.0,1.0
105,2i,0,,,
105,3i,0,,,
105,4i,0,,,
110,1i,1,0.0,1.0,1.0
110,2i,0,,,
110,3i,0,,,
110,4i,0,,,
115,1i,1,0.0,1.0,1.0
115,2i,0,,,
115,3i,0,,,
115,4i,0,,,
120,1i,1,0.0,1.0,1.0
120,2i,0,,,
120,3i,0,,,
120,4i,0,,,
125,1i,1,0.0,1.0,1.0
125,2i,1,23.592,456.71,456.71
125,3i,1,26.5707,456.73,456.73
125,4i,0,,,
130,1i,2,9.1106,1.0,418.97
130,2i,1,24.9762,334.78,334.78
130,3i,1,26.9735,321.5,321.5
130,4i,0,,,
135,1i,2,9.355,1.0,324.93
135,2i,1,23.3667,214.11,214.11
135,3i,1,26.2819,187.79,187.79
135,4i,0,,,
140,1i,1,18.2945,230.41,230.41
140,2i,1,20.0201,97.5,97.5
140,3i,1,18.7919,69.93,69.93
140,4i,0,,,
145,1i,1,19.1315,136.51,136.51
145,2i,1,11.6743,27.22,27.22
145,3i,1,4.7919,17.97,17.97
145,4i,0,,,
150,1i,1,12.3301,60.62,60.62
150,2i,0,,,
150,3i,1,0.0294,15.05,15.05
150,4i,0,,,
155,1i,1,5.1881,19.73,19.73
155,2i,0,,,
155,3i,1,0.0,15.04,15.04
155,4i,0,,,
160,1i,1,0.0183,13.01,13.01
160,2i,0,,,
160,3i,1,0.0,15.04,15.04
160,4i,0,,,
165,1i,1,0.0,13.0,13.0
165,2i,0,,,
165,3i,1,0.0,15.04,15.04
165,4i,0,,,
170,1i,1,0.0,13.0,13.0
170,2i,0,,,
170,3i,1,0.0,15.04,15.04
170,4i,1,27.0913,456.21,456.21
175,1i,1,1.2708,1.0,1.0
175,2i,0,,,
175,3i,1,0.0,15.04,15.04
175,4i,1,27.5313,322.96,322.96
180,1i,1,0.0,1.0,1.0
180,2i,0,,,
180,3i,1,0.0,15.04,15.04
180,4i,1,27.4553,188.3,188.3
185,1i,1,0.0,1.0,1.0
185,2i,0,,,
185,3i,1,3.0141,8.0,8.0
185,4i,1,17.8522,78.91,78.91
190,1i,1,0.0,1.0,1.0
190,2i,0,,,
190,3i,0,,,
190,4i,1,9.9436,8.12,8.12
195,1i,1,0.0,1.0,1.0
195,2i,0,,,
195,3i,0,,,
195,4i,0,,,
200,1i,1,0.0,1.0,1.0
200,2i,0,,,
200,3i,0,,,
200,4i,0,,,
205,1i,1,0.0,1.0,1.0
205,2i,0,,,
205,3i,0,,,
205,4i,0,,,
210,1i,1,0.0,1.0,1.0
210,2i,0,,,
210,3i,0,,,
210,4i,0,,,
215,1i,1,0.0,1.0,1.0
215,2i,0,,,
215,3i,1,27.2505,376.48,376.48
215,4i,0,,,
