timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,24.4235,0,0.0,False,,,0.0
20,1i,150.0,3,14.6513,0,0.0,False,,,0.0
25,1i,150.0,3,0.9853,1,1.0,False,,,0.006666666666666667
30,1i,150.0,3,0.0001,3,1.0,False,1.0,0.0001,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,4,3.2448,3,1.0,False,1.0,3.2448,0.006666666666666667
45,1i,150.0,5,6.3771,3,1.0,False,1.0,-18.0464,0.006666666666666667
50,1i,150.0,4,11.7101,1,1.0,False,1.0,-2.9412000000000003,0.006666666666666667
55,1i,150.0,3,4.46,2,8.27,False,7.27,3.4747,0.05513333333333333
60,1i,150.0,4,6.4314,2,8.0,False,7.0,6.4313,0.05333333333333334
65,1i,150.0,4,3.234,3,22.04,False,21.04,3.234,0.14693333333333333
70,1i,150.0,4,5.983,3,22.04,False,21.04,2.7381999999999995,0.14693333333333333
75,1i,150.0,5,6.5176,3,22.04,False,21.04,0.1404999999999994,0.14693333333333333
80,1i,150.0,4,4.1158,2,26.05,False,25.05,-7.5943000000000005,0.17366666666666666
85,1i,150.0,3,3.3382,0,0.0,False,-8.27,-1.1218,0.0
90,1i,150.0,4,5.0627,2,1.0,False,-7.0,-1.3686999999999996,0.006666666666666667
95,1i,150.0,4,1.47,3,5.0,False,-17.04,-1.764,0.03333333333333333
100,1i,150.0,4,0.0018,4,12.01,False,-10.03,-5.981199999999999,0.08006666666666666
105,1i,150.0,7,10.269,4,12.0,False,-10.04,3.7514000000000003,0.08
110,1i,150.0,7,6.6087,4,12.0,False,-14.05,2.4928999999999997,0.08
115,1i,150.0,7,0.812,4,12.0,False,12.0,-2.5262000000000002,0.08
120,1i,150.0,7,0.0,7,19.0,False,18.0,-5.0627,0.12666666666666668
125,1i,150.0,7,0.0,7,19.0,False,14.0,-1.47,0.12666666666666668
130,1i,150.0,8,1.7761,7,19.0,False,6.99,1.7743,0.12666666666666668
135,1i,150.0,9,3.1614,7,19.0,False,7.0,-7.1076,0.12666666666666668
140,1i,150.0,7,5.7759,4,19.0,False,7.0,-0.8327999999999998,0.12666666666666668
145,1i,150.0,6,1.7255,5,26.01,False,14.010000000000002,0.9135,0.1734
150,1i,150.0,7,3.8366,5,26.01,False,7.010000000000002,3.8366,0.1734
155,1i,150.0,7,1.7798,6,38.72,False,19.72,1.7798,0.2581333333333333
160,1i,150.0,7,2.6401,6,38.72,False,19.72,0.8639999999999999,0.2581333333333333
165,1i,150.0,8,3.5888,6,38.72,False,19.72,0.4274,0.2581333333333333
170,1i,150.0,7,3.06,4,42.72,False,23.72,-2.7159,0.2848
175,1i,150.0,5,3.1926,0,0.0,False,-26.01,1.4671,0.0
180,1i,150.0,5,0.9776,2,1.0,False,-25.01,-2.859,0.006666666666666667
185,1i,150.0,6,2.1073,5,24.72,False,-14.0,0.3274999999999999,0.1648
190,1i,150.0,6,0.8521,5,24.71,False,-14.009999999999998,-1.7879999999999998,0.16473333333333334
195,1i,150.0,9,7.5002,6,28.75,False,-9.969999999999999,3.9114000000000004,0.19166666666666668
200,1i,150.0,9,3.7015,6,28.72,False,-14.0,0.6414999999999997,0.19146666666666665
205,1i,150.0,9,0.0168,7,41.43,False,41.43,-3.1758,0.2762
210,1i,150.0,9,0.0,9,41.43,False,40.43,-0.9776,0.2762
215,1i,150.0,10,1.8424,9,41.43,False,16.71,-0.2648999999999999,0.2762
220,1i,150.0,10,0.5364,9,41.43,False,16.72,-0.3157,0.2762
225,1i,150.0,11,2.1536,10,45.43,False,16.68,-5.3466000000000005,0.3028666666666667
230,1i,150.0,8,1.925,7,45.43,False,16.71,-1.7764999999999997,0.3028666666666667
235,1i,150.0,8,1.6983,7,45.43,False,4.0,1.6815,0.3028666666666667
240,1i,150.0,9,3.598,7,45.43,False,4.0,3.598,0.3028666666666667
245,1i,150.0,9,2.462,7,45.43,False,4.0,0.6196000000000002,0.3028666666666667
