timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,3,24.4235,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,,,0.0,,,0.0,14.0,True,,20.0,1758.492,,
20,1i,150.0,3,14.6513,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,,,0.0,,,0.0,19.0,True,,20.0,1054.8936,,
25,1i,150.0,3,0.9853,1,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,,,0.006666666666666667,,,0.0,24.0,True,,20.0,70.9416,,
30,1i,150.0,3,0.0001,3,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,1.0,0.0001,0.006666666666666667,0.0,,1.0,4.0,False,5,20.0,0.007200000000000001,0.03333333333333333,
35,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,1.0,0.0,0.006666666666666667,0.0,,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
40,1i,150.0,4,3.2448,3,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,1.0,3.2448,0.006666666666666667,0.0,,3.0,1.0,False,5,26.666666666666668,311.5008,0.03333333333333333,
45,1i,150.0,5,6.3771,3,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,1.0,-18.0464,0.006666666666666667,0.0,,3.0,6.0,False,10,33.333333333333336,765.2520000000001,0.03333333333333333,
50,1i,150.0,4,11.7101,1,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,1.0,-2.9412000000000003,0.006666666666666667,0.0,,4.0,4.0,False,15,26.666666666666668,1124.1696000000002,0.03333333333333333,
55,1i,150.0,3,4.46,2,8.27,False,0,,,,scenario_left_turn_heavy,train,development,0.05,7.27,3.4747,0.05513333333333333,0.0,,4.0,9.0,False,20,20.0,321.12,0.24233333333333332,
60,1i,150.0,4,6.4314,2,8.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,7.0,6.4313,0.05333333333333334,0.0,,4.0,14.0,False,25,26.666666666666668,617.4144,0.23333333333333334,
65,1i,150.0,4,3.234,3,22.04,False,0,,,,scenario_left_turn_heavy,train,development,0.05,21.04,3.234,0.14693333333333333,0.0,,4.0,19.0,False,30,26.666666666666668,310.464,0.7013333333333333,
70,1i,150.0,4,5.983,3,22.04,False,0,,,,scenario_left_turn_heavy,train,development,0.05,21.04,2.7381999999999995,0.14693333333333333,0.0,,4.0,24.0,False,35,26.666666666666668,574.3679999999999,0.7013333333333333,
75,1i,150.0,5,6.5176,3,22.04,False,0,,,,scenario_left_turn_heavy,train,development,0.05,21.04,0.1404999999999994,0.14693333333333333,0.0,,5.0,4.0,False,40,33.333333333333336,782.1120000000001,0.7013333333333333,
80,1i,150.0,4,4.1158,2,26.05,False,0,,,,scenario_left_turn_heavy,train,development,0.05,25.05,-7.5943000000000005,0.17366666666666666,0.0,,6.0,2.0,False,45,26.666666666666668,395.11680000000007,0.8350000000000001,
85,1i,150.0,3,3.3382,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,-8.27,-1.1218,0.0,0.0,,7.0,1.0,False,50,20.0,240.35040000000004,-0.27566666666666667,
90,1i,150.0,4,5.0627,2,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.05,-7.0,-1.3686999999999996,0.006666666666666667,0.0,,7.0,6.0,False,55,26.666666666666668,486.01920000000007,-0.23333333333333334,
95,1i,150.0,4,1.47,3,5.0,False,1,23.892,383.74,383.74,scenario_left_turn_heavy,train,development,0.05,-17.04,-1.764,0.03333333333333333,1.0,,0.0,4.0,True,,26.666666666666668,141.12,-0.568,
100,1i,150.0,4,0.0018,4,12.01,False,1,23.7672,265.18,265.18,scenario_left_turn_heavy,train,development,0.05,-10.03,-5.981199999999999,0.08006666666666666,1.0,,0.0,9.0,True,,26.666666666666668,0.1728,-0.3343333333333333,
105,1i,150.0,7,10.269,4,12.0,False,1,23.8662,145.59,145.59,scenario_left_turn_heavy,train,development,0.05,-10.04,3.7514000000000003,0.08,1.0,,0.0,14.0,True,,46.66666666666667,1725.1920000000002,-0.3346666666666666,
110,1i,150.0,7,6.6087,4,12.0,False,1,16.358,40.45,40.45,scenario_left_turn_heavy,train,development,0.05,-14.05,2.4928999999999997,0.08,1.0,,0.0,19.0,True,,46.66666666666667,1110.2616,-0.4683333333333334,
115,1i,150.0,7,0.812,4,12.0,False,1,2.0885,1.0,1.0,scenario_left_turn_heavy,train,development,0.05,12.0,-2.5262000000000002,0.08,1.0,,0.0,24.0,True,,46.66666666666667,136.41600000000003,0.4,
120,1i,150.0,7,0.0,7,19.0,False,1,0.0,1.0,1.0,scenario_left_turn_heavy,train,development,0.05,18.0,-5.0627,0.12666666666666668,1.0,,1.0,4.0,False,5,46.66666666666667,0.0,0.6,
125,1i,150.0,7,0.0,7,19.0,False,1,0.0,1.0,1.0,scenario_left_turn_heavy,train,development,0.05,14.0,-1.47,0.12666666666666668,0.0,-382.74,2.0,2.0,True,,46.66666666666667,0.0,0.4666666666666667,
130,1i,150.0,8,1.7761,7,19.0,False,1,0.0,1.0,1.0,scenario_left_turn_heavy,train,development,0.05,6.99,1.7743,0.12666666666666668,0.0,-264.18,3.0,1.0,False,5,53.333333333333336,341.01120000000003,0.233,
