timestamp,approach_edge,true_queue_length_m,true_queue_beyond_camera
0,1i,0.0,False
5,1i,0.0,False
10,1i,0.0,False
15,1i,0.0,False
20,1i,0.0,False
25,1i,1.0,False
30,1i,1.0,False
35,1i,1.0,False
40,1i,1.0,False
45,1i,1.0,False
50,1i,1.0,False
55,1i,8.27,False
60,1i,8.0,False
65,1i,22.04,False
70,1i,22.04,False
75,1i,22.04,False
80,1i,26.05,False
85,1i,0.0,False
90,1i,1.0,False
95,1i,5.0,False
100,1i,12.01,False
105,1i,12.0,False
110,1i,12.0,False
115,1i,12.0,False
120,1i,19.0,False
125,1i,19.0,False
130,1i,19.0,False
135,1i,19.0,False
140,1i,19.0,False
145,1i,26.01,False
150,1i,26.01,False
155,1i,38.72,False
160,1i,38.72,False
165,1i,38.72,False
170,1i,42.72,False
175,1i,0.0,False
180,1i,1.0,False
185,1i,24.72,False
190,1i,24.71,False
195,1i,28.75,False
200,1i,28.72,False
205,1i,41.43,False
210,1i,41.43,False
215,1i,41.43,False
220,1i,41.43,False
225,1i,45.43,False
230,1i,45.43,False
235,1i,45.43,False
240,1i,45.43,False
245,1i,45.43,False
250,1i,45.43,False
255,1i,52.43,False
260,1i,66.47,False
265,1i,66.47,False
270,1i,5.0,False
275,1i,25.74,False
280,1i,50.82,False
285,1i,50.76,False
290,1i,50.76,False
295,1i,57.76,False
300,1i,57.76,False
305,1i,57.76,False
310,1i,57.76,False
315,1i,64.76,False
320,1i,64.76,False
325,1i,64.76,False
330,1i,68.77,False
335,1i,68.76,False
340,1i,68.76,False
345,1i,68.76,False
350,1i,75.76,False
355,1i,75.76,False
360,1i,75.39,False
365,1i,26.13,False
370,1i,48.16,False
375,1i,62.13,False
380,1i,62.05,False
385,1i,69.07,False
390,1i,69.05,False
395,1i,69.05,False
400,1i,69.05,False
405,1i,69.05,False
410,1i,69.05,False
415,1i,76.05,False
420,1i,90.09,False
425,1i,90.09,False
430,1i,90.09,False
435,1i,90.09,False
440,1i,94.09,False
445,1i,94.09,False
450,1i,94.09,False
455,1i,97.23,False
460,1i,58.17,False
465,1i,87.36,False
470,1i,87.09,False
475,1i,87.09,False
480,1i,91.11,False
485,1i,91.09,False
490,1i,103.87,False
495,1i,103.81,False
500,1i,103.81,False
505,1i,103.81,False
510,1i,107.81,False
515,1i,107.81,False
520,1i,107.81,False
525,1i,107.81,False
530,1i,111.81,False
535,1i,111.81,False
540,1i,111.81,False
545,1i,111.77,False
550,1i,47.07,False
555,1i,73.47,False
560,1i,89.82,False
565,1i,110.57,False
570,1i,110.48,False
575,1i,110.48,False
580,1i,110.48,False
585,1i,114.48,False
590,1i,114.48,False
595,1i,114.48,False
600,1i,121.48,False
605,1i,121.48,False
610,1i,121.48,False
615,1i,121.48,False
620,1i,125.48,False
625,1i,125.48,False
630,1i,125.48,False
635,1i,132.49,False
640,1i,132.2,False
645,1i,76.17,False
650,1i,92.57,False
655,1i,114.72,False
660,1i,114.48,False
665,1i,118.48,False
670,1i,132.54,False
675,1i,132.52,False
680,1i,132.52,False
685,1i,132.52,False
690,1i,136.52,False
695,1i,136.52,False
700,1i,136.52,False
705,1i,140.52,False
710,1i,140.52,False
715,1i,140.52,False
720,1i,140.52,False
725,1i,144.52,False
730,1i,144.52,False
735,1i,142.9,False
740,1i,82.6,False
745,1i,111.75,False
750,1i,123.62,False
755,1i,130.53,False
760,1i,143.23,False
765,1i,143.23,False
770,1i,143.23,False
775,1i,143.23,False
780,1i,147.23,False
785,1i,147.23,False
790,1i,147.23,False
795,1i,154.23,True
800,1i,154.23,True
805,1i,154.23,True
810,1i,154.23,True
815,1i,158.24,True
820,1i,158.24,True
825,1i,158.13,True
830,1i,156.26,True
835,1i,159.4,True
840,1i,122.79,False
845,1i,145.01,False
850,1i,144.24,False
855,1i,144.2,False
860,1i,151.2,True
865,1i,151.2,True
870,1i,165.24,True
875,1i,165.24,True
880,1i,165.24,True
885,1i,169.25,True
890,1i,169.24,True
895,1i,169.24,True
900,1i,169.24,True
905,1i,176.24,True
910,1i,176.24,True
