timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,25.12,6.1868,0.0,0,0.0,False
5,2i,3,25.0867,6.1868,0.0,0,0.0,False
5,3i,3,23.6874,6.1868,0.0,0,0.0,False
5,4i,3,24.8553,6.1868,0.0,0,0.0,False
10,1i,3,25.2897,6.1868,0.0,0,0.0,False
10,2i,3,25.0623,6.1868,0.0,0,0.0,False
10,3i,3,23.4726,6.1868,0.0,0,0.0,False
10,4i,3,24.7849,6.1868,0.0,0,0.0,False
15,1i,3,24.4235,6.1868,0.0,0,0.0,False
15,2i,3,24.6188,6.1868,0.0,0,0.0,False
15,3i,3,22.9738,6.1868,0.0,0,0.0,False
15,4i,3,24.6636,6.1868,0.0,0,0.0,False
20,1i,4,15.7277,8.2491,0.0,0,0.0,False
20,2i,4,17.8116,8.2491,0.0,0,0.0,False
20,3i,3,20.7323,6.1868,720.0,0,0.0,False
20,4i,4,18.2418,8.2491,0.0,0,0.0,False
25,1i,4,5.4786,8.2491,0.0,1,1.0,False
25,2i,4,7.6395,8.2491,0.0,0,0.0,False
25,3i,2,19.9167,4.1246,720.0,0,0.0,False
25,4i,2,14.6842,4.1246,1440.0,0,0.0,False
30,1i,4,4.761,8.2491,0.0,3,1.0,False
30,2i,4,6.6761,8.2491,0.0,3,1.0,False
30,3i,2,13.401,4.1246,0.0,0,0.0,False
30,4i,2,13.3966,4.1246,0.0,1,1.0,False
35,1i,5,8.2949,10.3114,0.0,3,1.0,False
35,2i,5,9.0909,10.3114,0.0,3,1.0,False
35,3i,2,18.8115,4.1246,720.0,0,0.0,False
35,4i,2,22.2041,4.1246,720.0,0,0.0,False
40,1i,6,10.7112,12.3737,0.0,3,1.0,False
40,2i,6,8.5782,12.3737,0.0,3,1.0,False
40,3i,3,15.0931,6.1868,0.0,0,0.0,False
40,4i,2,26.1273,4.1246,720.0,0,0.0,False
45,1i,6,9.7831,12.3737,0.0,3,1.0,False
45,2i,6,7.3261,12.3737,0.0,4,8.01,False
45,3i,3,12.809,6.1868,0.0,1,1.01,False
45,4i,2,25.3572,4.1246,0.0,0,0.0,False
50,1i,5,14.6188,10.3114,1440.0,1,1.0,False
50,2i,5,12.5918,10.3114,1440.0,2,8.0,False
50,3i,4,14.5762,8.2491,0.0,1,1.0,False
50,4i,3,20.7184,6.1868,0.0,0,0.0,False
55,1i,5,13.2042,10.3114,720.0,2,8.27,False
55,2i,5,14.1011,10.3114,720.0,2,8.0,False
55,3i,5,15.4749,10.3114,0.0,1,1.0,False
55,4i,4,15.7958,8.2491,0.0,0,0.0,False
60,1i,5,9.9057,10.3114,0.0,2,8.0,False
60,2i,5,13.1033,10.3114,0.0,2,8.0,False
60,3i,5,11.494,10.3114,0.0,1,1.0,False
60,4i,4,11.2866,8.2491,0.0,1,1.0,False
65,1i,6,10.8953,12.3737,0.0,3,22.04,False
65,2i,6,10.9167,12.3737,0.0,2,8.0,False
65,3i,6,10.8657,12.3737,0.0,2,1.0,False
65,4i,5,13.9339,10.3114,0.0,2,1.0,False
70,1i,5,9.9941,10.3114,720.0,3,22.04,False
70,2i,5,8.0654,10.3114,720.0,2,8.0,False
70,3i,6,7.5845,12.3737,0.0,3,5.01,False
70,4i,5,12.8064,10.3114,0.0,2,1.0,False
75,1i,6,9.5655,12.3737,0.0,3,22.04,False
75,2i,6,8.2823,12.3737,0.0,3,12.0,False
75,3i,7,8.6915,14.436,0.0,4,5.0,False
75,4i,6,10.1399,12.3737,0.0,2,1.0,False
80,1i,5,8.0974,10.3114,720.0,2,26.05,False
80,2i,5,9.2854,10.3114,720.0,2,26.05,False
80,3i,7,6.9888,14.436,0.0,4,5.0,False
80,4i,6,6.3516,12.3737,0.0,4,5.0,False
85,1i,4,8.7412,8.2491,720.0,0,0.0,False
85,2i,4,10.4803,8.2491,720.0,0,0.0,False
85,3i,7,4.1793,14.436,0.0,4,5.0,False
85,4i,6,4.5915,12.3737,0.0,4,5.0,False
90,1i,4,5.0627,8.2491,0.0,2,1.0,False
90,2i,4,5.1742,8.2491,0.0,2,15.04,False
90,3i,7,2.5092,14.436,0.0,6,17.71,False
90,4i,6,2.7319,12.3737,0.0,5,8.0,False
95,1i,7,11.0101,14.436,0.0,3,5.0,False
95,2i,7,11.1711,14.436,0.0,3,15.04,False
95,3i,8,9.8808,16.4982,1440.0,3,17.71,False
95,4i,6,12.6305,12.3737,2160.0,2,5.0,False
100,1i,7,10.1473,14.436,0.0,4,12.01,False
100,2i,7,10.3902,14.436,0.0,4,19.06,False
100,3i,7,10.176,14.436,720.0,4,30.42,False
