timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.11
5,1i,150.0,0,0.0,0,0.0,False,1,26.1393,376.65,376.65,scenario_left_turn_heavy,train,development,0.11
10,1i,150.0,0,0.0,0,0.0,False,1,26.0862,241.94,241.94,scenario_left_turn_heavy,train,development,0.11
15,1i,150.0,3,24.4235,0,0.0,False,1,26.6297,108.87,108.87,scenario_left_turn_heavy,train,development,0.11
20,1i,150.0,3,14.6513,0,0.0,False,2,15.4808,19.02,454.3,scenario_left_turn_heavy,train,development,0.11
25,1i,150.0,3,0.9853,1,1.0,False,2,9.4793,1.0,358.69,scenario_left_turn_heavy,train,development,0.11
30,1i,150.0,3,0.0001,3,1.0,False,2,9.5218,1.0,262.99,scenario_left_turn_heavy,train,development,0.11
35,1i,150.0,3,0.0,3,1.0,False,2,8.6587,1.0,170.22,scenario_left_turn_heavy,train,development,0.11
40,1i,150.0,4,3.2448,3,1.0,False,2,6.4896,1.0,96.53,scenario_left_turn_heavy,train,development,0.11
45,1i,150.0,5,6.3771,3,1.0,False,2,4.2518,1.0,45.01,scenario_left_turn_heavy,train,development,0.11
50,1i,150.0,4,11.7101,1,1.0,False,1,4.0247,15.91,15.91,scenario_left_turn_heavy,train,development,0.11
55,1i,150.0,3,4.46,2,8.27,False,1,0.3085,8.27,8.27,scenario_left_turn_heavy,train,development,0.11
60,1i,150.0,4,6.4314,2,8.0,False,1,0.0004,8.0,8.0,scenario_left_turn_heavy,train,development,0.11
65,1i,150.0,4,3.234,3,22.04,False,1,0.0,8.0,8.0,scenario_left_turn_heavy,train,development,0.11
70,1i,150.0,4,5.983,3,22.04,False,1,0.0,8.0,8.0,scenario_left_turn_heavy,train,development,0.11
75,1i,150.0,5,6.5176,3,22.04,False,1,0.0,8.0,8.0,scenario_left_turn_heavy,train,development,0.11
80,1i,150.0,4,4.1158,2,26.05,False,1,1.8755,5.18,5.18,scenario_left_turn_heavy,train,development,0.11
85,1i,150.0,3,3.3382,0,0.0,False,0,,,,scenario_left_turn_heavy,train,development,0.11
90,1i,150.0,4,5.0627,2,1.0,False,0,,,,scenario_left_turn_heavy,train,development,0.11
95,1i,150.0,4,1.47,3,5.0,False,1,23.892,383.74,383.74,scenario_left_turn_heavy,train,development,0.11
100,1i,150.0,4,0.0018,4,12.01,False,1,23.7672,265.18,265.18,scenario_left_turn_heavy,train,development,0.11
105,1i,150.0,7,10.269,4,12.0,False,1,23.8662,145.59,145.59,scenario_left_turn_heavy,train,development,0.11
