timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,25.1631,0,0.0,False,,,0.0
20,1i,150.0,3,13.5338,0,0.0,False,,,0.0
25,1i,150.0,3,0.5526,2,1.0,False,,,0.006666666666666667
30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
45,1i,150.0,3,0.0,3,1.0,False,1.0,-25.1631,0.006666666666666667
50,1i,150.0,1,0.0,1,1.0,False,1.0,-13.5338,0.006666666666666667
55,1i,150.0,1,0.0,1,1.0,False,0.0,-0.5526,0.006666666666666667
60,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
65,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
70,1i,150.0,3,16.0553,1,1.0,False,0.0,16.0553,0.006666666666666667
75,1i,150.0,4,9.9066,1,1.0,False,0.0,9.9066,0.006666666666666667
80,1i,150.0,2,7.7382,1,1.0,False,0.0,7.7382,0.006666666666666667
85,1i,150.0,2,0.2382,1,1.0,False,0.0,0.2382,0.006666666666666667
90,1i,150.0,2,0.0,2,1.0,False,0.0,0.0,0.006666666666666667
95,1i,150.0,2,0.0,2,1.0,False,0.0,0.0,0.006666666666666667
100,1i,150.0,2,0.0,2,1.0,False,0.0,-16.0553,0.006666666666666667
105,1i,150.0,2,0.0,2,1.0,False,0.0,-9.9066,0.006666666666666667
110,1i,150.0,2,0.0,2,1.0,False,0.0,-7.7382,0.006666666666666667
115,1i,150.0,2,0.0,2,1.0,False,0.0,-0.2382,0.006666666666666667
120,1i,150.0,3,8.6911,2,1.0,False,0.0,8.6911,0.006666666666666667
125,1i,150.0,4,9.5603,2,1.0,False,0.0,9.5603,0.006666666666666667
130,1i,150.0,5,6.1394,2,1.0,False,0.0,6.1394,0.006666666666666667
135,1i,150.0,5,2.9484,4,15.05,False,14.05,2.9484,0.10033333333333334
140,1i,150.0,2,1.0995,0,0.0,False,-1.0,1.0995,0.0
145,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
150,1i,150.0,1,0.0,1,1.0,False,0.0,-8.6911,0.006666666666666667
155,1i,150.0,1,0.0,1,1.0,False,0.0,-9.5603,0.006666666666666667
160,1i,150.0,1,0.0,1,1.0,False,0.0,-6.1394,0.006666666666666667
165,1i,150.0,1,0.0,1,1.0,False,-14.05,-2.9484,0.006666666666666667
170,1i,150.0,0,0.0,0,0.0,False,0.0,-1.0995,0.0
175,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
180,1i,150.0,3,20.9938,0,0.0,False,-1.0,20.9938,0.0
185,1i,150.0,3,13.0885,0,0.0,False,-1.0,13.0885,0.0
190,1i,150.0,3,0.9054,1,1.0,False,0.0,0.9054,0.006666666666666667
195,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
200,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
205,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
210,1i,150.0,3,0.0,3,1.0,False,1.0,-20.9938,0.006666666666666667
215,1i,150.0,3,0.0,3,1.0,False,1.0,-13.0885,0.006666666666666667
220,1i,150.0,3,0.0,3,1.0,False,0.0,-0.9054,0.006666666666666667
225,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
230,1i,150.0,2,8.0976,1,1.0,False,0.0,8.0976,0.006666666666666667
235,1i,150.0,3,15.0344,1,1.0,False,0.0,15.0344,0.006666666666666667
240,1i,150.0,3,6.0272,1,1.0,False,0.0,6.0272,0.006666666666666667
245,1i,150.0,2,0.0367,2,8.05,False,7.050000000000001,0.0367,0.05366666666666667
250,1i,150.0,2,0.0001,2,8.0,False,7.0,0.0001,0.05333333333333334
255,1i,150.0,2,0.0,2,8.0,False,7.0,0.0,0.05333333333333334
