timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,3,25.1631,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05,,,0.0,,,0.0,14.0,True,,20.0,1811.7432,,
20,1i,150.0,3,13.5338,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05,,,0.0,,,0.0,19.0,True,,20.0,974.4336,,
25,1i,150.0,3,0.5526,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05,,,0.006666666666666667,,,0.0,24.0,True,,20.0,39.7872,,
30,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05,1.0,0.0,0.006666666666666667,0.0,,1.0,4.0,False,5,20.0,0.0,0.03333333333333333,
35,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05,1.0,0.0,0.006666666666666667,0.0,,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
40,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05,1.0,0.0,0.006666666666666667,0.0,,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
45,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05,1.0,-25.1631,0.006666666666666667,0.0,,3.0,6.0,False,10,20.0,0.0,0.03333333333333333,
50,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05,1.0,-13.5338,0.006666666666666667,0.0,,4.0,4.0,False,15,6.666666666666667,0.0,0.03333333333333333,
55,1i,150.0,1,0.0,1,1.0,False,1,24.2794,456.02,456.02,scenario_low_demand,train,development,0.05,0.0,-0.5526,0.006666666666666667,1.0,,4.0,9.0,False,20,6.666666666666667,0.0,0.0,
60,1i,150.0,1,0.0,1,1.0,False,1,23.8927,336.74,336.74,scenario_low_demand,train,development,0.05,0.0,0.0,0.006666666666666667,1.0,,4.0,14.0,False,25,6.666666666666667,0.0,0.0,
65,1i,150.0,1,0.0,1,1.0,False,1,24.2102,217.53,217.53,scenario_low_demand,train,development,0.05,0.0,0.0,0.006666666666666667,1.0,,4.0,19.0,False,30,6.666666666666667,0.0,0.0,
70,1i,150.0,3,16.0553,1,1.0,False,1,23.2953,98.07,98.07,scenario_low_demand,train,development,0.05,0.0,16.0553,0.006666666666666667,1.0,,4.0,24.0,False,35,20.0,1155.9815999999998,0.0,
