timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,25.47,6.1868,0.0,0,0.0,False
5,2i,3,26.0775,6.1868,0.0,0,0.0,False
5,3i,3,23.9328,6.1868,0.0,0,0.0,False
5,4i,3,23.3921,6.1868,0.0,0,0.0,False
10,1i,3,26.4616,6.1868,0.0,0,0.0,False
10,2i,3,26.0561,6.1868,0.0,0,0.0,False
10,3i,3,23.786,6.1868,0.0,0,0.0,False
10,4i,3,23.5082,6.1868,0.0,0,0.0,False
15,1i,3,25.1631,6.1868,0.0,0,0.0,False
15,2i,3,25.4158,6.1868,0.0,0,0.0,False
15,3i,3,23.6419,6.1868,0.0,0,0.0,False
15,4i,3,23.0867,6.1868,0.0,0,0.0,False
20,1i,3,13.5338,6.1868,0.0,0,0.0,False
20,2i,3,13.1392,6.1868,0.0,0,0.0,False
20,3i,2,15.5303,4.1246,720.0,0,0.0,False
20,4i,3,16.5056,6.1868,0.0,0,0.0,False
25,1i,3,0.5526,6.1868,0.0,2,1.0,False
25,2i,3,0.5437,6.1868,0.0,2,1.0,False
25,3i,2,7.021,4.1246,0.0,1,1.0,False
25,4i,2,9.6055,4.1246,720.0,0,0.0,False
30,1i,3,0.0,6.1868,0.0,3,1.0,False
30,2i,3,0.0001,6.1868,0.0,3,1.0,False
30,3i,2,0.2644,4.1246,0.0,1,1.0,False
30,4i,1,0.0,2.0623,720.0,1,1.0,False
35,1i,3,0.0,6.1868,0.0,3,1.0,False
35,2i,3,0.0,6.1868,0.0,3,1.0,False
35,3i,1,0.0,2.0623,720.0,1,1.0,False
35,4i,0,0.0,0.0,720.0,0,0.0,False
40,1i,3,0.0,6.1868,0.0,3,1.0,False
40,2i,3,0.0,6.1868,0.0,3,1.0,False
40,3i,1,0.0,2.0623,0.0,1,1.0,False
40,4i,0,0.0,0.0,0.0,0,0.0,False
45,1i,3,0.0,6.1868,0.0,3,1.0,False
45,2i,3,0.0,6.1868,0.0,3,1.0,False
45,3i,1,0.0,2.0623,0.0,1,1.0,False
45,4i,0,0.0,0.0,0.0,0,0.0,False
50,1i,1,0.0,2.0623,1440.0,1,1.0,False
50,2i,1,0.0,2.0623,1440.0,1,1.0,False
50,3i,1,0.0,2.0623,0.0,1,1.0,False
50,4i,0,0.0,0.0,0.0,0,0.0,False
55,1i,2,12.1397,4.1246,0.0,1,1.0,False
55,2i,2,13.7348,4.1246,0.0,1,1.0,False
55,3i,2,13.5404,4.1246,0.0,1,1.0,False
55,4i,1,18.8627,2.0623,0.0,0,0.0,False
60,1i,4,17.4182,8.2491,0.0,1,1.0,False
60,2i,4,16.1034,8.2491,0.0,1,1.0,False
60,3i,4,18.3586,8.2491,0.0,1,1.0,False
60,4i,3,22.1988,6.1868,0.0,0,0.0,False
65,1i,4,17.6396,8.2491,0.0,1,1.0,False
65,2i,4,15.9146,8.2491,0.0,1,1.0,False
65,3i,4,18.2369,8.2491,0.0,1,1.0,False
65,4i,3,21.4703,6.1868,0.0,0,0.0,False
70,1i,4,16.7564,8.2491,0.0,1,1.0,False
70,2i,4,14.2967,8.2491,0.0,1,1.0,False
70,3i,4,16.0152,8.2491,0.0,1,1.0,False
70,4i,3,21.8196,6.1868,0.0,0,0.0,False
75,1i,4,9.9066,8.2491,0.0,1,1.0,False
75,2i,4,10.0877,8.2491,0.0,1,1.0,False
75,3i,4,8.872,8.2491,0.0,1,1.0,False
75,4i,3,15.9872,6.1868,0.0,0,0.0,False
80,1i,2,7.7382,4.1246,1440.0,1,1.0,False
80,2i,3,8.9289,6.1868,720.0,1,1.0,False
80,3i,4,3.7307,8.2491,0.0,3,13.74,False
80,4i,3,6.9713,6.1868,0.0,1,1.0,False
85,1i,2,0.2382,4.1246,0.0,1,1.0,False
85,2i,3,2.8172,6.1868,0.0,1,1.0,False
85,3i,4,0.0,8.2491,0.0,3,13.71,False
85,4i,3,0.1266,6.1868,0.0,2,1.0,False
90,1i,2,0.0,4.1246,0.0,2,1.0,False
90,2i,3,0.0,6.1868,0.0,3,1.0,False
90,3i,4,0.0,8.2491,0.0,4,13.71,False
90,4i,3,0.0,6.1868,0.0,3,1.0,False
95,1i,2,0.0,4.1246,0.0,2,1.0,False
95,2i,3,0.0,6.1868,0.0,3,1.0,False
95,3i,1,0.0,2.0623,2160.0,1,1.0,False
95,4i,1,0.0,2.0623,1440.0,1,1.0,False
100,1i,2,0.0,4.1246,0.0,2,1.0,False
100,2i,3,0.0,6.1868,0.0,3,1.0,False
100,3i,1,0.0,2.0623,0.0,1,1.0,False
100,4i,1,0.0,2.0623,0.0,1,1.0,False
