timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
15,1i,150.0,3,25.1631,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
20,1i,150.0,3,13.5338,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
25,1i,150.0,3,0.5526,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
30,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
35,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
40,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
45,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
50,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
55,1i,150.0,1,0.0,1,1.0,False,1,24.2794,456.02,456.02,scenario_low_demand,train,development,0.05
60,1i,150.0,1,0.0,1,1.0,False,1,23.8927,336.74,336.74,scenario_low_demand,train,development,0.05
65,1i,150.0,1,0.0,1,1.0,False,1,24.2102,217.53,217.53,scenario_low_demand,train,development,0.05
70,1i,150.0,3,16.0553,1,1.0,False,1,23.2953,98.07,98.07,scenario_low_demand,train,development,0.05
75,1i,150.0,4,9.9066,1,1.0,False,1,11.3786,17.41,17.41,scenario_low_demand,train,development,0.05
80,1i,150.0,2,7.7382,1,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
85,1i,150.0,2,0.2382,1,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
90,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
95,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
100,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
105,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
110,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
115,1i,150.0,2,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
120,1i,150.0,3,8.6911,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
125,1i,150.0,4,9.5603,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
130,1i,150.0,5,6.1394,2,1.0,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
135,1i,150.0,5,2.9484,4,15.05,False,1,0.0,1.0,1.0,scenario_low_demand,train,development,0.05
140,1i,150.0,2,1.0995,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
145,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
150,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
155,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
160,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
165,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
170,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
175,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
180,1i,150.0,3,20.9938,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
185,1i,150.0,3,13.0885,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
190,1i,150.0,3,0.9054,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
195,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
200,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
205,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
210,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
215,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
220,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
225,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
230,1i,150.0,2,8.0976,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
235,1i,150.0,3,15.0344,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
240,1i,150.0,3,6.0272,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
245,1i,150.0,2,0.0367,2,8.05,False,0,,,,scenario_low_demand,train,development,0.05
250,1i,150.0,2,0.0001,2,8.0,False,0,,,,scenario_low_demand,train,development,0.05
255,1i,150.0,2,0.0,2,8.0,False,0,,,,scenario_low_demand,train,development,0.05
260,1i,150.0,1,3.0902,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
265,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
270,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
275,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
280,1i,150.0,1,26.2276,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
285,1i,150.0,1,11.6928,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
290,1i,150.0,3,13.1977,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
295,1i,150.0,3,4.2366,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
300,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
305,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
310,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
315,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
320,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
325,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
330,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
335,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
340,1i,150.0,2,8.3859,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
345,1i,150.0,4,13.5575,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
350,1i,150.0,3,6.7641,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
355,1i,150.0,2,0.0,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
360,1i,150.0,2,0.0,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
365,1i,150.0,2,0.0,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
370,1i,150.0,2,0.0,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
375,1i,150.0,2,0.0,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
380,1i,150.0,2,0.0,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
385,1i,150.0,3,8.9513,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
390,1i,150.0,3,4.3681,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
395,1i,150.0,3,0.0406,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
400,1i,150.0,5,7.4044,3,15.04,False,0,,,,scenario_low_demand,train,development,0.05
405,1i,150.0,5,2.3961,3,15.04,False,0,,,,scenario_low_demand,train,development,0.05
410,1i,150.0,2,1.8251,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
415,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
420,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
425,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
430,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
435,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
440,1i,150.0,1,22.7004,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
445,1i,150.0,1,9.4579,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
450,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
455,1i,150.0,3,11.5966,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
460,1i,150.0,3,2.0408,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
465,1i,150.0,3,0.0002,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
470,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
475,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
480,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
485,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
490,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
495,1i,150.0,4,4.2639,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
500,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
505,1i,150.0,3,18.221,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
510,1i,150.0,3,9.9779,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
515,1i,150.0,2,0.5834,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
520,1i,150.0,2,0.0001,2,5.0,False,0,,,,scenario_low_demand,train,development,0.05
525,1i,150.0,2,0.0,2,5.0,False,0,,,,scenario_low_demand,train,development,0.05
530,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
535,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
540,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
545,1i,150.0,1,25.2291,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
550,1i,150.0,1,12.3486,0,0.0,False,0,,,,scenario_low_demand,train,development,0.05
555,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
560,1i,150.0,2,13.3632,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
565,1i,150.0,3,10.9518,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
570,1i,150.0,3,6.068,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
575,1i,150.0,3,0.836,2,1.0,False,0,,,,scenario_low_demand,train,development,0.05
580,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
585,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_low_demand,train,development,0.05
590,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
595,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
600,1i,150.0,2,11.3729,1,1.0,False,0,,,,scenario_low_demand,train,development,0.05
605,1i,150.0,2,9.6286,1,1.0,False,1,24.1944,382.17,382.17,scenario_low_demand,train,development,0.05
610,1i,150.0,1,0.0,1,1.0,False,1,24.4407,262.17,262.17,scenario_low_demand,train,development,0.05
