timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,25.1631,0,0.0,False
15,2i,150.0,3,25.4158,0,0.0,False
15,3i,150.0,2,26.3069,0,0.0,False
15,4i,150.0,2,25.4506,0,0.0,False
20,1i,150.0,3,13.5338,0,0.0,False
20,2i,150.0,3,13.1392,0,0.0,False
20,3i,150.0,2,15.5303,0,0.0,False
20,4i,150.0,3,16.5056,0,0.0,False
25,1i,150.0,3,0.5526,2,1.0,False
25,2i,150.0,3,0.5437,2,1.0,False
25,3i,150.0,2,7.021,1,1.0,False
25,4i,150.0,2,9.6055,0,0.0,False
30,1i,150.0,3,0.0,3,1.0,False
30,2i,150.0,3,0.0001,3,1.0,False
30,3i,150.0,2,0.2644,1,1.0,False
30,4i,150.0,1,0.0,1,1.0,False
35,1i,150.0,3,0.0,3,1.0,False
35,2i,150.0,3,0.0,3,1.0,False
35,3i,150.0,1,0.0,1,1.0,False
35,4i,150.0,0,0.0,0,0.0,False
40,1i,150.0,3,0.0,3,1.0,False
40,2i,150.0,3,0.0,3,1.0,False
40,3i,150.0,1,0.0,1,1.0,False
40,4i,150.0,0,0.0,0,0.0,False
45,1i,150.0,3,0.0,3,1.0,False
45,2i,150.0,3,0.0,3,1.0,False
45,3i,150.0,1,0.0,1,1.0,False
45,4i,150.0,0,0.0,0,0.0,False
50,1i,150.0,1,0.0,1,1.0,False
50,2i,150.0,1,0.0,1,1.0,False
50,3i,150.0,1,0.0,1,1.0,False
50,4i,150.0,0,0.0,0,0.0,False
55,1i,150.0,1,0.0,1,1.0,False
55,2i,150.0,1,0.0,1,1.0,False
55,3i,150.0,1,0.0,1,1.0,False
55,4i,150.0,0,0.0,0,0.0,False
60,1i,150.0,1,0.0,1,1.0,False
60,2i,150.0,1,0.0,1,1.0,False
60,3i,150.0,1,0.0,1,1.0,False
60,4i,150.0,0,0.0,0,0.0,False
65,1i,150.0,1,0.0,1,1.0,False
65,2i,150.0,1,0.0,1,1.0,False
65,3i,150.0,1,0.0,1,1.0,False
65,4i,150.0,0,0.0,0,0.0,False
70,1i,150.0,3,16.0553,1,1.0,False
70,2i,150.0,2,9.7598,1,1.0,False
70,3i,150.0,3,15.0066,1,1.0,False
70,4i,150.0,1,26.6645,0,0.0,False
75,1i,150.0,4,9.9066,1,1.0,False
75,2i,150.0,4,10.0877,1,1.0,False
75,3i,150.0,4,8.872,1,1.0,False
75,4i,150.0,3,15.9872,0,0.0,False
80,1i,150.0,2,7.7382,1,1.0,False
80,2i,150.0,3,8.9289,1,1.0,False
80,3i,150.0,4,3.7307,3,13.74,False
80,4i,150.0,3,6.9713,1,1.0,False
85,1i,150.0,2,0.2382,1,1.0,False
85,2i,150.0,3,2.8172,1,1.0,False
85,3i,150.0,4,0.0,3,13.71,False
85,4i,150.0,3,0.1266,2,1.0,False
90,1i,150.0,2,0.0,2,1.0,False
90,2i,150.0,3,0.0,3,1.0,False
90,3i,150.0,4,0.0,4,13.71,False
90,4i,150.0,3,0.0,3,1.0,False
95,1i,150.0,2,0.0,2,1.0,False
95,2i,150.0,3,0.0,3,1.0,False
95,3i,150.0,1,0.0,1,1.0,False
95,4i,150.0,1,0.0,1,1.0,False
100,1i,150.0,2,0.0,2,1.0,False
100,2i,150.0,3,0.0,3,1.0,False
100,3i,150.0,1,0.0,1,1.0,False
100,4i,150.0,1,0.0,1,1.0,False
105,1i,150.0,2,0.0,2,1.0,False
105,2i,150.0,3,0.0,3,1.0,False
105,3i,150.0,1,0.0,1,1.0,False
105,4i,150.0,1,0.0,1,1.0,False
110,1i,150.0,2,0.0,2,1.0,False
110,2i,150.0,3,0.0,3,1.0,False
110,3i,150.0,1,0.0,1,1.0,False
110,4i,150.0,1,0.0,1,1.0,False
115,1i,150.0,2,0.0,2,1.0,False
115,2i,150.0,3,0.0,3,1.0,False
115,3i,150.0,1,0.0,1,1.0,False
115,4i,150.0,1,0.0,1,1.0,False
120,1i,150.0,3,8.6911,2,1.0,False
120,2i,150.0,3,0.0,3,1.0,False
120,3i,150.0,1,0.0,1,1.0,False
120,4i,150.0,1,0.0,1,1.0,False
125,1i,150.0,4,9.5603,2,1.0,False
125,2i,150.0,5,8.4427,3,1.0,False
125,3i,150.0,1,18.9344,0,0.0,False
125,4i,150.0,3,22.7976,0,0.0,False
130,1i,150.0,5,6.1394,2,1.0,False
130,2i,150.0,6,7.0777,3,1.0,False
130,3i,150.0,3,19.005,0,0.0,False
130,4i,150.0,3,10.1402,0,0.0,False
135,1i,150.0,5,2.9484,4,15.05,False
135,2i,150.0,6,2.1645,4,15.04,False
135,3i,150.0,3,8.798,0,0.0,False
135,4i,150.0,2,0.0,2,1.0,False
140,1i,150.0,2,1.0995,0,0.0,False
