timestamp,phase,state
1.0,0,GGrrrrGGrrrr
2.0,0,GGrrrrGGrrrr
3.0,0,GGrrrrGGrrrr
4.0,0,GGrrrrGGrrrr
5.0,0,GGrrrrGGrrrr
6.0,0,GGrrrrGGrrrr
7.0,0,GGrrrrGGrrrr
8.0,0,GGrrrrGGrrrr
9.0,0,GGrrrrGGrrrr
10.0,0,GGrrrrGGrrrr
11.0,0,GGrrrrGGrrrr
12.0,0,GGrrrrGGrrrr
13.0,0,GGrrrrGGrrrr
14.0,0,GGrrrrGGrrrr
15.0,0,GGrrrrGGrrrr
16.0,0,GGrrrrGGrrrr
17.0,0,GGrrrrGGrrrr
18.0,0,GGrrrrGGrrrr
19.0,0,GGrrrrGGrrrr
20.0,0,GGrrrrGGrrrr
21.0,0,GGrrrrGGrrrr
22.0,0,GGrrrrGGrrrr
23.0,0,GGrrrrGGrrrr
24.0,0,GGrrrrGGrrrr
25.0,0,GGrrrrGGrrrr
26.0,1,yyrrrryyrrrr
27.0,1,yyrrrryyrrrr
28.0,1,yyrrrryyrrrr
29.0,1,yyrrrryyrrrr
30.0,1,yyrrrryyrrrr
31.0,1,yyrrrryyrrrr
32.0,1,yyrrrryyrrrr
33.0,2,rrGrrrrrGrrr
34.0,2,rrGrrrrrGrrr
35.0,2,rrGrrrrrGrrr
36.0,2,rrGrrrrrGrrr
37.0,2,rrGrrrrrGrrr
38.0,2,rrGrrrrrGrrr
39.0,3,rryrrrrryrrr
40.0,3,rryrrrrryrrr
41.0,3,rryrrrrryrrr
42.0,3,rryrrrrryrrr
43.0,3,rryrrrrryrrr
44.0,3,rryrrrrryrrr
45.0,3,rryrrrrryrrr
46.0,4,rrrGGrrrrGGr
47.0,4,rrrGGrrrrGGr
48.0,4,rrrGGrrrrGGr
49.0,4,rrrGGrrrrGGr
50.0,4,rrrGGrrrrGGr
51.0,4,rrrGGrrrrGGr
52.0,4,rrrGGrrrrGGr
53.0,4,rrrGGrrrrGGr
54.0,4,rrrGGrrrrGGr
55.0,4,rrrGGrrrrGGr
56.0,4,rrrGGrrrrGGr
57.0,4,rrrGGrrrrGGr
58.0,4,rrrGGrrrrGGr
59.0,4,rrrGGrrrrGGr
60.0,4,rrrGGrrrrGGr
61.0,4,rrrGGrrrrGGr
62.0,4,rrrGGrrrrGGr
63.0,4,rrrGGrrrrGGr
64.0,4,rrrGGrrrrGGr
65.0,4,rrrGGrrrrGGr
66.0,4,rrrGGrrrrGGr
67.0,4,rrrGGrrrrGGr
68.0,4,rrrGGrrrrGGr
69.0,4,rrrGGrrrrGGr
70.0,4,rrrGGrrrrGGr
71.0,5,rrryyrrrryyr
72.0,5,rrryyrrrryyr
73.0,5,rrryyrrrryyr
74.0,5,rrryyrrrryyr
75.0,5,rrryyrrrryyr
76.0,5,rrryyrrrryyr
77.0,5,rrryyrrrryyr
78.0,6,rrrrrGrrrrrG
79.0,6,rrrrrGrrrrrG
80.0,6,rrrrrGrrrrrG
81.0,6,rrrrrGrrrrrG
82.0,6,rrrrrGrrrrrG
83.0,6,rrrrrGrrrrrG
84.0,7,rrrrryrrrrry
85.0,7,rrrrryrrrrry
86.0,7,rrrrryrrrrry
87.0,7,rrrrryrrrrry
88.0,7,rrrrryrrrrry
89.0,7,rrrrryrrrrry
90.0,7,rrrrryrrrrry
91.0,0,GGrrrrGGrrrr
92.0,0,GGrrrrGGrrrr
93.0,0,GGrrrrGGrrrr
94.0,0,GGrrrrGGrrrr
95.0,0,GGrrrrGGrrrr
96.0,0,GGrrrrGGrrrr
97.0,0,GGrrrrGGrrrr
98.0,0,GGrrrrGGrrrr
99.0,0,GGrrrrGGrrrr
100.0,0,GGrrrrGGrrrr
101.0,0,GGrrrrGGrrrr
102.0,0,GGrrrrGGrrrr
103.0,0,GGrrrrGGrrrr
104.0,0,GGrrrrGGrrrr
105.0,0,GGrrrrGGrrrr
106.0,0,GGrrrrGGrrrr
107.0,0,GGrrrrGGrrrr
108.0,0,GGrrrrGGrrrr
109.0,0,GGrrrrGGrrrr
110.0,0,GGrrrrGGrrrr
111.0,0,GGrrrrGGrrrr
112.0,0,GGrrrrGGrrrr
113.0,0,GGrrrrGGrrrr
114.0,0,GGrrrrGGrrrr
115.0,0,GGrrrrGGrrrr
116.0,1,yyrrrryyrrrr
117.0,1,yyrrrryyrrrr
118.0,1,yyrrrryyrrrr
119.0,1,yyrrrryyrrrr
120.0,1,yyrrrryyrrrr
121.0,1,yyrrrryyrrrr
122.0,1,yyrrrryyrrrr
123.0,2,rrGrrrrrGrrr
124.0,2,rrGrrrrrGrrr
125.0,2,rrGrrrrrGrrr
126.0,2,rrGrrrrrGrrr
127.0,2,rrGrrrrrGrrr
128.0,2,rrGrrrrrGrrr
129.0,3,rryrrrrryrrr
130.0,3,rryrrrrryrrr
131.0,3,rryrrrrryrrr
132.0,3,rryrrrrryrrr
133.0,3,rryrrrrryrrr
