timestamp,vehicle_id,vehicle_type,edge_id,lane_id,is_internal_edge,is_approach_edge,lane_position_m,lane_length_m,distance_from_stop_line_m,speed_mps,acceleration_mps2,waiting_time_s,x,y,angle_deg
1.0,f_1i_left_9.0,bike,1i,1i_2,0,1,1.6,484.9,483.3,27.77,0.0,0.0,13.1,508.4,90.0
1.0,f_1i_right_11.0,bike,1i,1i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,13.1,502.0,90.0
1.0,f_1i_straight_10.0,car,1i,1i_1,0,1,4.6,484.9,480.3,25.0,0.0,0.0,16.1,505.2,90.0
1.0,f_2i_left_6.0,car,2i,2i_2,0,1,4.6,484.9,480.3,25.0,0.0,0.0,1003.9,511.6,270.0
1.0,f_2i_right_8.0,bike,2i,2i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,1006.9,518.0,270.0
1.0,f_2i_straight_7.0,bike,2i,2i_1,0,1,1.6,484.9,483.3,27.77,0.0,0.0,1006.9,514.8,270.0
1.0,f_3i_left_3.0,bike,3i,3i_2,0,1,1.6,484.9,483.3,27.77,0.0,0.0,511.6,13.1,0.0
1.0,f_3i_right_5.0,hgv,3i,3i_0,0,1,10.31,484.9,474.59,19.44,0.0,0.0,518.0,21.81,0.0
1.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,1.6,484.9,483.3,27.77,0.0,0.0,514.8,13.1,0.0
1.0,f_4i_left_0.0,car,4i,4i_2,0,1,4.6,484.9,480.3,25.0,0.0,0.0,508.4,1003.9,180.0
1.0,f_4i_right_2.0,bike,4i,4i_0,0,1,1.6,484.9,483.3,27.77,0.0,0.0,502.0,1006.9,180.0
1.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,10.31,484.9,474.59,19.44,0.0,0.0,505.2,998.19,180.0
2.0,f_1i_left_9.0,bike,1i,1i_2,0,1,28.2365,484.9,456.6635,26.6365,-1.1335,0.0,39.7365,508.4,90.0
2.0,f_1i_right_11.0,bike,1i,1i_0,0,1,29.1306,484.9,455.7694,27.5306,-0.2394,0.0,40.6306,502.0,90.0
2.0,f_1i_straight_10.0,car,1i,1i_1,0,1,28.0004,484.9,456.8996,23.4004,-1.5996,0.0,39.5004,505.2,90.0
2.0,f_2i_left_6.0,car,2i,2i_2,0,1,28.3387,484.9,456.5613,23.7387,-1.2613,0.0,980.1613,511.6,270.0
2.0,f_2i_right_8.0,bike,2i,2i_0,0,1,28.7546,484.9,456.1454,27.1546,-0.6154,0.0,979.7454,518.0,270.0
2.0,f_2i_straight_7.0,bike,2i,2i_1,0,1,29.1784,484.9,455.7216,27.5784,-0.1916,0.0,979.3216,514.8,270.0
2.0,f_3i_left_3.0,bike,3i,3i_2,0,1,28.6223,484.9,456.2777,27.0223,-0.7477,0.0,511.6,40.1223,0.0
2.0,f_3i_right_5.0,hgv,3i,3i_0,0,1,29.1812,484.9,455.7188,18.8712,-0.5688,0.0,518.0,40.6812,0.0
2.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,29.3682,484.9,455.5318,27.7682,-0.0018,0.0,514.8,40.8682,0.0
2.0,f_4i_left_0.0,car,4i,4i_2,0,1,28.2704,484.9,456.6296,23.6704,-1.3296,0.0,508.4,980.2296,180.0
2.0,f_4i_right_2.0,bike,4i,4i_0,0,1,27.9597,484.9,456.9403,26.3597,-1.4103,0.0,502.0,980.5403,180.0
2.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,29.7342,484.9,455.1658,19.4242,-0.0158,0.0,505.2,978.7658,180.0
3.0,f_1i_left_9.0,bike,1i,1i_2,0,1,55.2628,484.9,429.6372,27.0263,0.3898,0.0,66.7628,508.4,90.0
3.0,f_1i_right_11.0,bike,1i,1i_0,0,1,55.4699,484.9,429.4301,26.3393,-1.1913,0.0,66.9699,502.0,90.0
3.0,f_1i_straight_10.0,car,1i,1i_1,0,1,51.4935,484.9,433.4065,23.4931,0.0927,0.0,62.9935,505.2,90.0
3.0,f_2i_left_6.0,car,2i,2i_2,0,1,52.8481,484.9,432.0519,24.5093,0.7706,0.0,955.6519,511.6,270.0
3.0,f_2i_right_8.0,bike,2i,2i_0,0,1,55.9714,484.9,428.9286,27.2168,0.0622,0.0,952.5286,518.0,270.0
3.0,f_2i_straight_7.0,bike,2i,2i_1,0,1,55.3997,484.9,429.5003,26.2213,-1.3571,0.0,953.1003,514.8,270.0
3.0,f_3i_left_3.0,bike,3i,3i_2,0,1,55.0869,484.9,429.8131,26.4647,-0.5576,0.0,511.6,66.5869,0.0
3.0,f_3i_right_5.0,hgv,3i,3i_0,0,1,47.6684,484.9,437.2316,18.4872,-0.384,0.0,518.0,59.1684,0.0
3.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,55.7938,484.9,429.1062,26.4256,-1.3426,0.0,514.8,67.2938,0.0
3.0,f_4i_left_0.0,car,4i,4i_2,0,1,52.869,484.9,432.031,24.5986,0.9282,0.0,508.4,955.631,180.0
3.0,f_4i_right_2.0,bike,4i,4i_0,0,1,51.5194,484.9,433.3806,23.5597,-2.8,0.0,502.0,956.9806,180.0
3.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,49.1103,484.9,435.7897,19.3762,-0.048,0.0,505.2,959.3897,180.0
4.0,f_1i_left_9.0,bike,1i,1i_2,0,1,81.2882,484.9,403.6118,26.0254,-1.0009,0.0,92.7882,508.4,90.0
4.0,f_1i_right_11.0,bike,1i,1i_0,0,1,81.5237,484.9,403.3763,26.0538,-0.2856,0.0,93.0237,502.0,90.0
4.0,f_1i_straight_10.0,car,1i,1i_1,0,1,75.3908,484.9,409.5092,23.8974,0.4043,0.0,86.8908,505.2,90.0
4.0,f_2i_left_6.0,car,2i,2i_2,0,1,77.6388,484.9,407.2612,24.7907,0.2814,0.0,930.8612,511.6,270.0
4.0,f_2i_right_8.0,bike,2i,2i_0,0,1,82.2701,484.9,402.6299,26.2987,-0.9181,0.0,926.2299,518.0,270.0
4.0,f_2i_straight_7.0,bike,2i,2i_1,0,1,82.1153,484.9,402.7847,26.7157,0.4944,0.0,926.3847,514.8,270.0
4.0,f_3i_left_3.0,bike,3i,3i_2,0,1,81.878,484.9,403.022,26.7911,0.3265,0.0,511.6,93.378,0.0
4.0,f_3i_right_5.0,hgv,3i,3i_0,0,1,66.6148,484.9,418.2852,18.9464,0.4593,0.0,518.0,78.1148,0.0
4.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,83.1153,484.9,401.7847,27.3214,0.8958,0.0,514.8,94.6153,0.0
4.0,f_4i_left_0.0,car,4i,4i_2,0,1,77.0525,484.9,407.8475,24.1834,-0.4152,0.0,508.4,931.4475,180.0
4.0,f_4i_right_2.0,bike,4i,4i_0,0,1,77.7829,484.9,407.1171,26.2635,2.7038,0.0,502.0,930.7171,180.0
4.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,67.6203,484.9,417.2797,18.5099,-0.8662,0.0,505.2,940.8797,180.0
5.0,f_1i_left_9.0,bike,1i,1i_2,0,1,107.8283,484.9,377.0717,26.54,0.5146,0.0,119.3283,508.4,90.0
5.0,f_1i_right_11.0,bike,1i,1i_0,0,1,108.0642,484.9,376.8358,26.5405,0.4868,0.0,119.5642,502.0,90.0
5.0,f_1i_straight_10.0,car,1i,1i_1,0,1,98.7203,484.9,386.1797,23.3295,-0.5679,0.0,110.2203,505.2,90.0
5.0,f_2i_left_6.0,car,2i,2i_2,0,1,102.5111,484.9,382.3889,24.8723,0.0816,0.0,905.9889,511.6,270.0
5.0,f_2i_right_8.0,bike,2i,2i_0,0,1,109.4909,484.9,375.4091,27.2208,0.9221,0.0,899.0091,518.0,270.0
5.0,f_2i_straight_7.0,bike,2i,2i_1,0,1,108.2546,484.9,376.6454,26.1393,-0.5764,0.0,900.2454,514.8,270.0
5.0,f_3i_left_3.0,bike,3i,3i_2,0,1,108.7232,484.9,376.1768,26.8452,0.0541,0.0,511.6,120.2232,0.0
5.0,f_3i_right_5.0,hgv,3i,3i_0,0,1,85.061,484.9,399.839,18.4462,-0.5003,0.0,518.0,96.561,0.0
5.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,109.6224,484.9,375.2776,26.5071,-0.8143,0.0,514.8,121.1224,0.0
5.0,f_4i_left_0.0,car,4i,4i_2,0,1,101.1941,484.9,383.7059,24.1416,-0.0418,0.0,508.4,907.3059,180.0
5.0,f_4i_right_2.0,bike,4i,4i_0,0,1,104.5073,484.9,380.3927,26.7244,0.4609,0.0,502.0,903.9927,180.0
5.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,86.9304,484.9,397.9696,19.3102,0.8003,0.0,505.2,921.5696,180.0
6.0,f_1i_left_9.0,bike,1i,1i_2,0,1,134.6904,484.9,350.2096,26.8621,0.3221,0.0,146.1904,508.4,90.0
6.0,f_1i_right_11.0,bike,1i,1i_0,0,1,135.2678,484.9,349.6322,27.2036,0.663,0.0,146.7678,502.0,90.0
6.0,f_1i_straight_10.0,car,1i,1i_1,0,1,122.8297,484.9,362.0703,24.1094,0.7799,0.0,134.3297,505.2,90.0
6.0,f_2i_left_6.0,car,2i,2i_2,0,1,126.8414,484.9,358.0586,24.3304,-0.5419,0.0,881.6586,511.6,270.0
6.0,f_2i_right_8.0,bike,2i,2i_0,0,1,135.5883,484.9,349.3117,26.0973,-1.1235,0.0,872.9117,518.0,270.0
6.0,f_2i_straight_7.0,bike,2i,2i_1,0,1,134.3972,484.9,350.5028,26.1426,0.0033,0.0,874.1028,514.8,270.0
6.0,f_3i_left_3.0,bike,3i,3i_2,0,1,135.9407,484.9,348.9593,27.2175,0.3723,0.0,511.6,147.4407,0.0
6.0,f_3i_right_5.0,hgv,3i,3i_0,0,1,104.2225,484.9,380.6775,19.1615,0.7154,0.0,518.0,115.7225,0.0
6.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,136.824,484.9,348.076,27.2016,0.6944,0.0,514.8,148.324,0.0
6.0,f_4i_left_0.0,car,4i,4i_2,0,1,125.1952,484.9,359.7048,24.0011,-0.1405,0.0,508.4,883.3048,180.0
6.0,f_4i_right_2.0,bike,4i,4i_0,0,1,131.05,484.9,353.85,26.5427,-0.1817,0.0,502.0,877.45,180.0
6.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,105.7371,484.9,379.1629,18.8067,-0.5035,0.0,505.2,902.7629,180.0
7.0,f_1i_left_9.0,bike,1i,1i_2,0,1,161.7033,484.9,323.1967,27.013,0.1509,0.0,173.2033,508.4,90.0
7.0,f_1i_right_11.0,bike,1i,1i_0,0,1,161.5115,484.9,323.3885,26.2437,-0.9598,0.0,173.0115,502.0,90.0
7.0,f_1i_straight_10.0,car,1i,1i_1,0,1,146.6872,484.9,338.2128,23.8575,-0.2519,0.0,158.1872,505.2,90.0
7.0,f_2i_left_6.0,car,2i,2i_2,0,1,151.0544,484.9,333.8456,24.2129,-0.1174,0.0,857.4456,511.6,270.0
