timestamp,phase,phase_elapsed_s,queue_1i_m,queue_2i_m,queue_3i_m,queue_4i_m,queue_ew_m,queue_ns_m,probes_1i,probes_2i,probes_3i,probes_4i,decision_made,next_phase
1.0,0,25,0.7,0.7,0.0,0.7,1.3,0.7,0,0,1,0,0,
2.0,0,25,0.7,0.7,0.0,0.7,1.3,0.7,0,0,1,0,0,
3.0,0,25,0.7,0.7,0.0,0.7,1.3,0.7,0,0,1,0,0,
4.0,0,25,0.7,0.7,0.0,0.7,1.3,0.7,0,0,1,0,0,
5.0,0,25,0.7,0.7,0.0,0.7,1.3,0.7,0,0,1,0,1,0
6.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
7.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
8.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
9.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
10.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,1,0
11.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
12.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
13.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
14.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
15.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,1,0
16.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
17.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
18.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
19.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,0,
20.0,0,25,0.9,0.9,0.0,0.9,1.7,0.9,0,0,1,0,1,0
21.0,0,25,0.9,0.9,0.4,0.9,1.7,1.2,0,0,1,0,0,
22.0,0,25,0.9,0.9,0.4,0.9,1.7,1.2,0,0,1,0,0,
23.0,0,25,0.9,0.9,0.3,0.9,1.7,1.2,0,0,1,0,0,
24.0,0,25,1.1,0.9,0.5,1.1,1.9,1.6,0,0,1,0,0,
25.0,0,25,1.1,0.9,1.0,1.1,1.9,2.1,0,0,1,0,1,0
26.0,1,7,1.2,4.1,1.0,1.2,5.3,2.1,0,0,1,0,0,
27.0,1,7,1.2,4.0,1.2,1.2,5.2,2.3,0,0,0,0,0,
28.0,1,7,1.2,3.9,1.2,1.2,5.0,2.3,0,1,0,0,0,
29.0,1,7,0.4,4.9,1.2,1.2,5.3,2.3,1,1,0,0,0,
30.0,1,7,1.4,1.4,1.2,1.2,2.7,2.3,1,1,0,0,1,0
31.0,0,25,1.6,2.8,1.1,1.1,4.4,2.2,1,1,0,0,0,
32.0,0,25,1.1,1.2,1.1,1.1,2.4,2.2,1,1,0,0,0,
33.0,0,25,1.1,1.0,1.1,1.1,2.1,2.2,1,1,0,0,0,
34.0,0,25,0.0,0.0,1.1,1.1,0.0,2.2,1,1,0,0,0,
35.0,0,25,0.0,0.0,1.1,1.1,0.0,2.2,1,1,0,0,1,4
36.0,4,25,0.0,0.0,1.1,1.1,0.0,2.2,1,1,0,0,0,
