timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,25.0237,0,0.0,False,,,0.0
20,1i,150.0,3,15.0493,0,0.0,False,,,0.0
25,1i,150.0,3,1.1476,1,1.0,False,,,0.006666666666666667
30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
45,1i,150.0,6,9.7554,3,1.0,False,1.0,-15.268300000000002,0.006666666666666667
50,1i,150.0,3,6.4892,1,1.0,False,1.0,-8.5601,0.006666666666666667
55,1i,150.0,2,0.0474,2,5.0,False,4.0,-1.1002,0.03333333333333333
60,1i,150.0,2,0.0,2,5.0,False,4.0,0.0,0.03333333333333333
65,1i,150.0,2,0.0,2,5.0,False,4.0,0.0,0.03333333333333333
70,1i,150.0,3,7.7678,2,5.0,False,4.0,7.7678,0.03333333333333333
75,1i,150.0,5,10.3478,2,5.0,False,4.0,0.5923999999999996,0.03333333333333333
80,1i,150.0,3,8.1247,0,0.0,False,-1.0,1.6355000000000004,0.0
85,1i,150.0,2,0.0,1,1.0,False,-4.0,-0.0474,0.006666666666666667
90,1i,150.0,2,0.0,2,1.0,False,-4.0,0.0,0.006666666666666667
95,1i,150.0,3,8.0814,2,1.0,False,-4.0,8.0814,0.006666666666666667
100,1i,150.0,4,7.9368,2,1.0,False,-4.0,0.1689999999999996,0.006666666666666667
105,1i,150.0,5,5.2986,2,1.0,False,-4.0,-5.049199999999999,0.006666666666666667
110,1i,150.0,5,1.2012,4,15.04,False,15.04,-6.923500000000001,0.10026666666666666
115,1i,150.0,5,0.0,5,15.04,False,14.04,0.0,0.10026666666666666
120,1i,150.0,5,0.0,5,15.04,False,14.04,0.0,0.10026666666666666
125,1i,150.0,8,7.9333,5,15.04,False,14.04,-0.14810000000000034,0.10026666666666666
130,1i,150.0,8,3.5515,5,15.04,False,14.04,-4.3853,0.10026666666666666
135,1i,150.0,8,0.2748,6,22.04,False,21.04,-5.0238000000000005,0.14693333333333333
140,1i,150.0,4,1.0568,2,13.71,False,-1.3299999999999983,-0.14440000000000008,0.09140000000000001
145,1i,150.0,2,0.0,2,13.71,False,-1.3299999999999983,0.0,0.09140000000000001
150,1i,150.0,3,7.304,2,13.71,False,-1.3299999999999983,7.304,0.09140000000000001
155,1i,150.0,4,10.2618,2,13.71,False,-1.3299999999999983,2.328499999999999,0.09140000000000001
160,1i,150.0,4,5.4732,2,13.71,False,-1.3299999999999983,1.9217000000000004,0.09140000000000001
165,1i,150.0,3,2.3621,2,13.71,False,-8.329999999999998,2.0873,0.09140000000000001
170,1i,150.0,2,2.3968,0,0.0,False,-13.71,1.3399999999999999,0.0
175,1i,150.0,2,13.2261,0,0.0,False,-13.71,13.2261,0.0
180,1i,150.0,4,13.4864,1,1.0,False,-12.71,6.1823999999999995,0.006666666666666667
185,1i,150.0,4,4.1985,2,1.0,False,-12.71,-6.063299999999999,0.006666666666666667
190,1i,150.0,4,0.0466,4,15.05,False,1.3399999999999999,-5.4266000000000005,0.10033333333333334
195,1i,150.0,4,0.0,4,15.04,False,1.3299999999999983,-2.3621,0.10026666666666666
200,1i,150.0,5,5.2135,4,15.04,False,15.04,2.8167,0.10026666666666666
205,1i,150.0,7,9.6021,4,15.04,False,15.04,-3.6240000000000006,0.10026666666666666
210,1i,150.0,7,3.9814,4,15.04,False,14.04,-9.504999999999999,0.10026666666666666
215,1i,150.0,7,0.1783,5,15.04,False,14.04,-4.0202,0.10026666666666666
220,1i,150.0,7,0.0004,7,19.04,False,3.9899999999999984,-0.046200000000000005,0.12693333333333331
225,1i,150.0,7,0.0,7,19.04,False,4.0,0.0,0.12693333333333331
230,1i,150.0,3,0.0,3,19.04,False,4.0,-5.2135,0.12693333333333331
235,1i,150.0,6,9.8289,3,19.04,False,4.0,0.22680000000000078,0.12693333333333331
