timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,q_u_cheng_veh_per_hour,k_cp1_cheng_veh_per_km,cheng_t_cp2_s,cheng_l_cp2_m,max_queue_length_cheng_m,cheng_t_cp3_s
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_normal_balanced,train,development,0.11,,,0.0,,,,,,,0.0,0.0,,,,,,,,
5,1i,150.0,0,0.0,0,0.0,False,2,24.935,378.1,384.92,scenario_normal_balanced,train,development,0.11,,,0.0,,,0.0,4.0,True,,0.0,0.0,,,,,,,,
10,1i,150.0,0,0.0,0,0.0,False,2,26.3316,242.68,262.97,scenario_normal_balanced,train,development,0.11,,,0.0,,,0.0,9.0,True,,0.0,0.0,,,,,,,,
15,1i,150.0,3,25.0237,0,0.0,False,2,25.2267,109.46,143.75,scenario_normal_balanced,train,development,0.11,,,0.0,,,0.0,14.0,True,,20.0,1801.7064000000003,,,,,,,,
20,1i,150.0,3,15.0493,0,0.0,False,2,14.0816,19.21,38.14,scenario_normal_balanced,train,development,0.11,,,0.0,,,0.0,19.0,True,,20.0,1083.5496,,,,,,,,
25,1i,150.0,3,1.1476,1,1.0,False,2,0.7289,1.0,1.0,scenario_normal_balanced,train,development,0.11,,,0.006666666666666667,,,0.0,24.0,True,,20.0,82.6272,,,,,,,,
30,1i,150.0,3,0.0,3,1.0,False,3,8.8764,1.0,456.67,scenario_normal_balanced,train,development,0.11,1.0,0.0,0.006666666666666667,3.0,,1.0,4.0,False,0,20.0,0.0,0.03333333333333333,,,,30.0,1.001,,
35,1i,150.0,3,0.0,3,1.0,False,3,9.0424,1.0,320.88,scenario_normal_balanced,train,development,0.11,1.0,0.0,0.006666666666666667,1.0,-64.04000000000002,2.0,2.0,True,,20.0,0.0,0.03333333333333333,,,,30.0,1.001,,
40,1i,150.0,3,0.0,3,1.0,False,3,8.9842,1.0,188.19,scenario_normal_balanced,train,development,0.11,1.0,0.0,0.006666666666666667,1.0,-74.78000000000003,3.0,1.0,False,0,20.0,0.0,0.03333333333333333,,,,40.0,1.001,,
45,1i,150.0,6,9.7554,3,1.0,False,3,6.4078,1.0,68.63,scenario_normal_balanced,train,development,0.11,1.0,-15.268300000000002,0.006666666666666667,1.0,-75.12,3.0,6.0,False,5,40.0,1404.7776,0.03333333333333333,,,,40.0,1.001,,
