timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_normal_balanced,train,development,0.5,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,3,24.3846,378.1,386.41,scenario_normal_balanced,train,development,0.5,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,3,25.3776,242.68,268.75,scenario_normal_balanced,train,development,0.5,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,3,25.0237,0,0.0,False,3,25.0237,109.46,148.33,scenario_normal_balanced,train,development,0.5,,,0.0,,,0.0,14.0,True,,20.0,1801.7064000000003,,
20,1i,150.0,3,15.0493,0,0.0,False,3,15.0493,19.21,40.92,scenario_normal_balanced,train,development,0.5,,,0.0,,,0.0,19.0,True,,20.0,1083.5496,,
25,1i,150.0,3,1.1476,1,1.0,False,3,1.1476,1.0,1.0,scenario_normal_balanced,train,development,0.5,,,0.006666666666666667,,,0.0,24.0,True,,20.0,82.6272,,
30,1i,150.0,3,0.0,3,1.0,False,4,6.6573,1.0,456.67,scenario_normal_balanced,train,development,0.5,1.0,0.0,0.006666666666666667,4.0,,1.0,4.0,False,5,20.0,0.0,0.03333333333333333,
35,1i,150.0,3,0.0,3,1.0,False,4,6.7818,1.0,320.88,scenario_normal_balanced,train,development,0.5,1.0,0.0,0.006666666666666667,1.0,-65.53000000000003,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
40,1i,150.0,3,0.0,3,1.0,False,4,6.7382,1.0,188.19,scenario_normal_balanced,train,development,0.5,1.0,0.0,0.006666666666666667,1.0,-80.56,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
45,1i,150.0,6,9.7554,3,1.0,False,4,4.8059,1.0,68.63,scenario_normal_balanced,train,development,0.5,1.0,-15.268300000000002,0.006666666666666667,1.0,-79.70000000000002,3.0,6.0,False,10,40.0,1404.7776,0.03333333333333333,
50,1i,150.0,3,6.4892,1,1.0,False,2,3.1759,1.0,10.74,scenario_normal_balanced,train,development,0.5,1.0,-8.5601,0.006666666666666667,-1.0,-30.18,4.0,4.0,False,15,20.0,467.22240000000005,0.03333333333333333,
55,1i,150.0,2,0.0474,2,5.0,False,3,6.3463,1.0,454.32,scenario_normal_balanced,train,development,0.5,4.0,-1.1002,0.03333333333333333,0.0,453.32,4.0,9.0,False,20,13.333333333333334,2.2752,0.13333333333333333,
60,1i,150.0,2,0.0,2,5.0,False,5,12.3111,1.0,391.24,scenario_normal_balanced,train,development,0.5,4.0,0.0,0.03333333333333333,1.0,-65.43,4.0,14.0,False,25,13.333333333333334,0.0,0.13333333333333333,
65,1i,150.0,2,0.0,2,5.0,False,5,12.5658,1.0,296.16,scenario_normal_balanced,train,development,0.5,4.0,0.0,0.03333333333333333,1.0,-24.71999999999997,4.0,19.0,False,30,13.333333333333334,0.0,0.13333333333333333,
