timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_normal_balanced,train,development,0.5
5,1i,150.0,0,0.0,0,0.0,False,3,24.3846,378.1,386.41,scenario_normal_balanced,train,development,0.5
10,1i,150.0,0,0.0,0,0.0,False,3,25.3776,242.68,268.75,scenario_normal_balanced,train,development,0.5
15,1i,150.0,3,25.0237,0,0.0,False,3,25.0237,109.46,148.33,scenario_normal_balanced,train,development,0.5
20,1i,150.0,3,15.0493,0,0.0,False,3,15.0493,19.21,40.92,scenario_normal_balanced,train,development,0.5
25,1i,150.0,3,1.1476,1,1.0,False,3,1.1476,1.0,1.0,scenario_normal_balanced,train,development,0.5
30,1i,150.0,3,0.0,3,1.0,False,4,6.6573,1.0,456.67,scenario_normal_balanced,train,development,0.5
35,1i,150.0,3,0.0,3,1.0,False,4,6.7818,1.0,320.88,scenario_normal_balanced,train,development,0.5
40,1i,150.0,3,0.0,3,1.0,False,4,6.7382,1.0,188.19,scenario_normal_balanced,train,development,0.5
45,1i,150.0,6,9.7554,3,1.0,False,4,4.8059,1.0,68.63,scenario_normal_balanced,train,development,0.5
50,1i,150.0,3,6.4892,1,1.0,False,2,3.1759,1.0,10.74,scenario_normal_balanced,train,development,0.5
55,1i,150.0,2,0.0474,2,5.0,False,3,6.3463,1.0,454.32,scenario_normal_balanced,train,development,0.5
60,1i,150.0,2,0.0,2,5.0,False,5,12.3111,1.0,391.24,scenario_normal_balanced,train,development,0.5
65,1i,150.0,2,0.0,2,5.0,False,5,12.5658,1.0,296.16,scenario_normal_balanced,train,development,0.5
70,1i,150.0,3,7.7678,2,5.0,False,5,12.3751,1.0,200.97,scenario_normal_balanced,train,development,0.5
75,1i,150.0,5,10.3478,2,5.0,False,5,10.3478,1.0,105.32,scenario_normal_balanced,train,development,0.5
80,1i,150.0,3,8.1247,0,0.0,False,3,8.1247,7.47,24.16,scenario_normal_balanced,train,development,0.5
85,1i,150.0,2,0.0,1,1.0,False,3,8.4826,1.0,430.14,scenario_normal_balanced,train,development,0.5
90,1i,150.0,2,0.0,2,1.0,False,3,8.5098,1.0,302.77,scenario_normal_balanced,train,development,0.5
95,1i,150.0,3,8.0814,2,1.0,False,3,8.364,1.0,178.61,scenario_normal_balanced,train,development,0.5
100,1i,150.0,4,7.9368,2,1.0,False,3,5.8236,1.0,69.63,scenario_normal_balanced,train,development,0.5
105,1i,150.0,5,5.2986,2,1.0,False,3,2.3873,1.0,11.25,scenario_normal_balanced,train,development,0.5
110,1i,150.0,5,1.2012,4,15.04,False,4,5.9125,1.0,408.72,scenario_normal_balanced,train,development,0.5
115,1i,150.0,5,0.0,5,15.04,False,5,10.0705,1.0,375.72,scenario_normal_balanced,train,development,0.5
120,1i,150.0,5,0.0,5,15.04,False,5,10.2818,1.0,243.45,scenario_normal_balanced,train,development,0.5
125,1i,150.0,8,7.9333,5,15.04,False,5,7.8549,1.0,113.36,scenario_normal_balanced,train,development,0.5
130,1i,150.0,8,3.5515,5,15.04,False,5,2.8968,1.0,34.72,scenario_normal_balanced,train,development,0.5
135,1i,150.0,8,0.2748,6,22.04,False,5,0.1378,1.0,22.04,scenario_normal_balanced,train,development,0.5
140,1i,150.0,4,1.0568,2,13.71,False,2,12.8379,18.72,432.68,scenario_normal_balanced,train,development,0.5
145,1i,150.0,2,0.0,2,13.71,False,1,24.8948,312.98,312.98,scenario_normal_balanced,train,development,0.5
150,1i,150.0,3,7.304,2,13.71,False,1,23.4006,192.32,192.32,scenario_normal_balanced,train,development,0.5
155,1i,150.0,4,10.2618,2,13.71,False,1,21.8848,73.81,73.81,scenario_normal_balanced,train,development,0.5
160,1i,150.0,4,5.4732,2,13.71,False,2,19.0883,0.58,483.3,scenario_normal_balanced,train,development,0.5
165,1i,150.0,3,2.3621,2,13.71,False,3,27.3628,349.38,483.3,scenario_normal_balanced,train,development,0.5
170,1i,150.0,2,2.3968,0,0.0,False,3,26.9995,214.15,350.09,scenario_normal_balanced,train,development,0.5
175,1i,150.0,2,13.2261,0,0.0,False,3,24.8863,89.67,215.07,scenario_normal_balanced,train,development,0.5
180,1i,150.0,4,13.4864,1,1.0,False,3,17.9819,14.99,89.87,scenario_normal_balanced,train,development,0.5
185,1i,150.0,4,4.1985,2,1.0,False,3,5.5979,1.0,24.16,scenario_normal_balanced,train,development,0.5
190,1i,150.0,4,0.0466,4,15.05,False,3,0.0622,1.0,15.05,scenario_normal_balanced,train,development,0.5
195,1i,150.0,4,0.0,4,15.04,False,5,10.9012,1.0,402.6,scenario_normal_balanced,train,development,0.5
200,1i,150.0,5,5.2135,4,15.04,False,5,10.9346,1.0,268.43,scenario_normal_balanced,train,development,0.5
205,1i,150.0,7,9.6021,4,15.04,False,5,10.497,1.0,133.89,scenario_normal_balanced,train,development,0.5
210,1i,150.0,7,3.9814,4,15.04,False,5,5.311,1.0,43.08,scenario_normal_balanced,train,development,0.5
215,1i,150.0,7,0.1783,5,15.04,False,6,3.4234,1.0,436.95,scenario_normal_balanced,train,development,0.5
220,1i,150.0,7,0.0004,7,19.04,False,7,6.5719,1.0,483.3,scenario_normal_balanced,train,development,0.5
225,1i,150.0,7,0.0,7,19.04,False,7,6.5989,1.0,347.42,scenario_normal_balanced,train,development,0.5
230,1i,150.0,3,0.0,3,19.04,False,4,10.6442,15.04,221.2,scenario_normal_balanced,train,development,0.5
235,1i,150.0,6,9.8289,3,19.04,False,4,9.5597,15.04,112.92,scenario_normal_balanced,train,development,0.5
240,1i,150.0,5,4.5673,3,19.04,False,3,5.1565,15.04,23.47,scenario_normal_balanced,train,development,0.5
245,1i,150.0,4,0.0047,4,23.05,False,2,0.0,15.04,19.04,scenario_normal_balanced,train,development,0.5
250,1i,150.0,4,0.0,4,23.04,False,4,11.9645,15.04,408.09,scenario_normal_balanced,train,development,0.5
255,1i,150.0,5,4.7395,4,23.04,False,4,12.0432,15.04,289.38,scenario_normal_balanced,train,development,0.5
260,1i,150.0,4,3.9807,3,23.04,False,4,12.2951,13.34,170.06,scenario_normal_balanced,train,development,0.5
265,1i,150.0,6,6.8361,0,0.0,False,4,9.4405,1.47,63.02,scenario_normal_balanced,train,development,0.5
270,1i,150.0,6,1.7865,4,9.04,False,4,2.6422,1.0,17.44,scenario_normal_balanced,train,development,0.5
275,1i,150.0,6,0.0172,6,13.01,False,5,5.3511,1.0,456.65,scenario_normal_balanced,train,development,0.5
280,1i,150.0,7,3.3833,6,13.0,False,5,5.4288,1.0,320.94,scenario_normal_balanced,train,development,0.5
285,1i,150.0,7,1.6448,6,13.0,False,5,5.2771,1.0,185.53,scenario_normal_balanced,train,development,0.5
290,1i,150.0,9,4.2086,6,13.0,False,5,3.7879,1.0,67.92,scenario_normal_balanced,train,development,0.5
295,1i,150.0,9,1.1468,7,13.0,False,5,1.1587,1.0,13.43,scenario_normal_balanced,train,development,0.5
300,1i,150.0,9,0.0022,9,20.01,False,5,0.0031,1.0,13.0,scenario_normal_balanced,train,development,0.5
305,1i,150.0,9,0.0,9,20.01,False,6,4.139,1.0,406.34,scenario_normal_balanced,train,development,0.5
310,1i,150.0,10,1.8663,9,20.01,False,6,3.9033,1.0,286.9,scenario_normal_balanced,train,development,0.5
315,1i,150.0,10,0.7288,9,20.01,False,6,4.0905,1.0,165.38,scenario_normal_balanced,train,development,0.5
320,1i,150.0,7,4.8657,5,20.01,False,4,3.9208,1.0,63.48,scenario_normal_balanced,train,development,0.5
325,1i,150.0,6,0.332,5,20.01,False,4,0.498,1.0,26.44,scenario_normal_balanced,train,development,0.5
