timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,25.0237,0,0.0,False
15,2i,150.0,1,24.6855,0,0.0,False
15,3i,150.0,2,25.8431,0,0.0,False
15,4i,150.0,3,25.1754,0,0.0,False
20,1i,150.0,3,15.0493,0,0.0,False
20,2i,150.0,3,17.6466,0,0.0,False
20,3i,150.0,3,14.4742,0,0.0,False
20,4i,150.0,3,13.8465,0,0.0,False
25,1i,150.0,3,1.1476,1,1.0,False
25,2i,150.0,3,10.3207,0,0.0,False
25,3i,150.0,2,8.4254,0,0.0,False
25,4i,150.0,1,0.0,1,1.0,False
30,1i,150.0,3,0.0,3,1.0,False
30,2i,150.0,3,0.3401,1,1.0,False
30,3i,150.0,1,0.0,1,1.0,False
30,4i,150.0,1,0.0,1,1.0,False
35,1i,150.0,3,0.0,3,1.0,False
35,2i,150.0,3,0.0,3,1.0,False
35,3i,150.0,0,0.0,0,0.0,False
35,4i,150.0,0,0.0,0,0.0,False
40,1i,150.0,3,0.0,3,1.0,False
40,2i,150.0,3,0.0,3,1.0,False
40,3i,150.0,0,0.0,0,0.0,False
40,4i,150.0,0,0.0,0,0.0,False
45,1i,150.0,6,9.7554,3,1.0,False
45,2i,150.0,4,4.7572,3,1.0,False
45,3i,150.0,3,23.471,0,0.0,False
45,4i,150.0,3,22.1121,0,0.0,False
50,1i,150.0,3,6.4892,1,1.0,False
50,2i,150.0,4,10.1339,1,1.0,False
50,3i,150.0,3,9.4791,0,0.0,False
50,4i,150.0,3,8.1919,0,0.0,False
55,1i,150.0,2,0.0474,2,5.0,False
55,2i,150.0,3,4.457,2,8.01,False
55,3i,150.0,3,0.0985,3,1.09,False
55,4i,150.0,3,0.0065,2,1.0,False
60,1i,150.0,2,0.0,2,5.0,False
60,2i,150.0,2,0.0,2,8.0,False
60,3i,150.0,3,0.0003,3,1.0,False
60,4i,150.0,3,0.0,3,1.0,False
65,1i,150.0,2,0.0,2,5.0,False
65,2i,150.0,2,0.0,2,8.0,False
65,3i,150.0,3,0.0,3,1.0,False
65,4i,150.0,3,0.0,3,1.0,False
70,1i,150.0,3,7.7678,2,5.0,False
70,2i,150.0,5,14.5381,2,8.0,False
70,3i,150.0,6,11.2186,3,1.0,False
70,4i,150.0,6,11.4841,3,1.0,False
75,1i,150.0,5,10.3478,2,5.0,False
75,2i,150.0,5,7.9834,2,8.0,False
75,3i,150.0,6,5.3109,3,1.0,False
75,4i,150.0,6,4.7215,3,1.0,False
80,1i,150.0,3,8.1247,0,0.0,False
80,2i,150.0,4,2.7521,1,1.07,False
80,3i,150.0,6,0.5103,4,8.0,False
80,4i,150.0,6,0.0528,4,8.0,False
85,1i,150.0,2,0.0,1,1.0,False
85,2i,150.0,2,0.0,2,1.0,False
85,3i,150.0,6,0.0005,6,8.0,False
85,4i,150.0,6,0.0,6,8.0,False
90,1i,150.0,2,0.0,2,1.0,False
90,2i,150.0,2,0.0,2,1.0,False
90,3i,150.0,6,0.0,6,8.0,False
90,4i,150.0,6,0.0,6,8.0,False
95,1i,150.0,3,8.0814,2,1.0,False
95,2i,150.0,2,0.0,2,1.0,False
95,3i,150.0,2,0.0,2,8.0,False
95,4i,150.0,3,7.8127,2,5.0,False
100,1i,150.0,4,7.9368,2,1.0,False
100,2i,150.0,4,9.2196,2,1.0,False
100,3i,150.0,4,9.5887,2,8.0,False
100,4i,150.0,5,10.5961,2,5.0,False
105,1i,150.0,5,5.2986,2,1.0,False
105,2i,150.0,5,7.2655,2,1.0,False
105,3i,150.0,5,8.1979,2,8.0,False
105,4i,150.0,4,3.9747,2,5.0,False
110,1i,150.0,5,1.2012,4,15.04,False
110,2i,150.0,5,2.3615,3,1.0,False
110,3i,150.0,3,0.0,3,15.0,False
110,4i,150.0,3,0.0003,3,9.0,False
115,1i,150.0,5,0.0,5,15.04,False
115,2i,150.0,5,0.2908,4,5.01,False
115,3i,150.0,3,0.0,3,15.0,False
115,4i,150.0,3,0.0,3,9.0,False
120,1i,150.0,5,0.0,5,15.04,False
120,2i,150.0,6,4.2772,5,8.0,False
120,3i,150.0,3,0.0,3,15.0,False
120,4i,150.0,3,0.0,3,9.0,False
125,1i,150.0,8,7.9333,5,15.04,False
125,2i,150.0,8,7.5488,5,8.0,False
125,3i,150.0,5,13.545,0,0.0,False
125,4i,150.0,4,16.5668,0,0.0,False
130,1i,150.0,8,3.5515,5,15.04,False
130,2i,150.0,8,3.3282,5,8.0,False
130,3i,150.0,3,11.5002,0,0.0,False
130,4i,150.0,3,10.4987,0,0.0,False
135,1i,150.0,8,0.2748,6,22.04,False
135,2i,150.0,8,0.3945,6,22.04,False
135,3i,150.0,3,0.7676,1,1.0,False
135,4i,150.0,3,0.0,1,1.0,False
