timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,3,24.3846,378.1,386.41
5,2i,1,23.3693,384.73,384.73
5,3i,1,27.7079,375.94,375.94
5,4i,0,,,
10,1i,3,25.3776,242.68,268.75
10,2i,1,23.3162,263.87,263.87
10,3i,1,27.558,241.86,241.86
10,4i,0,,,
15,1i,3,25.0237,109.46,148.33
15,2i,1,24.6855,143.82,143.82
15,3i,1,25.9361,108.81,108.81
15,4i,0,,,
20,1i,3,15.0493,19.21,40.92
20,2i,1,15.6045,40.63,40.63
20,3i,1,14.0742,11.62,11.62
20,4i,0,,,
25,1i,3,1.1476,1.0,1.0
25,2i,1,2.9612,2.42,2.42
25,3i,0,,,
25,4i,0,,,
30,1i,4,6.6573,1.0,456.67
30,2i,2,9.254,1.0,437.79
30,3i,1,26.7982,456.5,456.5
30,4i,1,24.9827,430.69,430.69
35,1i,4,6.7818,1.0,320.88
35,2i,2,9.2768,1.0,343.65
35,3i,1,23.0047,338.21,338.21
35,4i,1,23.8076,310.77,310.77
40,1i,4,6.7382,1.0,188.19
40,2i,2,9.2751,1.0,250.08
40,3i,1,23.3222,219.71,219.71
40,4i,1,23.7837,191.41,191.41
45,1i,4,4.8059,1.0,68.63
45,2i,2,9.1848,1.0,157.24
45,3i,1,24.0565,100.25,100.25
45,4i,1,22.031,71.75,71.75
50,1i,2,3.1759,1.0,10.74
50,2i,2,8.4301,1.0,70.88
50,3i,1,11.191,18.91,18.91
50,4i,1,7.1074,6.22,6.22
55,1i,3,6.3463,1.0,454.32
55,2i,1,0.0,1.0,1.0
55,3i,1,0.2954,1.09,1.09
55,4i,2,13.8707,1.0,455.56
60,1i,5,12.3111,1.0,391.24
60,2i,1,0.0,1.0,1.0
60,3i,2,11.8655,1.0,384.33
60,4i,2,13.5616,1.0,322.24
65,1i,5,12.5658,1.0,296.16
65,2i,1,0.0,1.0,1.0
65,3i,2,11.9981,1.0,264.73
65,4i,2,13.8268,1.0,185.42
70,1i,5,12.3751,1.0,200.97
70,2i,1,0.0,1.0,1.0
70,3i,2,12.4017,1.0,142.45
70,4i,2,9.6949,1.0,65.58
75,1i,5,10.3478,1.0,105.32
75,2i,1,0.0,1.0,1.0
75,3i,2,7.4029,1.0,42.67
75,4i,2,2.6949,1.0,10.63
80,1i,3,8.1247,7.47,24.16
80,2i,0,,,
80,3i,2,0.9633,1.0,8.2
80,4i,2,0.0005,1.0,8.0
85,1i,3,8.4826,1.0,430.14
85,2i,1,22.0014,433.5,433.5
85,3i,2,0.0,1.0,8.0
85,4i,5,14.9107,1.0,431.88
90,1i,3,8.5098,1.0,302.77
90,2i,1,19.57,335.98,335.98
90,3i,2,0.0,1.0,8.0
90,4i,5,14.8928,1.0,311.61
95,1i,3,8.364,1.0,178.61
95,2i,1,19.014,240.39,240.39
95,3i,1,0.0,8.0,8.0
95,4i,3,24.4344,142.0,192.31
100,1i,3,5.8236,1.0,69.63
100,2i,1,15.7572,153.03,153.03
100,3i,1,0.0,8.0,8.0
100,4i,3,17.6602,41.88,78.41
105,1i,3,2.3873,1.0,11.25
105,2i,1,18.9056,66.71,66.71
105,3i,1,0.0,8.0,8.0
105,4i,2,7.9494,0.47,15.29
110,1i,4,5.9125,1.0,408.72
110,2i,2,16.0011,10.9,403.93
110,3i,2,12.4314,8.0,407.32
110,4i,2,12.4555,9.0,407.54
115,1i,5,10.0705,1.0,375.72
115,2i,2,13.1499,5.01,269.72
115,3i,2,12.0181,8.0,286.18
115,4i,4,19.5262,9.0,375.46
120,1i,5,10.2818,1.0,243.45
120,2i,2,12.8313,5.0,136.88
120,3i,2,12.429,8.0,165.55
120,4i,4,19.2516,9.0,242.75
125,1i,5,7.8549,1.0,113.36
125,2i,2,6.476,5.0,46.04
125,3i,2,10.1623,2.54,60.0
125,4i,4,16.5668,7.17,110.15
130,1i,5,2.8968,1.0,34.72
130,2i,2,0.0708,5.0,22.09
130,3i,1,5.693,3.75,3.75
130,4i,3,10.4987,3.79,26.46
135,1i,5,0.1378,1.0,22.04
135,2i,3,9.0127,5.0,456.26
135,3i,2,13.3877,1.0,456.52
135,4i,4,4.8244,1.0,453.96
140,1i,2,12.8379,18.72,432.68
140,2i,2,14.4856,16.77,323.19
140,3i,3,15.2653,1.0,437.8
140,4i,4,4.8206,1.0,357.59
145,1i,1,24.8948,312.98,312.98
145,2i,1,26.7636,188.32,188.32
145,3i,3,15.698,1.0,343.87
145,4i,4,4.7122,1.0,262.05
