timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,23.8469,0,0.0,False,,,0.0
20,1i,150.0,3,16.156,0,0.0,False,,,0.0
25,1i,150.0,3,1.9125,0,0.0,False,,,0.0
30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
45,1i,150.0,3,0.0,3,1.0,False,1.0,-23.8469,0.006666666666666667
50,1i,150.0,1,0.0,1,1.0,False,1.0,-16.156,0.006666666666666667
55,1i,150.0,1,0.0,1,1.0,False,1.0,-1.9125,0.006666666666666667
60,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
65,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
70,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
75,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
80,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
85,1i,150.0,3,21.4435,0,0.0,False,-1.0,21.4435,0.0
90,1i,150.0,3,8.5592,0,0.0,False,-1.0,8.5592,0.0
95,1i,150.0,3,0.0,2,1.0,False,0.0,0.0,0.006666666666666667
100,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
105,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
110,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
115,1i,150.0,3,0.0,3,1.0,False,1.0,-21.4435,0.006666666666666667
120,1i,150.0,3,0.0,3,1.0,False,1.0,-8.5592,0.006666666666666667
125,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
130,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
135,1i,150.0,3,0.0,3,1.0,False,0.0,0.0,0.006666666666666667
140,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
145,1i,150.0,1,0.0,1,1.0,False,0.0,0.0,0.006666666666666667
150,1i,150.0,2,9.6616,1,1.0,False,0.0,9.6616,0.006666666666666667
155,1i,150.0,3,12.8853,1,1.0,False,0.0,12.8853,0.006666666666666667
160,1i,150.0,3,4.0232,1,1.0,False,0.0,4.0232,0.006666666666666667
165,1i,150.0,2,0.0014,2,8.0,False,7.0,0.0014,0.05333333333333334
170,1i,150.0,1,4.7406,0,0.0,False,-1.0,4.7406,0.0
175,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
180,1i,150.0,0,0.0,0,0.0,False,-1.0,-9.6616,0.0
185,1i,150.0,0,0.0,0,0.0,False,-1.0,-12.8853,0.0
190,1i,150.0,0,0.0,0,0.0,False,-1.0,-4.0232,0.0
195,1i,150.0,0,0.0,0,0.0,False,-8.0,-0.0014,0.0
200,1i,150.0,0,0.0,0,0.0,False,0.0,-4.7406,0.0
205,1i,150.0,0,0.0,0,0.0,False,0.0,0.0,0.0
210,1i,150.0,0,0.0,0,0.0,False,0.0,0.0,0.0
215,1i,150.0,1,23.0576,0,0.0,False,0.0,23.0576,0.0
220,1i,150.0,3,19.8214,0,0.0,False,0.0,19.8214,0.0
225,1i,150.0,3,9.2222,1,1.0,False,1.0,9.2222,0.006666666666666667
230,1i,150.0,1,0.0,1,1.0,False,1.0,0.0,0.006666666666666667
235,1i,150.0,1,0.0,1,1.0,False,1.0,0.0,0.006666666666666667
240,1i,150.0,1,0.0,1,1.0,False,1.0,0.0,0.006666666666666667
245,1i,150.0,1,0.0,1,1.0,False,1.0,-23.0576,0.006666666666666667
250,1i,150.0,1,0.0,1,1.0,False,1.0,-19.8214,0.006666666666666667
255,1i,150.0,1,0.0,1,1.0,False,0.0,-9.2222,0.006666666666666667
260,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
265,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
