timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,23.8469,0,0.0,False
15,2i,150.0,2,24.966,0,0.0,False
15,3i,150.0,2,24.8144,0,0.0,False
15,4i,150.0,2,25.8306,0,0.0,False
20,1i,150.0,3,16.156,0,0.0,False
20,2i,150.0,3,14.0367,0,0.0,False
20,3i,150.0,3,15.5954,0,0.0,False
20,4i,150.0,2,15.5376,0,0.0,False
25,1i,150.0,3,1.9125,0,0.0,False
25,2i,150.0,3,5.1006,2,1.0,False
25,3i,150.0,1,0.0,1,1.0,False
25,4i,150.0,5,17.5332,1,1.0,False
30,1i,150.0,3,0.0,3,1.0,False
30,2i,150.0,3,0.1006,2,1.0,False
30,3i,150.0,1,0.0,1,1.0,False
30,4i,150.0,5,7.8727,1,1.0,False
35,1i,150.0,3,0.0,3,1.0,False
35,2i,150.0,3,0.0,3,1.0,False
35,3i,150.0,0,0.0,0,0.0,False
35,4i,150.0,6,11.9896,2,1.0,False
40,1i,150.0,3,0.0,3,1.0,False
40,2i,150.0,3,0.0,3,1.0,False
40,3i,150.0,0,0.0,0,0.0,False
40,4i,150.0,6,6.2365,3,13.71,False
45,1i,150.0,3,0.0,3,1.0,False
45,2i,150.0,3,0.0,3,1.0,False
45,3i,150.0,0,0.0,0,0.0,False
45,4i,150.0,8,9.0281,4,13.71,False
50,1i,150.0,1,0.0,1,1.0,False
50,2i,150.0,1,0.0,1,1.0,False
50,3i,150.0,0,0.0,0,0.0,False
50,4i,150.0,8,3.8097,5,20.71,False
55,1i,150.0,1,0.0,1,1.0,False
55,2i,150.0,1,0.0,1,1.0,False
55,3i,150.0,0,0.0,0,0.0,False
55,4i,150.0,11,5.7861,8,24.73,False
60,1i,150.0,1,0.0,1,1.0,False
60,2i,150.0,1,0.0,1,1.0,False
60,3i,150.0,0,0.0,0,0.0,False
60,4i,150.0,11,2.2438,8,24.71,False
65,1i,150.0,1,0.0,1,1.0,False
65,2i,150.0,1,0.0,1,1.0,False
65,3i,150.0,0,0.0,0,0.0,False
65,4i,150.0,13,3.2334,10,28.72,False
70,1i,150.0,1,0.0,1,1.0,False
70,2i,150.0,1,0.0,1,1.0,False
70,3i,150.0,0,0.0,0,0.0,False
70,4i,150.0,14,2.2364,11,28.72,False
75,1i,150.0,1,0.0,1,1.0,False
75,2i,150.0,1,0.0,1,1.0,False
75,3i,150.0,0,0.0,0,0.0,False
75,4i,150.0,17,3.8907,12,28.72,False
80,1i,150.0,0,0.0,0,0.0,False
80,2i,150.0,0,0.0,0,0.0,False
80,3i,150.0,0,0.0,0,0.0,False
80,4i,150.0,17,1.2668,13,28.72,False
85,1i,150.0,3,21.4435,0,0.0,False
85,2i,150.0,2,22.3939,0,0.0,False
85,3i,150.0,3,20.8069,0,0.0,False
85,4i,150.0,18,1.2852,17,45.51,False
90,1i,150.0,3,8.5592,0,0.0,False
90,2i,150.0,3,10.8461,0,0.0,False
90,3i,150.0,3,7.2517,0,0.0,False
90,4i,150.0,20,2.0134,17,45.43,False
95,1i,150.0,3,0.0,2,1.0,False
95,2i,150.0,3,3.946,2,1.0,False
95,3i,150.0,1,0.0,1,1.0,False
95,4i,150.0,17,3.4967,10,45.43,False
100,1i,150.0,3,0.0,3,1.0,False
100,2i,150.0,3,0.0,3,1.0,False
100,3i,150.0,1,0.0,1,1.0,False
100,4i,150.0,14,5.1551,5,23.01,False
105,1i,150.0,3,0.0,3,1.0,False
105,2i,150.0,3,0.0,3,1.0,False
105,3i,150.0,1,0.0,1,1.0,False
105,4i,150.0,12,5.3971,6,27.02,False
110,1i,150.0,3,0.0,3,1.0,False
110,2i,150.0,3,0.0,3,1.0,False
110,3i,150.0,1,0.0,1,1.0,False
110,4i,150.0,9,3.254,6,27.01,False
115,1i,150.0,3,0.0,3,1.0,False
115,2i,150.0,3,0.0,3,1.0,False
115,3i,150.0,1,0.0,1,1.0,False
115,4i,150.0,10,5.8383,6,27.01,False
120,1i,150.0,3,0.0,3,1.0,False
120,2i,150.0,3,0.0,3,1.0,False
120,3i,150.0,1,0.0,1,1.0,False
120,4i,150.0,11,3.8404,7,34.01,False
125,1i,150.0,3,0.0,3,1.0,False
125,2i,150.0,3,0.0,3,1.0,False
125,3i,150.0,0,0.0,0,0.0,False
125,4i,150.0,11,4.9213,6,46.72,False
130,1i,150.0,3,0.0,3,1.0,False
130,2i,150.0,3,0.0,3,1.0,False
130,3i,150.0,0,0.0,0,0.0,False
130,4i,150.0,11,4.2284,3,45.73,False
135,1i,150.0,3,0.0,3,1.0,False
135,2i,150.0,3,0.0,3,1.0,False
135,3i,150.0,0,0.0,0,0.0,False
135,4i,150.0,12,2.9219,7,9.05,False
140,1i,150.0,1,0.0,1,1.0,False
