timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction
0,1i,150.0,0,0.0,0,0.0,False,,,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0
15,1i,150.0,3,25.182,0,0.0,False,,,0.0
20,1i,150.0,3,13.4799,0,0.0,False,,,0.0
25,1i,150.0,3,0.6078,2,1.0,False,,,0.006666666666666667
30,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
35,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
40,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
45,1i,150.0,3,0.0,3,1.0,False,1.0,-25.182,0.006666666666666667
50,1i,150.0,1,0.0,1,1.0,False,1.0,-13.4799,0.006666666666666667
55,1i,150.0,1,0.0,1,1.0,False,0.0,-0.6078,0.006666666666666667
60,1i,150.0,2,12.6813,1,1.0,False,0.0,12.6813,0.006666666666666667
65,1i,150.0,4,13.0493,1,1.0,False,0.0,13.0493,0.006666666666666667
70,1i,150.0,2,2.3674,1,1.0,False,0.0,2.3674,0.006666666666666667
75,1i,150.0,2,0.0006,2,5.0,False,4.0,0.0006,0.03333333333333333
80,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
85,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
90,1i,150.0,0,0.0,0,0.0,False,-1.0,-12.6813,0.0
95,1i,150.0,0,0.0,0,0.0,False,-1.0,-13.0493,0.0
100,1i,150.0,0,0.0,0,0.0,False,-1.0,-2.3674,0.0
105,1i,150.0,2,25.2957,0,0.0,False,-5.0,25.2951,0.0
110,1i,150.0,3,15.8358,0,0.0,False,0.0,15.8358,0.0
115,1i,150.0,3,5.3137,0,0.0,False,0.0,5.3137,0.0
120,1i,150.0,3,1.1993,2,1.0,False,1.0,1.1993,0.006666666666666667
125,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
130,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
135,1i,150.0,3,0.0,3,1.0,False,1.0,-25.2957,0.006666666666666667
140,1i,150.0,1,0.0,1,1.0,False,1.0,-15.8358,0.006666666666666667
145,1i,150.0,1,0.0,1,1.0,False,1.0,-5.3137,0.006666666666666667
150,1i,150.0,2,9.8637,1,1.0,False,0.0,8.6644,0.006666666666666667
155,1i,150.0,3,11.3918,1,1.0,False,0.0,11.3918,0.006666666666666667
160,1i,150.0,2,1.3369,1,1.0,False,0.0,1.3369,0.006666666666666667
165,1i,150.0,2,0.0009,2,5.0,False,4.0,0.0009,0.03333333333333333
170,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
175,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
180,1i,150.0,0,0.0,0,0.0,False,-1.0,-9.8637,0.0
185,1i,150.0,0,0.0,0,0.0,False,-1.0,-11.3918,0.0
190,1i,150.0,0,0.0,0,0.0,False,-1.0,-1.3369,0.0
195,1i,150.0,1,21.4172,0,0.0,False,-5.0,21.4163,0.0
200,1i,150.0,3,13.8319,0,0.0,False,0.0,13.8319,0.0
205,1i,150.0,3,2.4279,1,1.0,False,1.0,2.4279,0.006666666666666667
210,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
215,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
220,1i,150.0,3,0.0,3,1.0,False,1.0,0.0,0.006666666666666667
225,1i,150.0,3,0.0,3,1.0,False,1.0,-21.4172,0.006666666666666667
230,1i,150.0,1,0.0,1,1.0,False,1.0,-13.8319,0.006666666666666667
235,1i,150.0,1,0.0,1,1.0,False,0.0,-2.4279,0.006666666666666667
240,1i,150.0,2,9.0255,1,1.0,False,0.0,9.0255,0.006666666666666667
245,1i,150.0,3,15.1027,1,1.0,False,0.0,15.1027,0.006666666666666667
250,1i,150.0,2,4.7927,1,1.0,False,0.0,4.7927,0.006666666666666667
255,1i,150.0,2,0.0814,2,5.07,False,4.07,0.0814,0.033800000000000004
260,1i,150.0,0,0.0,0,0.0,False,-1.0,0.0,0.0
