timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_north_heavy,val,development,0.5
5,1i,150.0,0,0.0,0,0.0,False,2,25.3113,375.41,384.3,scenario_north_heavy,val,development,0.5
10,1i,150.0,0,0.0,0,0.0,False,2,25.8178,241.19,261.58,scenario_north_heavy,val,development,0.5
15,1i,150.0,3,25.182,0,0.0,False,2,24.7752,107.31,141.85,scenario_north_heavy,val,development,0.5
20,1i,150.0,3,13.4799,0,0.0,False,2,13.8211,18.43,38.15,scenario_north_heavy,val,development,0.5
25,1i,150.0,3,0.6078,2,1.0,False,2,0.9117,1.0,1.0,scenario_north_heavy,val,development,0.5
30,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
35,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
40,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
45,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
50,1i,150.0,1,0.0,1,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
55,1i,150.0,1,0.0,1,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
60,1i,150.0,2,12.6813,1,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
65,1i,150.0,4,13.0493,1,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
70,1i,150.0,2,2.3674,1,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
75,1i,150.0,2,0.0006,2,5.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
80,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_north_heavy,val,development,0.5
85,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_north_heavy,val,development,0.5
90,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_north_heavy,val,development,0.5
95,1i,150.0,0,0.0,0,0.0,False,1,26.2929,403.78,403.78,scenario_north_heavy,val,development,0.5
100,1i,150.0,0,0.0,0,0.0,False,1,27.1852,268.17,268.17,scenario_north_heavy,val,development,0.5
105,1i,150.0,2,25.2957,0,0.0,False,1,26.1128,133.96,133.96,scenario_north_heavy,val,development,0.5
110,1i,150.0,3,15.8358,0,0.0,False,1,15.1012,31.51,31.51,scenario_north_heavy,val,development,0.5
115,1i,150.0,3,5.3137,0,0.0,False,1,0.1012,1.0,1.0,scenario_north_heavy,val,development,0.5
120,1i,150.0,3,1.1993,2,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
125,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
130,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_north_heavy,val,development,0.5
135,1i,150.0,3,0.0,3,1.0,False,2,13.5051,1.0,456.29,scenario_north_heavy,val,development,0.5
