timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,3,25.182,0,0.0,False
15,2i,150.0,2,25.0958,0,0.0,False
15,3i,150.0,3,26.6718,0,0.0,False
15,4i,150.0,3,24.6191,0,0.0,False
20,1i,150.0,3,13.4799,0,0.0,False
20,2i,150.0,3,14.259,0,0.0,False
20,3i,150.0,2,13.1037,0,0.0,False
20,4i,150.0,3,15.3164,0,0.0,False
25,1i,150.0,3,0.6078,2,1.0,False
25,2i,150.0,3,4.9495,2,1.0,False
25,3i,150.0,1,0.0,1,1.0,False
25,4i,150.0,1,0.0,1,1.0,False
30,1i,150.0,3,0.0,3,1.0,False
30,2i,150.0,3,0.2118,2,1.0,False
30,3i,150.0,1,0.0,1,1.0,False
30,4i,150.0,3,17.762,1,1.0,False
35,1i,150.0,3,0.0,3,1.0,False
35,2i,150.0,3,0.0,3,1.0,False
35,3i,150.0,0,0.0,0,0.0,False
35,4i,150.0,3,14.925,0,0.0,False
40,1i,150.0,3,0.0,3,1.0,False
40,2i,150.0,3,0.0,3,1.0,False
40,3i,150.0,0,0.0,0,0.0,False
40,4i,150.0,2,2.7203,0,0.0,False
45,1i,150.0,3,0.0,3,1.0,False
45,2i,150.0,3,0.0,3,1.0,False
45,3i,150.0,0,0.0,0,0.0,False
45,4i,150.0,4,13.1851,2,1.0,False
50,1i,150.0,1,0.0,1,1.0,False
50,2i,150.0,2,12.6348,1,1.0,False
50,3i,150.0,3,23.9296,0,0.0,False
50,4i,150.0,5,9.1751,2,1.0,False
55,1i,150.0,1,0.0,1,1.0,False
55,2i,150.0,4,11.6672,1,1.0,False
55,3i,150.0,3,15.2184,0,0.0,False
55,4i,150.0,5,2.6863,3,5.06,False
60,1i,150.0,2,12.6813,1,1.0,False
60,2i,150.0,4,8.7473,1,1.0,False
60,3i,150.0,3,1.24,0,0.0,False
60,4i,150.0,6,5.093,4,5.0,False
65,1i,150.0,4,13.0493,1,1.0,False
65,2i,150.0,2,0.0001,2,5.0,False
65,3i,150.0,3,0.0,3,1.0,False
65,4i,150.0,8,5.8828,5,8.0,False
70,1i,150.0,2,2.3674,1,1.0,False
70,2i,150.0,2,0.0,2,5.0,False
70,3i,150.0,3,0.0,3,1.0,False
70,4i,150.0,8,2.0305,6,9.01,False
75,1i,150.0,2,0.0006,2,5.0,False
75,2i,150.0,2,0.0,2,5.0,False
75,3i,150.0,3,0.0,3,1.0,False
75,4i,150.0,9,2.8979,7,9.0,False
80,1i,150.0,0,0.0,0,0.0,False
80,2i,150.0,0,0.0,0,0.0,False
80,3i,150.0,3,0.0,3,1.0,False
80,4i,150.0,11,3.5076,8,20.71,False
85,1i,150.0,0,0.0,0,0.0,False
85,2i,150.0,3,21.2369,0,0.0,False
85,3i,150.0,5,7.9934,3,1.0,False
85,4i,150.0,11,1.2546,9,20.71,False
90,1i,150.0,0,0.0,0,0.0,False
90,2i,150.0,3,7.2922,0,0.0,False
90,3i,150.0,6,5.5181,3,1.0,False
90,4i,150.0,14,5.3409,10,20.71,False
95,1i,150.0,0,0.0,0,0.0,False
95,2i,150.0,3,0.0,3,1.0,False
95,3i,150.0,3,4.289,1,1.0,False
95,4i,150.0,9,4.5567,3,12.0,False
100,1i,150.0,0,0.0,0,0.0,False
100,2i,150.0,3,0.0,3,1.0,False
100,3i,150.0,2,0.0,2,8.0,False
100,4i,150.0,6,2.3819,3,12.0,False
105,1i,150.0,2,25.2957,0,0.0,False
105,2i,150.0,3,0.0,3,1.0,False
105,3i,150.0,2,0.0,2,8.0,False
105,4i,150.0,6,7.7857,4,19.0,False
110,1i,150.0,3,15.8358,0,0.0,False
110,2i,150.0,3,0.0,3,1.0,False
110,3i,150.0,2,0.0,2,8.0,False
110,4i,150.0,7,7.0637,4,19.0,False
115,1i,150.0,3,5.3137,0,0.0,False
115,2i,150.0,4,6.1316,3,1.0,False
115,3i,150.0,3,8.3163,2,8.0,False
115,4i,150.0,6,2.5405,4,19.0,False
120,1i,150.0,3,1.1993,2,1.0,False
120,2i,150.0,6,8.3288,3,1.0,False
120,3i,150.0,5,11.7251,2,8.0,False
120,4i,150.0,7,3.5048,5,23.01,False
125,1i,150.0,3,0.0,3,1.0,False
125,2i,150.0,6,1.9972,3,1.0,False
125,3i,150.0,4,6.4878,0,0.0,False
125,4i,150.0,6,5.3562,3,23.01,False
130,1i,150.0,3,0.0,3,1.0,False
130,2i,150.0,6,0.003,6,5.01,False
130,3i,150.0,2,0.0008,2,1.0,False
130,4i,150.0,6,4.6738,2,1.0,False
135,1i,150.0,3,0.0,3,1.0,False
135,2i,150.0,6,0.0,6,5.0,False
135,3i,150.0,2,0.0,2,1.0,False
135,4i,150.0,7,3.7155,4,5.02,False
