timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,,,0.0,,,,,,,0.0,0.0,,
5,1i,150.0,0,0.0,0,0.0,False,1,18.892,396.87,396.87,scenario_south_heavy,test,development,0.25,,,0.0,,,0.0,4.0,True,,0.0,0.0,,
10,1i,150.0,0,0.0,0,0.0,False,1,19.2851,300.45,300.45,scenario_south_heavy,test,development,0.25,,,0.0,,,0.0,9.0,True,,0.0,0.0,,
15,1i,150.0,2,26.3783,0,0.0,False,1,18.8994,205.06,205.06,scenario_south_heavy,test,development,0.25,,,0.0,,,0.0,14.0,True,,13.333333333333334,1266.1584,,
20,1i,150.0,3,13.6562,0,0.0,False,1,17.154,112.59,112.59,scenario_south_heavy,test,development,0.25,,,0.0,,,0.0,19.0,True,,20.0,983.2464,,
25,1i,150.0,3,4.99,2,1.0,False,1,14.97,30.88,30.88,scenario_south_heavy,test,development,0.25,,,0.006666666666666667,,,0.0,24.0,True,,20.0,359.28000000000003,,
30,1i,150.0,3,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,1.0,,1.0,4.0,False,5,20.0,0.0,0.03333333333333333,
35,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,0.0,-395.87,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
40,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,0.0,-299.45,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
45,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.25,1.0,-26.3783,0.006666666666666667,0.0,-204.06,3.0,6.0,False,10,20.0,0.0,0.03333333333333333,
50,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,1.0,-13.6562,0.006666666666666667,-1.0,,4.0,4.0,False,15,6.666666666666667,0.0,0.03333333333333333,
55,1i,150.0,1,0.0,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,0.0,-4.99,0.006666666666666667,-1.0,,4.0,9.0,False,20,6.666666666666667,0.0,0.0,
60,1i,150.0,3,17.6743,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,0.0,17.6743,0.006666666666666667,-1.0,,4.0,14.0,False,25,20.0,1272.5496,0.0,
65,1i,150.0,4,12.2038,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,0.0,12.2038,0.006666666666666667,-1.0,,4.0,19.0,False,30,26.666666666666668,1171.5647999999999,0.0,
70,1i,150.0,2,0.663,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,0.0,0.663,0.006666666666666667,-1.0,,4.0,24.0,False,35,13.333333333333334,31.824,0.0,
75,1i,150.0,2,0.0001,2,5.0,False,0,,,,scenario_south_heavy,test,development,0.25,4.0,0.0001,0.03333333333333333,-1.0,,5.0,4.0,False,40,13.333333333333334,0.0048000000000000004,0.13333333333333333,
80,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,0.0,0.0,0.0,,6.0,2.0,False,45,0.0,0.0,-0.03333333333333333,
85,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,0.0,0.0,0.0,,7.0,1.0,False,50,0.0,0.0,-0.03333333333333333,
90,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,-17.6743,0.0,0.0,,7.0,6.0,False,55,0.0,0.0,-0.03333333333333333,
95,1i,150.0,0,0.0,0,0.0,False,1,21.9179,409.15,409.15,scenario_south_heavy,test,development,0.25,-1.0,-12.2038,0.0,1.0,,0.0,4.0,True,,0.0,0.0,-0.03333333333333333,
100,1i,150.0,0,0.0,0,0.0,False,1,18.7626,314.03,314.03,scenario_south_heavy,test,development,0.25,-1.0,-0.663,0.0,1.0,,0.0,9.0,True,,0.0,0.0,-0.03333333333333333,
105,1i,150.0,0,0.0,0,0.0,False,1,18.8996,218.85,218.85,scenario_south_heavy,test,development,0.25,-5.0,-0.0001,0.0,1.0,,0.0,14.0,True,,0.0,0.0,-0.16666666666666666,
110,1i,150.0,3,19.0779,0,0.0,False,1,19.0365,123.83,123.83,scenario_south_heavy,test,development,0.25,0.0,19.0779,0.0,1.0,,0.0,19.0,True,,20.0,1373.6088,0.0,
115,1i,150.0,3,9.9417,0,0.0,False,1,15.1783,36.35,36.35,scenario_south_heavy,test,development,0.25,0.0,9.9417,0.0,1.0,,0.0,24.0,True,,20.0,715.8024,0.0,
120,1i,150.0,3,0.8602,2,1.0,False,1,2.5807,1.05,1.05,scenario_south_heavy,test,development,0.25,1.0,0.8602,0.006666666666666667,1.0,,1.0,4.0,False,5,20.0,61.9344,0.03333333333333333,
125,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,0.0,-408.15,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
130,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,0.0,-313.03,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
135,1i,150.0,3,0.0,3,1.0,False,2,13.1031,1.0,457.09,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,1.0,238.23999999999998,3.0,6.0,False,10,20.0,0.0,0.03333333333333333,
140,1i,150.0,1,0.0,1,1.0,False,2,27.0435,322.53,428.5,scenario_south_heavy,test,development,0.25,1.0,-19.0779,0.006666666666666667,1.0,304.67,4.0,4.0,False,15,6.666666666666667,0.0,0.03333333333333333,
145,1i,150.0,1,0.0,1,1.0,False,2,26.9466,188.12,293.48,scenario_south_heavy,test,development,0.25,1.0,-9.9417,0.006666666666666667,1.0,257.13,4.0,9.0,False,20,6.666666666666667,0.0,0.03333333333333333,
150,1i,150.0,2,9.813,1,1.0,False,2,23.297,66.98,159.07,scenario_south_heavy,test,development,0.25,0.0,8.9528,0.006666666666666667,1.0,158.01999999999998,4.0,14.0,False,25,13.333333333333334,471.0240000000001,0.0,
155,1i,150.0,3,11.7608,1,1.0,False,1,16.7011,50.0,50.0,scenario_south_heavy,test,development,0.25,0.0,11.7608,0.006666666666666667,0.0,49.0,4.0,19.0,False,30,20.0,846.7776000000001,0.0,
160,1i,150.0,2,1.3505,1,1.0,False,1,2.7011,8.5,8.5,scenario_south_heavy,test,development,0.25,0.0,1.3505,0.006666666666666667,0.0,7.5,4.0,24.0,False,35,13.333333333333334,64.82400000000001,0.0,
165,1i,150.0,2,0.0014,2,8.0,False,1,0.0028,8.0,8.0,scenario_south_heavy,test,development,0.25,7.0,0.0014,0.05333333333333334,-1.0,-449.09,5.0,4.0,False,40,13.333333333333334,0.06720000000000001,0.23333333333333334,
170,1i,150.0,1,3.5907,0,0.0,False,1,3.5907,3.05,3.05,scenario_south_heavy,test,development,0.25,-1.0,3.5907,0.0,-1.0,-425.45,6.0,2.0,False,45,6.666666666666667,86.1768,-0.03333333333333333,
175,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,0.0,0.0,-2.0,,7.0,1.0,False,50,0.0,0.0,-0.03333333333333333,
180,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,-9.813,0.0,-2.0,,7.0,6.0,False,55,0.0,0.0,-0.03333333333333333,
185,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,-11.7608,0.0,-1.0,,0.0,4.0,True,,0.0,0.0,-0.03333333333333333,
190,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-1.0,-1.3505,0.0,-1.0,,0.0,9.0,True,,0.0,0.0,-0.03333333333333333,
195,1i,150.0,1,17.5447,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,-8.0,17.5433,0.0,-1.0,,0.0,14.0,True,,6.666666666666667,421.0728,-0.26666666666666666,
200,1i,150.0,3,12.99,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.25,0.0,9.3993,0.0,-1.0,,0.0,19.0,True,,20.0,935.2800000000001,0.0,
205,1i,150.0,3,7.5176,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,1.0,7.5176,0.006666666666666667,0.0,,0.0,24.0,True,,20.0,541.2672,0.03333333333333333,
210,1i,150.0,3,1.4537,2,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,1.0,1.4537,0.006666666666666667,0.0,,1.0,4.0,False,5,20.0,104.6664,0.03333333333333333,
215,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,0.0,,2.0,2.0,True,,20.0,0.0,0.03333333333333333,
220,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,1.0,0.0,0.006666666666666667,0.0,,3.0,1.0,False,5,20.0,0.0,0.03333333333333333,
225,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_south_heavy,test,development,0.25,1.0,-17.5447,0.006666666666666667,0.0,,3.0,6.0,False,10,20.0,0.0,0.03333333333333333,
230,1i,150.0,1,0.0,1,1.0,False,1,27.638,455.66,455.66,scenario_south_heavy,test,development,0.25,1.0,-12.99,0.006666666666666667,1.0,,4.0,4.0,False,15,6.666666666666667,0.0,0.03333333333333333,
235,1i,150.0,1,0.0,1,1.0,False,1,26.8275,320.78,320.78,scenario_south_heavy,test,development,0.25,0.0,-7.5176,0.006666666666666667,1.0,,4.0,9.0,False,20,6.666666666666667,0.0,0.0,
240,1i,150.0,2,8.5614,1,1.0,False,1,26.1866,188.82,188.82,scenario_south_heavy,test,development,0.25,0.0,7.107700000000001,0.006666666666666667,1.0,,4.0,14.0,False,25,13.333333333333334,410.94720000000007,0.0,
245,1i,150.0,3,12.8799,1,1.0,False,1,18.2965,72.73,72.73,scenario_south_heavy,test,development,0.25,0.0,12.8799,0.006666666666666667,1.0,,4.0,19.0,False,30,20.0,927.3528,0.0,
250,1i,150.0,3,4.1106,1,1.0,False,1,5.4192,18.32,18.32,scenario_south_heavy,test,development,0.25,0.0,4.1106,0.006666666666666667,1.0,,4.0,24.0,False,35,20.0,295.9632,0.0,
255,1i,150.0,2,0.0009,2,15.04,False,1,0.0019,15.04,15.04,scenario_south_heavy,test,development,0.25,14.04,0.0009,0.10026666666666666,1.0,,5.0,4.0,False,40,13.333333333333334,0.0432,0.46799999999999997,
260,1i,150.0,1,1.1981,0,0.0,False,1,1.1981,13.29,13.29,scenario_south_heavy,test,development,0.25,-1.0,1.1981,0.0,0.0,-442.37,6.0,2.0,False,45,6.666666666666667,28.7544,-0.03333333333333333,
265,1i,150.0,1,1.2627,0,0.0,False,1,1.2627,1.12,1.12,scenario_south_heavy,test,development,0.25,-1.0,1.2627,0.0,0.0,-319.65999999999997,7.0,1.0,False,50,6.666666666666667,30.304800000000004,-0.03333333333333333,
270,1i,150.0,1,0.0,1,1.0,False,2,11.7699,1.0,384.27,scenario_south_heavy,test,development,0.25,0.0,-8.5614,0.006666666666666667,1.0,195.45,7.0,6.0,False,55,6.666666666666667,0.0,0.0,
275,1i,150.0,1,0.0,1,1.0,False,3,17.0545,1.0,457.01,scenario_south_heavy,test,development,0.25,0.0,-12.8799,0.006666666666666667,2.0,384.28,0.0,4.0,True,,6.666666666666667,0.0,0.0,
280,1i,150.0,2,12.2812,1,1.0,False,3,17.3608,1.0,320.04,scenario_south_heavy,test,development,0.25,0.0,8.1706,0.006666666666666667,2.0,301.72,0.0,9.0,True,,13.333333333333334,589.4976,0.0,
285,1i,150.0,2,7.6292,1,1.0,False,3,14.009,1.0,184.95,scenario_south_heavy,test,development,0.25,-14.04,7.6283,0.006666666666666667,2.0,169.91,0.0,14.0,True,,13.333333333333334,366.2016,-0.46799999999999997,
290,1i,150.0,4,10.3,1,1.0,False,3,7.1238,1.0,65.69,scenario_south_heavy,test,development,0.25,1.0,9.1019,0.006666666666666667,2.0,52.4,0.0,19.0,True,,26.666666666666668,988.8000000000002,0.03333333333333333,
295,1i,150.0,4,3.21,2,1.0,False,3,1.902,1.0,9.88,scenario_south_heavy,test,development,0.25,1.0,1.9473,0.006666666666666667,2.0,8.760000000000002,0.0,24.0,True,,26.666666666666668,308.16,0.03333333333333333,
300,1i,150.0,4,0.0012,4,5.0,False,3,0.0016,1.0,5.0,scenario_south_heavy,test,development,0.25,4.0,0.0012,0.03333333333333333,1.0,-379.27,1.0,4.0,False,5,26.666666666666668,0.11520000000000001,0.13333333333333333,
305,1i,150.0,4,0.0,4,5.0,False,3,0.0,1.0,5.0,scenario_south_heavy,test,development,0.25,4.0,0.0,0.03333333333333333,0.0,-452.01,2.0,2.0,True,,26.666666666666668,0.0,0.13333333333333333,
