timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
0,1i,0,0.0,0.0,0.0,0,0.0,False
0,2i,0,0.0,0.0,0.0,0,0.0,False
0,3i,0,0.0,0.0,0.0,0,0.0,False
0,4i,0,0.0,0.0,0.0,0,0.0,False
5,1i,3,24.084,6.1868,0.0,0,0.0,False
5,2i,3,23.4412,6.1868,0.0,0,0.0,False
5,3i,3,23.5842,6.1868,0.0,0,0.0,False
5,4i,3,25.0018,6.1868,0.0,0,0.0,False
10,1i,3,24.1529,6.1868,0.0,0,0.0,False
10,2i,3,23.2861,6.1868,0.0,0,0.0,False
10,3i,3,23.8942,6.1868,0.0,0,0.0,False
10,4i,3,24.1626,6.1868,0.0,0,0.0,False
15,1i,3,23.8854,6.1868,0.0,0,0.0,False
15,2i,3,22.6371,6.1868,0.0,0,0.0,False
15,3i,6,24.483,12.3737,0.0,0,0.0,False
15,4i,3,24.7398,6.1868,0.0,0,0.0,False
20,1i,3,13.6562,6.1868,0.0,0,0.0,False
20,2i,3,15.7445,6.1868,0.0,0,0.0,False
20,3i,6,20.4384,12.3737,0.0,0,0.0,False
20,4i,3,16.3241,6.1868,0.0,0,0.0,False
25,1i,3,4.99,6.1868,0.0,2,1.0,False
25,2i,3,5.2272,6.1868,0.0,1,1.0,False
25,3i,5,18.324,10.3114,720.0,1,1.0,False
25,4i,1,1.6587,2.0623,1440.0,0,0.0,False
30,1i,3,0.0,6.1868,0.0,2,1.0,False
30,2i,3,0.0001,6.1868,0.0,2,1.0,False
30,3i,8,17.8139,16.4982,0.0,1,1.0,False
30,4i,1,0.0,2.0623,0.0,1,1.0,False
35,1i,3,0.0,6.1868,0.0,3,1.0,False
35,2i,3,0.0,6.1868,0.0,3,1.0,False
35,3i,7,14.3519,14.436,720.0,1,1.0,False
35,4i,0,0.0,0.0,720.0,0,0.0,False
40,1i,3,0.0,6.1868,0.0,3,1.0,False
40,2i,3,0.0,6.1868,0.0,3,1.0,False
40,3i,9,16.381,18.5605,720.0,3,13.75,False
40,4i,0,0.0,0.0,0.0,0,0.0,False
45,1i,3,0.0,6.1868,0.0,3,1.0,False
45,2i,3,0.0,6.1868,0.0,3,1.0,False
45,3i,9,12.2465,18.5605,0.0,3,13.71,False
45,4i,0,0.0,0.0,0.0,0,0.0,False
50,1i,4,19.3891,8.2491,1440.0,1,1.0,False
50,2i,4,20.1946,8.2491,1440.0,1,1.0,False
50,3i,10,9.9979,20.6228,0.0,5,13.71,False
50,4i,3,27.082,6.1868,0.0,0,0.0,False
55,1i,4,19.5774,8.2491,0.0,1,1.0,False
55,2i,4,20.1624,8.2491,0.0,1,1.0,False
55,3i,12,11.1343,24.7474,0.0,6,20.71,False
55,4i,3,27.1269,6.1868,0.0,0,0.0,False
60,1i,4,19.0687,8.2491,0.0,1,1.0,False
60,2i,4,19.304,8.2491,0.0,1,1.0,False
60,3i,12,8.2485,24.7474,0.0,6,20.71,False
60,4i,3,26.5548,6.1868,0.0,0,0.0,False
65,1i,4,12.2038,8.2491,0.0,1,1.0,False
65,2i,4,11.7867,8.2491,0.0,1,1.0,False
65,3i,15,10.0651,30.9342,0.0,8,20.71,False
65,4i,3,13.6164,6.1868,0.0,0,0.0,False
70,1i,2,0.663,4.1246,1440.0,1,1.0,False
70,2i,2,0.1029,4.1246,1440.0,1,1.0,False
70,3i,15,7.0052,30.9342,0.0,9,27.72,False
70,4i,3,0.5501,6.1868,0.0,1,1.0,False
75,1i,2,0.0001,4.1246,0.0,2,5.0,False
75,2i,2,0.0001,4.1246,0.0,2,15.04,False
75,3i,16,6.2943,32.9965,0.0,11,27.71,False
75,4i,3,0.0013,6.1868,0.0,3,1.0,False
80,1i,0,0.0,0.0,1440.0,0,0.0,False
80,2i,1,1.8073,2.0623,720.0,0,0.0,False
80,3i,18,6.5078,37.1211,0.0,12,40.43,False
80,4i,3,0.0,6.1868,0.0,3,1.0,False
85,1i,0,0.0,0.0,0.0,0,0.0,False
85,2i,1,0.206,2.0623,0.0,0,0.0,False
85,3i,18,4.4072,37.1211,0.0,12,40.43,False
85,4i,3,0.0,6.1868,0.0,3,1.0,False
90,1i,1,19.44,2.0623,0.0,0,0.0,False
90,2i,2,9.7202,4.1246,0.0,1,1.0,False
90,3i,21,6.3095,43.3079,0.0,15,47.43,False
90,4i,4,6.9425,8.2491,0.0,3,1.0,False
95,1i,3,21.7795,6.1868,0.0,0,0.0,False
95,2i,4,15.5649,8.2491,0.0,1,1.0,False
95,3i,16,7.1749,32.9965,3600.0,6,47.43,False
95,4i,4,18.4897,8.2491,1440.0,1,1.0,False
100,1i,3,20.4958,6.1868,0.0,0,0.0,False
100,2i,4,15.1984,8.2491,0.0,1,1.0,False
100,3i,13,9.2666,26.8097,2880.0,4,13.0,False
100,4i,4,19.0124,8.2491,0.0,1,1.0,False
