timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.5
5,1i,150.0,0,0.0,0,0.0,False,1,18.892,396.87,396.87,scenario_south_heavy,test,development,0.5
10,1i,150.0,0,0.0,0,0.0,False,1,19.2851,300.45,300.45,scenario_south_heavy,test,development,0.5
15,1i,150.0,2,26.3783,0,0.0,False,1,18.8994,205.06,205.06,scenario_south_heavy,test,development,0.5
20,1i,150.0,3,13.6562,0,0.0,False,1,17.154,112.59,112.59,scenario_south_heavy,test,development,0.5
25,1i,150.0,3,4.99,2,1.0,False,1,14.97,30.88,30.88,scenario_south_heavy,test,development,0.5
30,1i,150.0,3,0.0,2,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
35,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
40,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
45,1i,150.0,3,0.0,3,1.0,False,1,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
50,1i,150.0,1,0.0,1,1.0,False,2,25.0822,376.86,409.15,scenario_south_heavy,test,development,0.5
55,1i,150.0,1,0.0,1,1.0,False,2,25.6486,242.71,286.85,scenario_south_heavy,test,development,0.5
60,1i,150.0,3,17.6743,1,1.0,False,2,24.4472,109.78,167.23,scenario_south_heavy,test,development,0.5
65,1i,150.0,4,12.2038,1,1.0,False,2,17.5547,17.98,57.46,scenario_south_heavy,test,development,0.5
70,1i,150.0,2,0.663,1,1.0,False,0,,,,scenario_south_heavy,test,development,0.5
75,1i,150.0,2,0.0001,2,5.0,False,0,,,,scenario_south_heavy,test,development,0.5
80,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.5
85,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.5
90,1i,150.0,0,0.0,0,0.0,False,1,19.44,473.26,473.26,scenario_south_heavy,test,development,0.5
95,1i,150.0,0,0.0,0,0.0,False,2,20.4919,377.15,409.15,scenario_south_heavy,test,development,0.5
100,1i,150.0,0,0.0,0,0.0,False,2,19.0108,281.36,314.03,scenario_south_heavy,test,development,0.5
105,1i,150.0,0,0.0,0,0.0,False,2,18.981,186.03,218.85,scenario_south_heavy,test,development,0.5
110,1i,150.0,3,19.0779,0,0.0,False,2,19.2355,90.49,123.83,scenario_south_heavy,test,development,0.5
115,1i,150.0,3,9.9417,0,0.0,False,2,12.7447,13.93,36.35,scenario_south_heavy,test,development,0.5
120,1i,150.0,3,0.8602,2,1.0,False,2,1.2904,1.0,1.05,scenario_south_heavy,test,development,0.5
125,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
130,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
135,1i,150.0,3,0.0,3,1.0,False,3,8.7354,1.0,457.09,scenario_south_heavy,test,development,0.5
140,1i,150.0,1,0.0,1,1.0,False,2,27.0435,322.53,428.5,scenario_south_heavy,test,development,0.5
145,1i,150.0,1,0.0,1,1.0,False,2,26.9466,188.12,293.48,scenario_south_heavy,test,development,0.5
150,1i,150.0,2,9.813,1,1.0,False,2,23.297,66.98,159.07,scenario_south_heavy,test,development,0.5
155,1i,150.0,3,11.7608,1,1.0,False,1,16.7011,50.0,50.0,scenario_south_heavy,test,development,0.5
160,1i,150.0,2,1.3505,1,1.0,False,1,2.7011,8.5,8.5,scenario_south_heavy,test,development,0.5
165,1i,150.0,2,0.0014,2,8.0,False,1,0.0028,8.0,8.0,scenario_south_heavy,test,development,0.5
170,1i,150.0,1,3.5907,0,0.0,False,1,3.5907,3.05,3.05,scenario_south_heavy,test,development,0.5
175,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_south_heavy,test,development,0.5
180,1i,150.0,0,0.0,0,0.0,False,1,26.1533,429.83,429.83,scenario_south_heavy,test,development,0.5
185,1i,150.0,0,0.0,0,0.0,False,2,23.0481,294.77,435.46,scenario_south_heavy,test,development,0.5
190,1i,150.0,0,0.0,0,0.0,False,2,23.0877,157.93,340.06,scenario_south_heavy,test,development,0.5
195,1i,150.0,1,17.5447,0,0.0,False,2,18.389,43.72,244.57,scenario_south_heavy,test,development,0.5
200,1i,150.0,3,12.99,0,0.0,False,2,10.9575,1.0,148.91,scenario_south_heavy,test,development,0.5
205,1i,150.0,3,7.5176,1,1.0,False,2,9.4064,1.0,54.16,scenario_south_heavy,test,development,0.5
210,1i,150.0,3,1.4537,2,1.0,False,2,2.1799,1.0,2.36,scenario_south_heavy,test,development,0.5
215,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
220,1i,150.0,3,0.0,3,1.0,False,2,0.0,1.0,1.0,scenario_south_heavy,test,development,0.5
225,1i,150.0,3,0.0,3,1.0,False,3,8.1416,1.0,407.62,scenario_south_heavy,test,development,0.5
230,1i,150.0,1,0.0,1,1.0,False,3,17.2168,1.0,455.66,scenario_south_heavy,test,development,0.5
235,1i,150.0,1,0.0,1,1.0,False,3,17.0016,1.0,320.78,scenario_south_heavy,test,development,0.5
240,1i,150.0,2,8.5614,1,1.0,False,3,14.4365,1.0,188.82,scenario_south_heavy,test,development,0.5
245,1i,150.0,3,12.8799,1,1.0,False,2,9.1483,1.0,72.73,scenario_south_heavy,test,development,0.5
250,1i,150.0,3,4.1106,1,1.0,False,2,2.7096,1.0,18.32,scenario_south_heavy,test,development,0.5
255,1i,150.0,2,0.0009,2,15.04,False,2,0.0009,1.0,15.04,scenario_south_heavy,test,development,0.5
260,1i,150.0,1,1.1981,0,0.0,False,1,1.1981,13.29,13.29,scenario_south_heavy,test,development,0.5
265,1i,150.0,1,1.2627,0,0.0,False,1,1.2627,1.12,1.12,scenario_south_heavy,test,development,0.5
270,1i,150.0,1,0.0,1,1.0,False,2,11.7699,1.0,384.27,scenario_south_heavy,test,development,0.5
275,1i,150.0,1,0.0,1,1.0,False,4,19.3482,1.0,457.07,scenario_south_heavy,test,development,0.5
280,1i,150.0,2,12.2812,1,1.0,False,4,19.577,1.0,323.34,scenario_south_heavy,test,development,0.5
285,1i,150.0,2,7.6292,1,1.0,False,4,17.3446,1.0,189.97,scenario_south_heavy,test,development,0.5
290,1i,150.0,4,10.3,1,1.0,False,4,10.3,1.0,67.88,scenario_south_heavy,test,development,0.5
295,1i,150.0,4,3.21,2,1.0,False,4,3.21,1.0,9.88,scenario_south_heavy,test,development,0.5
300,1i,150.0,4,0.0012,4,5.0,False,4,0.0012,1.0,5.0,scenario_south_heavy,test,development,0.5
305,1i,150.0,4,0.0,4,5.0,False,4,0.0,1.0,5.0,scenario_south_heavy,test,development,0.5
310,1i,150.0,4,0.0,4,5.0,False,4,0.0,1.0,5.0,scenario_south_heavy,test,development,0.5
315,1i,150.0,4,0.0,4,5.0,False,4,0.0,1.0,5.0,scenario_south_heavy,test,development,0.5
320,1i,150.0,2,0.0,2,5.0,False,3,9.2567,1.0,483.3,scenario_south_heavy,test,development,0.5
325,1i,150.0,3,8.2847,2,5.0,False,3,8.6925,1.0,350.71,scenario_south_heavy,test,development,0.5
330,1i,150.0,3,6.0244,2,5.0,False,3,8.7706,1.0,218.42,scenario_south_heavy,test,development,0.5
335,1i,150.0,4,11.7978,2,5.0,False,3,7.5037,1.0,89.97,scenario_south_heavy,test,development,0.5
340,1i,150.0,4,5.5661,2,5.0,False,3,2.837,1.0,19.41,scenario_south_heavy,test,development,0.5
345,1i,150.0,3,0.0017,3,9.0,False,3,0.0017,1.0,9.0,scenario_south_heavy,test,development,0.5
