timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge
0,1i,150.0,0,0.0,0,0.0,False
0,2i,150.0,0,0.0,0,0.0,False
0,3i,150.0,0,0.0,0,0.0,False
0,4i,150.0,0,0.0,0,0.0,False
5,1i,150.0,0,0.0,0,0.0,False
5,2i,150.0,0,0.0,0,0.0,False
5,3i,150.0,0,0.0,0,0.0,False
5,4i,150.0,0,0.0,0,0.0,False
10,1i,150.0,0,0.0,0,0.0,False
10,2i,150.0,0,0.0,0,0.0,False
10,3i,150.0,0,0.0,0,0.0,False
10,4i,150.0,0,0.0,0,0.0,False
15,1i,150.0,2,26.3783,0,0.0,False
15,2i,150.0,2,24.4367,0,0.0,False
15,3i,150.0,2,24.8418,0,0.0,False
15,4i,150.0,2,25.8916,0,0.0,False
20,1i,150.0,3,13.6562,0,0.0,False
20,2i,150.0,3,15.7445,0,0.0,False
20,3i,150.0,3,15.0589,0,0.0,False
20,4i,150.0,3,16.3241,0,0.0,False
25,1i,150.0,3,4.99,2,1.0,False
25,2i,150.0,3,5.2272,1,1.0,False
25,3i,150.0,2,6.5772,1,1.0,False
25,4i,150.0,1,1.6587,0,0.0,False
30,1i,150.0,3,0.0,2,1.0,False
30,2i,150.0,3,0.0001,2,1.0,False
30,3i,150.0,5,12.7716,1,1.0,False
30,4i,150.0,1,0.0,1,1.0,False
35,1i,150.0,3,0.0,3,1.0,False
35,2i,150.0,3,0.0,3,1.0,False
35,3i,150.0,4,5.8978,1,1.0,False
35,4i,150.0,0,0.0,0,0.0,False
40,1i,150.0,3,0.0,3,1.0,False
40,2i,150.0,3,0.0,3,1.0,False
40,3i,150.0,6,12.4727,3,13.75,False
40,4i,150.0,0,0.0,0,0.0,False
45,1i,150.0,3,0.0,3,1.0,False
45,2i,150.0,3,0.0,3,1.0,False
45,3i,150.0,6,6.0954,3,13.71,False
45,4i,150.0,0,0.0,0,0.0,False
50,1i,150.0,1,0.0,1,1.0,False
50,2i,150.0,1,0.0,1,1.0,False
50,3i,150.0,6,0.0333,5,13.71,False
50,4i,150.0,0,0.0,0,0.0,False
55,1i,150.0,1,0.0,1,1.0,False
55,2i,150.0,1,0.0,1,1.0,False
55,3i,150.0,8,4.4804,6,20.71,False
55,4i,150.0,0,0.0,0,0.0,False
60,1i,150.0,3,17.6743,1,1.0,False
60,2i,150.0,4,19.304,1,1.0,False
60,3i,150.0,9,2.5045,6,20.71,False
60,4i,150.0,3,26.5548,0,0.0,False
65,1i,150.0,4,12.2038,1,1.0,False
65,2i,150.0,4,11.7867,1,1.0,False
65,3i,150.0,12,6.3469,8,20.71,False
65,4i,150.0,3,13.6164,0,0.0,False
70,1i,150.0,2,0.663,1,1.0,False
70,2i,150.0,2,0.1029,1,1.0,False
70,3i,150.0,12,2.5083,9,27.72,False
70,4i,150.0,3,0.5501,1,1.0,False
75,1i,150.0,2,0.0001,2,5.0,False
75,2i,150.0,2,0.0001,2,15.04,False
75,3i,150.0,13,2.0115,11,27.71,False
75,4i,150.0,3,0.0013,3,1.0,False
80,1i,150.0,0,0.0,0,0.0,False
80,2i,150.0,1,1.8073,0,0.0,False
80,3i,150.0,15,3.1762,12,40.43,False
80,4i,150.0,3,0.0,3,1.0,False
85,1i,150.0,0,0.0,0,0.0,False
85,2i,150.0,1,0.206,0,0.0,False
85,3i,150.0,15,0.6702,12,40.43,False
85,4i,150.0,3,0.0,3,1.0,False
90,1i,150.0,0,0.0,0,0.0,False
90,2i,150.0,1,0.0003,1,1.0,False
90,3i,150.0,17,2.4127,15,47.43,False
90,4i,150.0,3,0.0,3,1.0,False
95,1i,150.0,0,0.0,0,0.0,False
95,2i,150.0,1,0.0,1,1.0,False
95,3i,150.0,13,3.2718,6,47.43,False
95,4i,150.0,1,0.0,1,1.0,False
100,1i,150.0,0,0.0,0,0.0,False
100,2i,150.0,1,0.0,1,1.0,False
100,3i,150.0,10,5.2557,4,13.0,False
100,4i,150.0,1,0.0,1,1.0,False
105,1i,150.0,0,0.0,0,0.0,False
105,2i,150.0,1,0.0,1,1.0,False
105,3i,150.0,10,6.7082,4,13.0,False
105,4i,150.0,2,11.4051,1,1.0,False
110,1i,150.0,3,19.0779,0,0.0,False
110,2i,150.0,4,13.5887,1,1.0,False
110,3i,150.0,7,2.1591,5,20.01,False
110,4i,150.0,4,12.8703,1,1.0,False
115,1i,150.0,3,9.9417,0,0.0,False
115,2i,150.0,4,8.3788,1,1.0,False
115,3i,150.0,8,5.0939,6,32.72,False
115,4i,150.0,2,2.0131,1,1.0,False
120,1i,150.0,3,0.8602,2,1.0,False
120,2i,150.0,4,0.753,3,5.02,False
120,3i,150.0,9,4.8157,6,32.72,False
120,4i,150.0,2,0.0022,2,5.0,False
125,1i,150.0,3,0.0,3,1.0,False
125,2i,150.0,4,0.0008,4,5.0,False
125,3i,150.0,7,3.1084,4,39.72,False
125,4i,150.0,0,0.0,0,0.0,False
130,1i,150.0,3,0.0,3,1.0,False
130,2i,150.0,4,0.0,4,5.0,False
130,3i,150.0,8,6.9927,1,1.0,False
130,4i,150.0,0,0.0,0,0.0,False
135,1i,150.0,3,0.0,3,1.0,False
135,2i,150.0,4,0.0,4,5.0,False
135,3i,150.0,9,6.048,4,13.81,False
135,4i,150.0,0,0.0,0,0.0,False
