timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,1,18.892,396.87,396.87
5,2i,0,,,
5,3i,0,,,
5,4i,0,,,
10,1i,1,19.2851,300.45,300.45
10,2i,0,,,
10,3i,0,,,
10,4i,0,,,
15,1i,1,18.8994,205.06,205.06
15,2i,0,,,
15,3i,1,27.7674,455.53,455.53
15,4i,0,,,
20,1i,1,17.154,112.59,112.59
20,2i,0,,,
20,3i,1,26.8274,320.01,320.01
20,4i,0,,,
25,1i,1,14.97,30.88,30.88
25,2i,0,,,
25,3i,1,26.5606,188.38,188.38
25,4i,0,,,
30,1i,1,0.0,1.0,1.0
30,2i,0,,,
30,3i,1,20.9983,65.07,65.07
30,4i,0,,,
35,1i,1,0.0,1.0,1.0
35,2i,0,,,
35,3i,1,6.1524,4.31,4.31
35,4i,0,,,
40,1i,1,0.0,1.0,1.0
40,2i,0,,,
40,3i,1,0.0,1.0,1.0
40,4i,0,,,
45,1i,1,0.0,1.0,1.0
45,2i,0,,,
45,3i,1,0.0,1.0,1.0
45,4i,0,,,
50,1i,0,,,
50,2i,0,,,
50,3i,1,0.0,1.0,1.0
50,4i,0,,,
55,1i,0,,,
55,2i,0,,,
55,3i,1,0.0,1.0,1.0
55,4i,0,,,
60,1i,0,,,
60,2i,0,,,
60,3i,1,0.0,1.0,1.0
60,4i,0,,,
65,1i,0,,,
65,2i,0,,,
65,3i,1,0.0,1.0,1.0
65,4i,0,,,
70,1i,0,,,
70,2i,0,,,
70,3i,1,0.0,1.0,1.0
70,4i,0,,,
75,1i,0,,,
75,2i,0,,,
75,3i,1,0.0,1.0,1.0
75,4i,0,,,
80,1i,0,,,
80,2i,0,,,
80,3i,1,0.0,1.0,1.0
80,4i,0,,,
85,1i,0,,,
85,2i,0,,,
85,3i,1,0.0,1.0,1.0
85,4i,0,,,
90,1i,0,,,
90,2i,1,19.44,474.59,474.59
90,3i,1,0.0,1.0,1.0
90,4i,0,,,
95,1i,1,21.9179,409.15,409.15
95,2i,2,19.4113,381.74,413.16
95,3i,0,,,
95,4i,0,,,
100,1i,1,18.7626,314.03,314.03
100,2i,2,18.6226,287.67,318.89
100,3i,0,,,
100,4i,0,,,
105,1i,1,18.8996,218.85,218.85
105,2i,2,18.8057,193.22,224.82
105,3i,0,,,
105,4i,0,,,
110,1i,1,19.0365,123.83,123.83
110,2i,2,18.3858,99.93,131.15
110,3i,0,,,
110,4i,0,,,
115,1i,1,15.1783,36.35,36.35
115,2i,2,14.1448,20.75,44.49
115,3i,2,25.834,429.49,431.63
115,4i,0,,,
120,1i,1,2.5807,1.05,1.05
120,2i,2,1.4941,1.0,1.55
120,3i,2,23.7,293.53,325.81
120,4i,0,,,
125,1i,1,0.0,1.0,1.0
125,2i,2,0.0016,1.0,1.0
125,3i,2,22.8763,160.21,225.09
125,4i,0,,,
130,1i,1,0.0,1.0,1.0
130,2i,2,0.0,1.0,1.0
130,3i,2,15.6418,68.74,135.74
130,4i,0,,,
135,1i,2,13.1031,1.0,457.09
135,2i,2,0.0,1.0,1.0
135,3i,3,15.9221,31.43,456.6
135,4i,0,,,
140,1i,1,26.3186,322.53,322.53
140,2i,0,,,
140,3i,3,9.5828,14.16,322.28
140,4i,0,,,
145,1i,1,26.5134,188.12,188.12
145,2i,0,,,
145,3i,3,7.5155,13.71,195.78
145,4i,0,,,
150,1i,1,19.6259,66.98,66.98
150,2i,0,,,
150,3i,3,6.1788,13.71,103.19
150,4i,0,,,
155,1i,0,,,
155,2i,0,,,
155,3i,3,2.3779,13.71,43.24
155,4i,0,,,
160,1i,0,,,
160,2i,0,,,
160,3i,3,0.0223,13.71,33.13
160,4i,0,,,
165,1i,0,,,
165,2i,0,,,
165,3i,4,6.5382,13.71,429.57
165,4i,0,,,
170,1i,0,,,
170,2i,0,,,
170,3i,4,6.8521,13.71,293.09
170,4i,0,,,
175,1i,0,,,
175,2i,0,,,
175,3i,4,6.3091,13.71,160.28
175,4i,0,,,
180,1i,0,,,
180,2i,0,,,
180,3i,4,3.2784,13.71,70.59
180,4i,0,,,
185,1i,0,,,
185,2i,0,,,
185,3i,3,0.8902,24.71,40.67
185,4i,0,,,
190,1i,0,,,
190,2i,0,,,
190,3i,4,8.9727,13.23,401.9
190,4i,0,,,
195,1i,0,,,
195,2i,0,,,
195,3i,3,11.701,2.62,266.13
195,4i,0,,,
200,1i,0,,,
200,2i,0,,,
200,3i,2,10.1604,24.71,148.07
200,4i,0,,,
205,1i,0,,,
205,2i,0,,,
